Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
ES,26/05/2024,Alaves,Las Palmas,A,2.5,1.0,1,1, 1-1,N,,O,O,,,2.4,1.1,N,,24,36,4,15,26,9,13,3,0.5,0,75.0,0.08,0,0.04,0
ES,18/05/2024,Alaves,Getafe,H,1.2,0.3,1,0, 1-0,V,,O,O,,,2.2,0.7,O,,18,15,7,13,26,7,5,2,0.5,0,71.8,0.17,1,0.05,0
ES,14/05/2024,Alaves,Real Madrid,A,1.3,2.5,0,5, 0-5,D,,,,O,O,1.9,4.9,,N,31,25,8,13,37,10,16,1,3.4,0,45.5,0.06,0,0.0,0
ES,10/05/2024,Alaves,Girona,H,1.7,1.7,2,2, 2-2,N,,,O,,,3.2,2.6,,O,28,24,7,17,43,9,15,3,2.0,0,65.2,0.24,0,0.11,1
ES,5/05/2024,Alaves,Valencia,A,0.8,0.9,1,0, 1-0,V,,O,,,,1.4,1.5,O,,22,34,8,13,34,9,12,3,0.1,0,47.1,0.11,1,0.01,0
ES,27/04/2024,Alaves,Celta Vigo,H,2.3,0.2,3,0, 3-0,V,,O,,,,3.9,0.6,O,,26,27,4,17,28,11,9,3,0.0,0,50.0,0.5,1,0.01,0
ES,21/04/2024,Alaves,Atletico Madrid,H,0.4,0.9,2,0, 2-0,V,,O,,,O,0.6,1.5,O,,16,22,7,14,16,8,9,0,0.7,0,46.2,0.0,0,0.13,0
ES,14/04/2024,Alaves,Granada,A,0.3,1.3,0,2, 0-2,D,,,,O,,0.7,0.9,,N,12,18,12,23,49,6,21,9,1.6,0,55.3,0.0,0,0.0,0
ES,31/03/2024,Alaves,Real Sociedad,H,0.3,0.9,0,1, 0-1,D,,,,,,0.6,1.5,,N,6,25,3,10,16,2,9,1,0.2,0,36.7,0.0,0,0.64,1
ES,16/03/2024,Alaves,Athletic Club,A,1.3,1.7,0,2, 0-2,D,,,,,,1.3,2.4,,N,9,28,2,10,27,3,4,1,1.5,2,32.0,0.05,0,0.0,0
ES,10/03/2024,Alaves,Rayo Vallecano,H,0.6,0.6,1,0, 1-0,V,,,,,,1.0,1.2,O,,20,19,8,15,24,6,15,6,0.8,0,42.3,0.03,0,0.0,0
ES,4/03/2024,Alaves,Osasuna,A,1.0,1.0,0,1, 0-1,D,,,,,,1.7,1.7,,N,17,19,9,19,31,8,13,3,1.0,0,36.6,0.0,0,0.37,0
ES,24/02/2024,Alaves,Mallorca,H,0.5,2.2,1,1, 1-1,N,,,,,,1.2,3.4,N,,17,15,10,17,36,9,12,0,1.7,0,44.8,0.1,1,0.07,0
ES,18/02/2024,Alaves,Real Betis,A,0.5,0.8,0,0, 0-0,N,,,,O,,0.5,2.2,,,23,30,8,18,32,9,13,4,0.4,0,46.3,0.08,0,0.0,0
ES,10/02/2024,Alaves,Villarreal,H,1.8,1.2,1,1, 1-1,N,,,,,,2.1,2.4,N,,30,20,9,18,50,11,16,4,0.3,0,35.7,0.02,0,0.25,1
ES,3/02/2024,Alaves,Barcelona,H,1.0,1.2,1,3, 1-3,D,Rouge 2,,O,,O,1.4,2.6,,N,24,22,13,21,38,6,18,5,2.5,0,63.0,0.03,0,0.0,0
ES,26/01/2024,Alaves,Almeria,A,1.8,1.4,3,0, 3-0,V,,,,,,1.8,1.6,O,,17,17,6,13,20,6,10,2,1.8,1,42.4,0.03,0,0.25,0
ES,19/01/2024,Alaves,Cadiz,H,2.0,0.3,1,0, 1-0,V,,,,,,1.9,0.7,,,22,13,15,26,43,7,16,4,0.1,1,41.9,0.0,0,0.07,0
ES,12/01/2024,Alaves,Sevilla,A,2.0,2.2,3,2, 3-2,V,,,,,,1.9,1.5,O,,28,27,9,20,29,7,14,5,2.3,0,27.5,0.2,0,0.05,0
ES,2/01/2024,Alaves,Real Sociedad,A,1.0,1.2,1,1, 1-1,N,Rouge 2,,,,,0.3,2.5,,O,12,18,3,12,34,4,17,2,1.1,0,36.2,0.0,0,0.27,0
ES,21/12/2023,Alaves,Real Madrid,H,0.6,0.6,0,1, 0-1,D,Rouge 2,,,,O,1.0,1.1,,N,14,24,7,10,37,4,18,3,1.3,0,53.3,0.07,0,0.21,1
ES,18/12/2023,Alaves,Girona,A,0.7,1.7,0,3, 0-3,D,,,,,O,1.3,1.6,,N,20,27,6,16,30,6,23,3,1.7,0,53.3,0.09,0,0.0,0
ES,9/12/2023,Alaves,Las Palmas,H,1.9,0.4,0,1, 0-1,D,,,,,O,3.1,0.9,,N,29,15,15,29,40,4,21,8,0.4,0,46.7,0.08,0,0.06,0
ES,3/12/2023,Alaves,Mallorca,A,0.3,0.8,0,0, 0-0,N,,,,,O,0.6,1.4,,,13,23,14,25,24,1,20,6,1.1,0,55.3,0.0,0,0.15,0
