Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
ES,25/05/2024,Almeria,Cadiz,H,2.9,0.5,6,1, 6-1,V,,,,,,2.7,0.9,,O,47,25,19,28,36,11,33,6,0.8,1,50.0,0.0,0,0.0,0
ES,19/05/2024,Almeria,Mallorca,A,0.4,3.0,2,2, 2-2,N,,O,,O,,0.5,4.3,,O,14,22,6,15,22,0,8,2,2.8,1,43.2,0.1,0,0.1,0
ES,16/05/2024,Almeria,Barcelona,H,0.9,1.6,0,2, 0-2,D,,,,,O,0.8,2.4,,N,22,25,7,18,20,3,14,7,1.9,0,31.3,0.02,0,0.15,0
ES,12/05/2024,Almeria,Real Betis,A,1.2,0.8,2,3, 2-3,D,,,,,O,1.0,1.0,,N,26,35,7,17,45,8,20,2,1.5,5,54.5,0.04,0,0.0,0
ES,5/05/2024,Almeria,Rayo Vallecano,A,0.4,1.4,1,0, 1-0,V,,,O,,,0.6,2.6,O,,12,39,7,15,16,4,9,3,1.3,1,44.4,0.02,0,0.31,0
ES,27/04/2024,Almeria,Getafe,H,2.4,1.7,1,3, 1-3,D,Rouge 1,,,,,1.7,1.6,,N,37,20,8,13,33,8,12,2,2.0,1,62.5,0.19,0,0.02,0
ES,21/04/2024,Almeria,Villarreal,H,1.8,1.6,1,2, 1-2,D,,,,,O,2.4,3.1,,N,44,14,13,20,43,9,21,8,1.4,0,45.0,0.09,0,0.14,0
ES,14/04/2024,Almeria,Real Sociedad,A,1.6,1.5,2,2, 2-2,N,,,,,O,1.3,2.6,N,,12,17,5,14,18,3,6,2,1.3,0,57.1,0.04,0,0.04,0
ES,30/03/2024,Almeria,Osasuna,H,0.8,1.0,0,3, 0-3,D,,,,,,1.3,1.4,,N,21,30,5,14,33,4,18,3,1.7,1,35.9,0.0,0,0.0,0
ES,17/03/2024,Almeria,Las Palmas,A,0.8,0.9,1,0, 1-0,V,,,,,O,1.0,1.6,O,,6,27,7,12,16,2,14,6,0.6,0,51.5,0.0,0,0.14,0
