Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
UK,19/05/2024,Arsenal,Everton,H,2.9,0.6,2,1, 2-1,V,,O,,,,4.7,0.4,,O,47,15,5,10,86,20,35,17,0.6,0,48.0,0.09,0,0.0,0
UK,12/05/2024,Arsenal,Manchester United,A,1.5,0.5,1,0, 1-0,V,,,,,,3.4,0.8,O,,19,34,7,18,32,11,8,6,0.1,0,43.5,0.21,0,0.0,0
UK,4/05/2024,Arsenal,Bournemouth,H,3.3,0.5,3,0, 3-0,V,,,,,O,4.3,0.5,O,,46,28,13,22,51,20,17,8,0.3,0,44.1,0.23,0,0.0,0
UK,28/04/2024,Arsenal,Tottenham,A,1.0,2.3,3,2, 3-2,V,,,,,,1.8,2.6,O,,18,37,9,23,32,9,9,4,1.3,1,59.1,0.44,1,0.36,0
UK,23/04/2024,Arsenal,Chelsea,H,3.3,1.6,5,0, 5-0,V,,,,,O,5.4,2.1,O,,50,38,6,13,49,19,32,21,0.0,0,52.2,0.0,0,0.07,0
UK,20/04/2024,Arsenal,Wolves,A,1.2,0.2,2,0, 2-0,V,,,,,O,1.8,0.1,O,,48,18,5,14,61,18,19,9,0.3,2,68.8,0.02,0,0.0,0
C1,17/04/2024,Arsenal,Bayern Munich,A,0.4,1.3,0,1, 0-1,D,,,,,,0.9,2.2,,N,14,16,10,20,46,13,16,4,0.7,0,43.5,0.05,0,0.18,0
UK,14/04/2024,Arsenal,Aston Villa,H,1.6,0.9,0,2, 0-2,D,,,,,,3.2,1.1,,N,27,26,5,15,57,19,20,6,1.0,1,66.7,0.0,0,0.0,0
C1,9/04/2024,Arsenal,Bayern Munich,H,1.0,1.9,2,2, 2-2,N,,,,,,1.7,2.4,N,,25,23,10,21,49,7,26,9,1.9,0,40.0,0.07,0,0.0,0
UK,6/04/2024,Arsenal,Brighton,A,3.4,0.5,3,0, 3-0,V,,,,,,4.8,0.7,O,,37,21,9,25,41,13,24,11,0.3,0,52.6,0.93,0,0.05,0
