Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
UK,19/05/2024,Aston Villa,Crystal Palace,A,0.9,2.5,0,5, 0-5,D,,,,,O,1.6,3.6,,N,13,12,5,10,11,0,10,2,3.9,0,50.0,0.38,0,0.0,0
UK,13/05/2024,Aston Villa,Liverpool,H,3.1,1.7,3,3, 3-3,N,,,,,,5.0,1.7,N,,32,18,17,30,32,11,14,8,2.1,1,64.3,0.02,0,0.13,1
UK,5/05/2024,Aston Villa,Brighton,A,0.1,2.5,0,1, 0-1,D,,,,,,0.1,3.1,,N,1,27,5,17,26,4,16,1,3.0,0,50.0,0.0,0,0.05,0
UK,27/04/2024,Aston Villa,Chelsea,H,1.1,1.6,2,2, 2-2,N,,,,,,1.8,1.9,N,,17,11,5,16,14,5,17,3,0.6,2,50.0,0.07,0,0.05,0
UK,21/04/2024,Aston Villa,Bournemouth,H,2.4,1.8,3,1, 3-1,V,,,,O,,3.7,1.1,O,,27,14,6,15,43,20,14,5,1.6,0,50.0,0.02,0,0.0,0
UK,14/04/2024,Aston Villa,Arsenal,A,0.9,1.6,2,0, 2-0,V,,,,O,,1.1,3.2,O,,13,27,10,24,18,4,17,4,2.0,1,33.3,0.0,0,0.0,0
UK,6/04/2024,Aston Villa,Brentford,H,1.5,1.5,3,3, 3-3,N,,,,,,2.1,2.5,N,,21,16,4,8,51,14,24,6,2.2,0,50.0,0.42,0,0.0,0
UK,3/04/2024,Aston Villa,Manchester City,A,0.8,3.4,1,4, 1-4,D,,O,O,,,1.1,6.1,,N,16,28,7,20,21,4,15,3,3.1,0,50.0,0.09,0,0.0,0
UK,30/03/2024,Aston Villa,Wolves,H,1.0,1.5,2,0, 2-0,V,,,O,,,1.6,1.2,O,,22,20,11,24,29,5,19,5,1.4,0,42.1,0.07,1,0.07,0
UK,17/03/2024,Aston Villa,West Ham,A,0.7,2.0,1,1, 1-1,N,,,O,,,1.4,3.3,,O,26,17,14,21,64,16,29,7,1.3,1,50.0,0.04,0,0.39,0
UK,10/03/2024,Aston Villa,Tottenham,H,0.8,1.5,0,4, 0-4,D,Rouge 1,,,,,0.7,2.8,,N,18,28,10,21,20,4,15,8,2.7,2,60.0,0.14,0,0.0,0
UK,2/03/2024,Aston Villa,Luton,A,1.9,1.8,3,2, 3-2,V,,,,,,3.2,2.5,O,,22,18,9,12,33,6,15,9,1.6,0,46.2,0.55,2,0.52,1
UK,24/02/2024,Aston Villa,Nottingham Forest,H,3.6,2.6,4,2, 4-2,V,,,,,,4.1,3.5,O,,27,14,12,27,37,8,27,6,2.0,0,62.5,0.0,0,0.37,0
UK,17/02/2024,Aston Villa,Fulham,A,1.5,1.5,2,1, 2-1,V,,,,,,1.8,2.9,O,,20,15,5,15,26,3,14,6,1.5,0,53.3,0.2,0,0.23,0
UK,11/02/2024,Aston Villa,Manchester United,H,2.4,1.8,1,2, 1-2,D,,,,,,2.6,3.1,,N,42,22,15,26,51,16,32,9,1.7,1,28.6,0.36,0,0.17,0
UK,3/02/2024,Aston Villa,Sheffield United,A,2.2,1.4,5,0, 5-0,V,,,,,,2.5,1.2,O,,26,16,11,17,33,9,16,4,1.2,0,57.9,0.03,0,0.35,0
UK,30/01/2024,Aston Villa,Newcastle United,H,1.4,2.6,1,3, 1-3,D,,,,,,3.6,3.1,,N,24,16,9,16,55,17,23,2,2.7,0,31.8,0.32,0,0.3,1
UK,14/01/2024,Aston Villa,Everton,A,1.2,1.1,0,0, 0-0,N,,,,,,2.3,1.4,,,30,14,13,25,48,12,22,4,0.7,1,30.8,0.0,0,0.09,0
UK,30/12/2023,Aston Villa,Burnley,H,3.2,1.2,3,2, 3-2,V,Rouge 2,,,,,3.9,1.5,O,,36,14,6,18,47,9,32,9,1.3,0,45.8,0.02,0,0.04,0
UK,26/12/2023,Aston Villa,Manchester United,A,1.7,1.1,2,3, 2-3,D,,,,,,2.9,1.8,N,,20,21,11,24,36,9,29,10,2.0,0,48.3,0.1,0,0.0,0
UK,22/12/2023,Aston Villa,Sheffield United,H,0.9,0.6,1,1, 1-1,N,,,,,,2.3,0.8,N,,21,15,4,18,76,18,34,8,0.9,0,50.0,0.14,0,0.01,0
UK,17/12/2023,Aston Villa,Brentford,A,1.4,0.5,2,1, 2-1,V,Rouge 2,,,O,,3.1,0.5,,O,28,19,12,26,56,13,18,5,0.9,0,70.0,0.02,0,0.03,0
UK,9/12/2023,Aston Villa,Arsenal,H,0.6,1.4,1,0, 1-0,V,,,,,,1.0,2.1,O,,14,44,4,20,18,2,12,5,0.8,0,33.3,0.0,0,0.0,0
UK,6/12/2023,Aston Villa,Manchester City,H,2.3,0.6,1,0, 1-0,V,,,,,,2.7,1.6,O,,33,22,16,21,38,11,22,9,0.7,0,75.0,0.83,0,0.0,0
UK,3/12/2023,Aston Villa,Bournemouth,A,0.7,2.0,2,2, 2-2,N,,,,,,1.2,3.7,,O,19,31,8,22,42,4,20,3,3.0,1,53.1,0.07,0,0.19,0
UK,26/11/2023,Aston Villa,Tottenham,A,1.7,2.3,2,1, 2-1,V,,,,,,2.8,4.0,,O,29,30,11,20,30,7,15,2,1.6,0,50.0,0.55,1,0.33,1
UK,12/11/2023,Aston Villa,Fulham,H,3.0,0.9,3,1, 3-1,V,,,,,,3.6,1.6,O,,22,17,11,21,30,5,18,7,1.3,0,62.5,0.03,0,0.0,0
UK,5/11/2023,Aston Villa,Nottingham Forest,A,1.2,0.4,0,2, 0-2,D,,,,,,3.4,0.5,,N,26,18,12,30,86,23,32,4,0.7,1,57.9,0.0,0,0.0,0
UK,29/10/2023,Aston Villa,Luton,H,2.3,0.5,3,1, 3-1,V,,,,,,4.6,0.8,O,,32,14,7,21,45,12,18,7,0.1,1,48.1,0.05,0,0.11,0
UK,22/10/2023,Aston Villa,West Ham,H,1.9,1.1,4,1, 4-1,V,,,,,O,2.2,1.6,O,,30,23,7,11,35,7,38,8,1.1,0,40.0,0.13,0,0.35,0
UK,8/10/2023,Aston Villa,Wolves,A,1.6,1.7,1,1, 1-1,N,Rouge 2,,,,O,2.3,2.1,,O,33,18,0,12,39,13,11,4,1.8,0,37.5,0.06,0,0.0,0
UK,30/09/2023,Aston Villa,Brighton,H,1.6,1.7,6,1, 6-1,V,,,,,O,2.5,3.2,O,,30,25,9,21,29,9,16,10,1.1,0,38.5,0.0,0,0.11,0
UK,24/09/2023,Aston Villa,Chelsea,A,1.0,1.3,1,0, 1-0,V,Rouge 2,,,,O,1.4,1.9,O,,22,30,8,23,31,5,20,9,1.6,0,33.3,0.2,0,0.0,0
UK,16/09/2023,Aston Villa,Crystal Palace,H,3.0,1.2,3,1, 3-1,V,,,,,,3.0,2.0,,O,26,33,6,21,67,20,25,10,0.7,0,64.7,0.0,0,0.0,0
UK,3/09/2023,Aston Villa,Liverpool,A,0.7,2.5,0,3, 0-3,D,,,,,,1.2,2.6,,N,17,24,11,21,29,8,14,4,1.0,0,20.0,0.11,0,0.44,1
UK,27/08/2023,Aston Villa,Burnley,A,2.5,0.7,3,1, 3-1,V,,,,,O,3.2,1.6,O,,24,21,10,15,28,12,17,6,0.5,0,47.1,0.2,0,0.06,0
UK,20/08/2023,Aston Villa,Everton,H,2.9,0.6,4,0, 4-0,V,,,,,,3.0,1.1,O,,23,12,13,28,39,13,24,2,0.2,0,52.9,0.0,0,0.31,0
UK,12/08/2023,Aston Villa,Newcastle United,A,1.8,3.3,1,5, 1-5,D,,,,,,1.8,5.4,,N,30,19,11,20,38,5,21,3,5.6,1,54.5,0.42,0,0.35,0
