Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
IT,2/06/2024,Atalanta,Fiorentina,H,1.7,1.2,2,3, 2-3,D,,,,O,,2.8,1.6,,N,24,20,14,24,53,9,19,7,1.4,0,57.1,0.11,0,0.04,0
IT,26/05/2024,Atalanta,Torino,H,2.6,1.1,3,0, 3-0,V,,,,O,,2.4,1.7,O,,31,28,4,10,42,18,24,10,0.8,0,55.0,0.0,0,0.05,0
C3,22/05/2024,Atalanta,Bayer Leverkusen,H,0.7,0.8,3,0, 3-0,V,,,,O,,1.3,1.3,O,,17,32,10,19,27,5,21,6,0.2,1,54.3,0.0,0,0.21,0
IT,18/05/2024,Atalanta,Lecce,A,1.6,1.3,2,0, 2-0,V,,O,,O,O,2.5,1.9,O,,34,30,7,13,50,8,19,4,0.9,0,60.9,0.21,1,0.06,0
IT,12/05/2024,Atalanta,Roma,H,2.7,1.2,2,1, 2-1,V,,,,,,4.0,0.7,O,,42,17,5,15,53,16,20,6,1.6,0,50.0,0.26,0,0.04,0
C3,9/05/2024,Atalanta,Marseille,H,1.8,0.4,3,0, 3-0,V,,,,,,1.7,0.6,O,,28,30,10,18,41,9,31,12,0.1,0,50.0,0.0,0,0.0,0
IT,6/05/2024,Atalanta,Salernitana,A,1.9,0.5,2,1, 2-1,V,,,,,,3.1,0.7,,O,30,18,11,21,72,15,33,11,0.7,0,63.2,0.06,0,0.02,0
C3,2/05/2024,Atalanta,Marseille,A,0.8,0.9,1,1, 1-1,N,,,,,,1.2,1.2,N,,15,29,2,10,38,4,14,1,0.4,1,58.6,0.02,0,0.19,0
IT,28/04/2024,Atalanta,Empoli,H,1.9,0.4,2,0, 2-0,V,,O,O,,,2.5,0.7,O,,30,17,10,27,39,12,15,3,0.1,0,63.4,0.11,0,0.02,0
IT,21/04/2024,Atalanta,Monza,A,1.5,1.1,2,1, 2-1,V,,,,,,2.6,1.6,O,,21,23,8,13,41,7,18,9,0.5,0,54.5,0.43,1,0.0,0
