Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
ES,25/05/2024,Atletico Madrid,Real Sociedad,A,2.2,0.6,2,0, 2-0,V,,,,,,4.0,1.4,O,,20,17,6,11,26,8,12,5,0.4,0,53.8,0.0,0,0.09,0
ES,19/05/2024,Atletico Madrid,Osasuna,H,1.6,1.8,1,4, 1-4,D,,,,,,3.1,1.8,,N,22,13,1,5,45,13,22,9,2.0,0,29.4,0.07,0,0.06,0
ES,15/05/2024,Atletico Madrid,Getafe,A,1.3,0.6,3,0, 3-0,V,,,,O,,1.2,1.1,O,,13,21,7,14,38,7,21,4,0.3,0,61.9,0.0,0,0.05,0
ES,12/05/2024,Atletico Madrid,Celta Vigo,H,1.4,0.4,1,0, 1-0,V,,,,,,2.1,0.9,O,,36,23,3,7,52,15,26,7,0.2,0,71.4,0.11,0,0.0,0
ES,4/05/2024,Atletico Madrid,Mallorca,A,0.7,0.2,1,0, 1-0,V,,O,,O,O,0.5,0.6,O,,14,25,4,9,23,6,11,1,0.6,0,50.0,0.02,0,0.12,0
ES,27/04/2024,Atletico Madrid,Athletic Club,H,0.8,1.0,3,1, 3-1,V,,,,O,,1.4,1.8,O,,14,22,6,15,40,5,12,6,0.7,1,59.1,0.02,0,0.07,0
ES,21/04/2024,Atletico Madrid,Alaves,A,0.9,0.4,0,2, 0-2,D,,,,O,,1.5,0.6,,N,28,18,11,18,46,10,28,4,0.7,0,53.8,0.13,0,0.0,0
C1,16/04/2024,Atletico Madrid,Dortmund,A,1.9,1.5,2,4, 2-4,D,,,O,,,2.1,2.6,,N,18,27,3,12,42,10,18,2,2.3,0,50.0,0.01,0,0.22,0
ES,13/04/2024,Atletico Madrid,Girona,H,2.3,2.4,3,1, 3-1,V,,,,,,2.4,3.8,,O,28,23,3,9,41,11,14,4,1.7,0,30.8,0.07,0,0.0,0
C1,10/04/2024,Atletico Madrid,Dortmund,H,2.2,0.9,2,1, 2-1,V,,,,,,2.5,1.0,O,,23,33,2,10,24,7,12,6,1.3,1,43.5,0.43,0,0.06,0
ES,1/04/2024,Atletico Madrid,Villarreal,A,1.3,0.8,2,1, 2-1,V,,,,,O,2.5,1.7,O,,24,36,4,10,43,11,18,5,0.8,0,50.0,0.09,1,0.31,0
ES,17/03/2024,Atletico Madrid,Barcelona,H,0.8,1.5,0,3, 0-3,D,Rouge 1,,,,,1.0,3.2,,N,22,21,13,24,28,8,19,4,2.8,1,38.9,0.0,0,0.03,0
C1,13/03/2024,Atletico Madrid,Inter,H,2.7,1.6,2,1, 2-1,V,,,,,,3.3,2.6,,O,43,16,11,16,63,16,29,6,1.0,0,41.7,0.05,0,0.14,0
ES,9/03/2024,Atletico Madrid,Cadiz,A,0.9,1.1,0,2, 0-2,D,,O,,,,0.9,2.0,,N,13,27,12,25,52,4,26,3,1.8,0,43.3,0.0,0,0.04,0
ES,3/03/2024,Atletico Madrid,Real Betis,H,3.0,0.6,2,1, 2-1,V,,O,,,,2.4,1.1,O,,25,29,8,16,33,10,19,6,0.8,0,61.5,0.19,0,0.08,0
ES,24/02/2024,Atletico Madrid,Almeria,A,1.5,0.5,2,2, 2-2,N,,O,,,,2.5,0.6,N,,33,32,8,17,52,8,25,2,0.6,0,37.0,0.18,0,0.0,0
C1,20/02/2024,Atletico Madrid,Inter,A,0.6,2.3,0,1, 0-1,D,,,,,,1.2,2.5,,N,14,27,3,9,48,9,11,4,0.6,1,25.0,0.0,0,0.09,0
ES,17/02/2024,Atletico Madrid,Las Palmas,H,3.5,0.7,5,0, 5-0,V,,O,,O,,3.1,0.6,O,,23,31,5,11,22,6,13,5,1.0,0,54.8,0.05,0,0.0,0
