Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
AL,18/05/2024,Augsburg,Bayer Leverkusen,A,1.2,2.4,1,2, 1-2,D,,,,O,,1.8,3.8,,N,17,28,4,11,35,15,15,2,1.0,1,53.8,0.03,0,0.04,0
AL,10/05/2024,Augsburg,Stuttgart,H,0.6,1.9,0,1, 0-1,D,,,,,,1.0,3.3,,N,16,23,3,8,24,8,5,0,1.5,0,64.0,0.13,0,0.06,0
AL,4/05/2024,Augsburg,Dortmund,A,2.5,4.0,1,5, 1-5,D,,,,O,O,4.8,5.5,,N,38,25,8,18,40,13,16,4,4.2,1,43.5,0.04,0,0.89,1
AL,27/04/2024,Augsburg,Werder Bremen,H,0.6,2.0,0,3, 0-3,D,,,,,O,1.1,2.6,,N,24,29,9,23,42,6,14,1,2.5,0,64.9,0.25,0,0.35,1
AL,19/04/2024,Augsburg,Eintracht Frankfurt,A,0.5,1.8,1,3, 1-3,D,,,,,O,1.1,2.5,N,,9,27,10,18,31,10,13,2,1.4,0,52.5,0.0,0,0.19,0
AL,12/04/2024,Augsburg,Union Berlin,H,1.6,1.6,2,0, 2-0,V,,,,O,O,1.1,4.0,O,,13,34,5,14,39,6,10,3,0.3,0,41.7,0.06,0,0.06,0
AL,7/04/2024,Augsburg,Hoffenheim,A,1.2,1.8,1,3, 1-3,D,,,,O,O,2.2,3.3,,N,23,35,4,8,47,10,14,2,2.0,0,47.4,0.03,0,0.11,0
AL,31/03/2024,Augsburg,Köln,H,2.2,1.3,1,1, 1-1,N,,O,,,,4.4,2.0,N,,46,17,4,24,69,21,18,3,1.2,0,56.1,0.26,0,0.05,0
AL,16/03/2024,Augsburg,Wolfsburg,A,0.7,1.3,3,1, 3-1,V,Rouge 2,,,,,2.5,3.0,,O,25,23,7,14,27,8,11,3,0.9,0,33.3,0.05,0,0.32,0
AL,9/03/2024,Augsburg,Heidenheim,H,0.5,0.4,1,0, 1-0,V,,,,,,0.9,0.8,O,,10,20,8,16,48,7,16,4,0.1,0,58.9,0.15,1,0.0,0
AL,2/03/2024,Augsburg,Darmstadt,A,2.9,0.8,6,0, 6-0,V,,,,,,3.2,1.7,O,,34,16,6,12,34,8,17,7,1.1,0,45.2,0.12,1,0.02,0
AL,25/02/2024,Augsburg,Freiburg,H,1.6,1.6,2,1, 2-1,V,,,,,,3.1,1.6,O,,35,18,5,16,51,17,16,3,1.0,0,50.0,0.12,0,0.01,0
AL,17/02/2024,Augsburg,Mainz 05,A,1.0,2.1,0,1, 0-1,D,Rouge 1,,,,,1.3,2.7,,N,16,22,7,13,26,7,15,3,1.3,1,50.0,0.0,0,0.51,1
