Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
ES,26/05/2024,Barcelona,Sevilla,A,1.3,1.5,2,1, 2-1,V,,O,,,,3.1,2.4,O,,21,16,8,17,62,12,26,7,1.0,1,55.6,0.01,0,0.29,0
ES,19/05/2024,Barcelona,Rayo Vallecano,H,1.3,1.3,3,0, 3-0,V,,O,,,,2.0,2.3,O,,27,13,12,29,51,4,19,9,0.5,0,52.4,0.01,0,0.1,0
ES,16/05/2024,Barcelona,Almeria,A,1.6,0.9,2,0, 2-0,V,,O,O,,O,2.4,0.8,O,,31,18,11,21,67,10,24,8,0.6,0,68.8,0.15,0,0.02,0
ES,13/05/2024,Barcelona,Real Sociedad,H,2.1,0.7,2,0, 2-0,V,,O,,,,1.5,0.4,O,,24,22,14,23,31,6,18,9,0.6,1,60.9,0.0,0,0.0,0
ES,4/05/2024,Barcelona,Girona,A,2.6,1.8,2,4, 2-4,D,,O,,,,3.1,3.9,N,,24,28,5,14,42,11,17,10,3.1,1,66.7,0.26,0,0.0,0
ES,29/04/2024,Barcelona,Valencia,H,2.2,2.1,4,2, 4-2,V,Rouge 2,O,,,,2.8,0.8,O,,47,17,6,15,87,13,30,10,1.5,1,66.7,0.45,1,0.0,0
ES,21/04/2024,Barcelona,Real Madrid,A,1.4,2.3,2,3, 2-3,D,,,,,,1.1,2.8,N,,24,26,8,20,41,5,16,3,2.0,0,60.0,0.41,1,0.38,0
C1,16/04/2024,Barcelona,Paris,H,1.1,2.3,1,4, 1-4,D,Rouge 1,,,,,1.7,2.0,N,,13,30,5,11,25,4,7,1,3.4,0,63.2,0.0,0,0.0,0
ES,13/04/2024,Barcelona,Cadiz,A,0.9,1.0,1,0, 1-0,V,,O,O,O,O,1.1,2.1,O,,22,18,8,26,42,8,16,4,0.5,0,33.3,0.01,0,0.07,0
C1,10/04/2024,Barcelona,Paris,A,1.9,1.2,3,2, 3-2,V,,,,,,2.9,2.4,O,,29,30,10,16,26,5,14,5,1.4,0,45.0,0.85,1,0.0,0
ES,30/03/2024,Barcelona,Las Palmas,H,1.7,0.3,1,0, 1-0,V,Rouge 2,O,,,,3.4,0.4,O,,28,22,10,26,62,10,27,9,0.0,0,41.7,0.03,0,0.0,0
ES,17/03/2024,Barcelona,Atletico Madrid,A,1.5,0.8,3,0, 3-0,V,Rouge 2,O,O,,,3.2,1.0,O,,17,20,8,19,38,11,15,6,0.3,1,61.1,0.03,0,0.0,0
C1,12/03/2024,Barcelona,Napoli,H,2.7,1.3,3,1, 3-1,V,,O,,,,4.4,2.4,O,,40,34,11,25,33,12,22,6,1.4,2,54.2,0.02,0,0.04,0
ES,8/03/2024,Barcelona,Mallorca,H,2.0,0.6,1,0, 1-0,V,,O,,,,1.9,1.2,O,,36,26,15,34,37,9,36,10,0.2,0,45.9,0.0,0,0.1,0
ES,3/03/2024,Barcelona,Athletic Club,A,0.7,0.4,0,0, 0-0,N,,,,,,1.8,0.9,,,13,33,12,26,38,5,14,5,0.6,0,50.0,0.2,0,0.14,0
ES,24/02/2024,Barcelona,Getafe,H,3.1,0.5,4,0, 4-0,V,,,,,,4.2,0.6,O,,28,19,5,21,30,8,23,9,0.7,0,72.2,0.36,0,0.0,0
C1,21/02/2024,Barcelona,Napoli,A,0.7,0.9,1,1, 1-1,N,,,,,,1.9,1.5,N,,22,25,9,15,42,9,11,4,0.5,0,52.9,0.03,0,0.0,0
ES,17/02/2024,Barcelona,Celta Vigo,A,1.5,0.8,2,1, 2-1,V,,,,,,1.4,1.0,O,,25,21,3,18,70,7,28,5,0.4,1,48.1,0.21,0,0.01,0
ES,11/02/2024,Barcelona,Granada,H,2.3,1.4,3,3, 3-3,N,,,,,,3.8,2.5,N,,21,20,6,17,56,14,19,2,1.5,0,68.2,0.06,0,0.06,0
ES,3/02/2024,Barcelona,Alaves,A,1.2,1.0,3,1, 3-1,V,Rouge 1,,,,,2.6,1.4,O,,15,19,2,12,29,7,13,3,0.8,0,37.0,0.0,0,0.03,0
ES,31/01/2024,Barcelona,Osasuna,H,1.9,1.0,1,0, 1-0,V,Rouge 2,,,,,3.4,1.6,O,,28,20,7,16,43,10,20,5,0.0,0,44.8,0.18,0,0.27,0
ES,27/01/2024,Barcelona,Villarreal,H,2.2,2.1,3,5, 3-5,D,,,,,,3.3,2.1,,N,37,25,13,28,61,13,33,5,3.4,2,40.9,0.17,0,0.0,0
ES,21/01/2024,Barcelona,Real Betis,A,3.0,1.1,4,2, 4-2,V,,,O,,,4.0,1.6,O,,21,31,9,26,53,8,29,6,0.6,0,56.0,0.02,0,0.11,0
ES,4/01/2024,Barcelona,Las Palmas,A,2.4,0.7,2,1, 2-1,V,Rouge 2,,O,,,3.1,1.8,,O,23,23,10,20,48,11,30,15,1.5,0,73.3,0.17,0,0.06,0
ES,20/12/2023,Barcelona,Almeria,H,3.4,1.6,3,2, 3-2,V,,O,,,,5.1,1.2,O,,52,18,10,22,52,15,31,9,1.0,2,72.4,0.5,1,0.17,0
