Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
C3,22/05/2024,Bayer Leverkusen,Atalanta,A,0.8,0.7,0,3, 0-3,D,,,,,,1.3,1.3,,N,18,27,7,23,45,6,17,4,1.8,0,45.7,0.21,0,0.0,0
AL,18/05/2024,Bayer Leverkusen,Augsburg,H,2.4,1.2,2,1, 2-1,V,,,,,,3.8,1.8,O,,34,22,9,20,74,14,30,9,0.9,0,46.2,0.04,0,0.03,0
AL,12/05/2024,Bayer Leverkusen,Bochum,A,4.2,0.3,5,0, 5-0,V,Rouge 2,O,O,,O,5.3,0.8,O,,54,18,7,19,71,20,24,5,0.0,0,45.8,0.36,1,0.19,0
C3,9/05/2024,Bayer Leverkusen,Roma,H,2.8,2.1,2,2, 2-2,N,,,O,O,,4.6,1.1,N,,60,19,7,12,60,21,30,12,3.4,0,52.2,0.35,0,0.0,0
AL,5/05/2024,Bayer Leverkusen,Eintracht Frankfurt,A,2.7,1.9,5,1, 5-1,V,,O,O,,,2.7,2.8,O,,18,13,8,15,28,5,15,3,1.6,0,45.5,0.0,0,0.0,0
C3,2/05/2024,Bayer Leverkusen,Roma,A,2.0,1.5,2,0, 2-0,V,,,,O,O,3.2,3.1,O,,36,24,5,13,30,11,24,6,1.0,0,38.5,0.05,0,0.24,0
AL,27/04/2024,Bayer Leverkusen,Stuttgart,H,1.4,1.7,2,2, 2-2,N,,,O,O,,1.5,1.9,,O,25,18,8,16,46,6,19,9,0.7,0,31.6,0.0,0,0.0,0
AL,21/04/2024,Bayer Leverkusen,Dortmund,A,1.1,0.5,1,1, 1-1,N,,,,O,O,3.0,1.5,,O,23,26,10,28,50,14,22,4,0.8,0,56.5,0.07,1,0.12,0
C3,18/04/2024,Bayer Leverkusen,West Ham,A,1.1,1.5,1,1, 1-1,N,,,,,,1.5,2.1,,O,17,18,6,14,36,6,22,6,1.0,1,58.3,0.09,0,0.03,0
AL,14/04/2024,Bayer Leverkusen,Werder Bremen,H,3.2,0.7,5,0, 5-0,V,,O,,,O,3.4,1.3,O,,34,19,7,17,45,10,18,4,1.4,1,80.0,0.21,0,0.0,0
C3,11/04/2024,Bayer Leverkusen,West Ham,H,2.3,0.2,2,0, 2-0,V,,,,O,,4.2,0.3,O,,61,26,5,18,76,27,39,15,0.0,0,48.3,0.13,0,0.0,0
AL,6/04/2024,Bayer Leverkusen,Union Berlin,A,2.8,0.3,1,0, 1-0,V,Rouge 2,,,,O,3.6,0.7,,,34,20,10,22,73,13,27,5,0.0,0,68.3,0.13,0,0.08,0
AL,30/03/2024,Bayer Leverkusen,Hoffenheim,H,3.1,0.8,2,1, 2-1,V,,,,O,O,6.8,1.8,,O,64,22,7,12,87,29,30,9,0.5,0,66.7,0.07,0,0.0,0
AL,17/03/2024,Bayer Leverkusen,Freiburg,A,2.3,0.9,3,2, 3-2,V,,,,O,,3.0,1.5,O,,32,22,8,22,54,13,18,6,1.0,0,44.4,0.06,0,0.12,0
C3,14/03/2024,Bayer Leverkusen,Qarabağ,H,4.1,1.1,3,2, 3-2,V,Rouge 2,,,O,,6.3,2.5,,O,59,15,11,16,91,34,25,6,1.7,0,55.6,0.21,0,0.04,0
AL,10/03/2024,Bayer Leverkusen,Wolfsburg,H,2.1,0.2,2,0, 2-0,V,Rouge 2,,,O,,5.3,1.2,O,,37,12,6,15,102,20,30,6,0.1,0,64.3,0.07,0,0.0,0
C3,7/03/2024,Bayer Leverkusen,Qarabağ,A,1.3,1.8,2,2, 2-2,N,,,,O,,1.7,2.5,,O,18,26,6,21,42,8,29,6,2.3,1,60.0,0.04,0,0.0,0
AL,3/03/2024,Bayer Leverkusen,Köln,A,1.5,1.0,2,0, 2-0,V,Rouge 2,,,O,O,2.3,1.7,O,,32,16,8,18,94,18,28,8,0.0,0,44.4,0.08,0,0.02,0
AL,23/02/2024,Bayer Leverkusen,Mainz 05,H,1.1,1.1,2,1, 2-1,V,,,,O,O,1.9,1.3,O,,30,13,7,20,51,7,19,4,0.3,1,57.1,0.02,0,0.32,0
AL,17/02/2024,Bayer Leverkusen,Heidenheim,A,1.9,0.4,2,1, 2-1,V,,,,O,O,3.4,1.1,O,,35,24,18,30,51,10,26,7,0.7,0,36.7,0.15,0,0.0,0
AL,10/02/2024,Bayer Leverkusen,Bayern Munich,H,1.3,0.6,3,0, 3-0,V,,,,O,O,2.2,1.0,O,,24,24,7,14,15,4,19,4,0.0,0,46.2,0.12,0,0.01,0
AL,3/02/2024,Bayer Leverkusen,Darmstadt,A,1.9,0.6,2,0, 2-0,V,,,,O,O,3.4,0.8,O,,33,22,11,28,55,14,27,8,1.0,0,50.0,0.09,0,0.07,0
AL,27/01/2024,Bayer Leverkusen,Mönchengladbach,H,2.9,0.3,0,0, 0-0,N,,,,O,O,6.9,0.8,,,51,17,9,18,93,26,36,11,0.4,0,66.7,0.36,0,0.0,0
AL,20/01/2024,Bayer Leverkusen,RB Leipzig,A,2.0,1.6,3,2, 3-2,V,,,,O,,4.5,2.9,,O,35,31,6,15,59,15,23,7,1.7,0,56.3,0.62,2,0.17,0
AL,13/01/2024,Bayer Leverkusen,Augsburg,A,2.0,0.4,1,0, 1-0,V,,,,O,,4.2,0.8,O,,46,18,12,23,68,18,43,16,0.0,0,45.8,0.19,0,0.0,0
AL,20/12/2023,Bayer Leverkusen,Bochum,H,3.3,0.4,4,0, 4-0,V,,,,,O,5.2,0.8,O,,30,15,7,19,62,13,26,8,0.2,1,57.7,0.63,1,0.13,0
AL,17/12/2023,Bayer Leverkusen,Eintracht Frankfurt,H,2.5,0.2,3,0, 3-0,V,,,,,,2.5,0.8,O,,25,20,12,27,49,10,31,10,0.8,0,47.1,0.25,0,0.02,0
C3,14/12/2023,Bayer Leverkusen,Molde,H,1.6,0.5,5,1, 5-1,V,,,O,O,O,2.3,0.6,O,,33,16,7,16,33,8,36,5,0.7,1,42.1,0.1,0,0.09,0
AL,10/12/2023,Bayer Leverkusen,Stuttgart,A,1.3,2.6,1,1, 1-1,N,,,,,,3.2,3.6,,O,32,28,21,32,37,14,29,5,2.4,1,63.6,0.06,0,0.03,0
AL,3/12/2023,Bayer Leverkusen,Dortmund,H,2.1,0.7,1,1, 1-1,N,,,,,,2.7,0.8,,O,44,25,11,30,88,20,44,12,0.9,1,64.7,0.16,0,0.0,0
C3,30/11/2023,Bayer Leverkusen,Häcken,A,1.7,1.3,2,0, 2-0,V,,O,O,,O,2.7,1.3,O,,15,24,8,19,32,4,17,4,2.1,0,71.4,0.02,0,0.0,0
AL,25/11/2023,Bayer Leverkusen,Werder Bremen,A,1.0,0.2,3,0, 3-0,V,,,,,,1.7,1.0,O,,25,23,10,21,44,13,23,8,0.2,0,27.3,0.07,0,0.04,0
AL,12/11/2023,Bayer Leverkusen,Union Berlin,H,2.4,0.0,4,0, 4-0,V,,,,,,3.7,0.1,O,,31,14,7,15,72,9,22,4,0.4,0,63.2,0.54,2,0.0,0
C3,9/11/2023,Bayer Leverkusen,Qarabağ,A,1.7,0.9,1,0, 1-0,V,,,,,O,1.7,1.5,,,19,12,11,20,39,4,14,2,0.3,1,43.8,0.17,0,0.01,0
AL,4/11/2023,Bayer Leverkusen,Hoffenheim,A,1.0,1.7,3,2, 3-2,V,,,,,,2.4,1.2,O,,16,13,10,20,55,11,32,9,1.7,1,62.5,0.03,1,0.0,0
AL,29/10/2023,Bayer Leverkusen,Freiburg,H,1.4,0.9,2,1, 2-1,V,,,,,,2.4,1.2,O,,28,13,14,27,65,13,24,10,0.7,1,58.8,0.34,0,0.55,1
C3,26/10/2023,Bayer Leverkusen,Qarabağ,H,2.5,0.9,5,1, 5-1,V,,,,,,2.7,0.5,O,,37,20,11,23,44,7,38,14,1.0,0,63.6,0.06,0,0.0,0
AL,21/10/2023,Bayer Leverkusen,Wolfsburg,A,1.9,1.4,2,1, 2-1,V,,,,,,4.1,2.2,O,,26,17,10,21,45,7,22,8,1.7,1,50.0,0.02,0,0.0,0
AL,8/10/2023,Bayer Leverkusen,Köln,H,3.2,1.3,3,0, 3-0,V,,,,,,5.9,1.3,O,,41,14,13,23,53,14,28,7,1.1,0,28.6,0.59,0,0.42,0
C3,5/10/2023,Bayer Leverkusen,Molde,A,1.7,1.3,2,1, 2-1,V,,,O,O,O,2.8,2.1,O,,21,21,5,14,41,10,22,4,1.7,0,35.3,0.0,0,0.09,0
AL,30/09/2023,Bayer Leverkusen,Mainz 05,A,1.1,0.5,3,0, 3-0,V,,,,,,1.7,1.2,O,,10,22,12,20,31,4,17,5,0.5,1,75.0,0.0,0,0.16,0
AL,24/09/2023,Bayer Leverkusen,Heidenheim,H,3.4,0.5,4,1, 4-1,V,,,,,,4.1,0.5,O,,38,18,14,23,64,15,31,11,1.2,0,70.0,0.0,0,0.0,0
C3,21/09/2023,Bayer Leverkusen,Häcken,H,3.0,0.4,4,0, 4-0,V,,,,,,4.7,1.1,O,,40,31,8,16,51,12,25,8,0.9,1,80.0,0.05,0,0.05,0
AL,15/09/2023,Bayer Leverkusen,Bayern Munich,A,2.1,2.1,2,2, 2-2,N,,,,,,2.0,2.7,,O,23,44,16,33,50,12,18,4,3.0,0,35.0,0.0,0,0.16,0
AL,2/09/2023,Bayer Leverkusen,Darmstadt,H,2.8,0.4,5,1, 5-1,V,,,,,,5.2,1.1,O,,46,11,15,26,86,17,27,6,0.3,0,53.8,0.0,0,0.0,0
AL,26/08/2023,Bayer Leverkusen,Mönchengladbach,A,2.7,0.9,3,0, 3-0,V,,,,,,5.5,2.1,O,,43,25,7,16,54,21,31,7,0.2,0,41.7,0.02,0,0.1,0
AL,19/08/2023,Bayer Leverkusen,RB Leipzig,H,1.4,1.6,3,2, 3-2,V,,,,,,2.8,2.7,O,,18,23,11,22,26,8,29,3,1.5,0,48.0,0.16,1,0.31,1
