Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
AL,18/05/2024,Bayern Munich,Hoffenheim,A,1.5,1.8,2,4, 2-4,D,,O,O,O,,3.1,3.9,N,,22,24,7,15,39,7,25,6,3.8,3,45.0,0.03,0,0.06,0
AL,12/05/2024,Bayern Munich,Wolfsburg,H,0.3,0.2,2,0, 2-0,V,,O,O,O,,1.3,0.4,O,,12,19,9,23,49,9,16,5,0.0,1,50.0,0.03,0,0.0,0
C1,8/05/2024,Bayern Munich,Real Madrid,A,0.4,2.8,1,2, 1-2,D,,,,,,0.5,3.7,N,,14,26,6,14,38,5,18,4,2.6,1,50.0,0.06,0,0.03,0
AL,4/05/2024,Bayern Munich,Stuttgart,A,1.7,1.8,1,3, 1-3,D,,,O,O,,1.5,2.7,,N,18,29,8,16,10,5,8,2,3.2,0,61.5,0.07,0,0.0,0
C1,30/04/2024,Bayern Munich,Real Madrid,H,1.6,1.9,2,2, 2-2,N,,,,,O,1.6,1.6,,O,27,19,11,15,50,10,35,10,1.8,0,22.2,0.09,0,0.03,0
AL,27/04/2024,Bayern Munich,Eintracht Frankfurt,H,3.3,0.5,2,1, 2-1,V,,,O,O,,4.8,0.5,O,,37,27,14,21,59,12,21,4,0.5,0,58.6,0.25,0,0.0,0
AL,20/04/2024,Bayern Munich,Union Berlin,A,1.4,1.4,5,1, 5-1,V,,,O,O,,2.8,2.3,O,,37,20,18,26,61,15,31,15,0.8,0,42.9,0.0,0,0.14,0
C1,17/04/2024,Bayern Munich,Arsenal,H,1.3,0.4,1,0, 1-0,V,,,,,O,2.2,0.9,O,,27,31,5,14,32,5,25,7,0.8,0,56.5,0.18,0,0.05,0
AL,13/04/2024,Bayern Munich,Köln,H,2.2,0.9,2,0, 2-0,V,,,O,,,2.1,1.1,O,,27,24,13,27,81,15,29,13,0.9,1,76.5,0.03,1,0.0,0
C1,9/04/2024,Bayern Munich,Arsenal,A,1.9,1.0,2,2, 2-2,N,,,,,,2.4,1.7,,O,13,23,12,25,21,1,15,6,1.2,0,60.0,0.0,0,0.07,0
AL,6/04/2024,Bayern Munich,Heidenheim,A,1.9,1.4,2,3, 2-3,D,,,O,,,3.8,2.7,N,,27,20,15,29,72,17,28,9,2.0,0,48.3,0.04,0,0.03,0
AL,30/03/2024,Bayern Munich,Dortmund,H,1.5,0.9,0,2, 0-2,D,,,,,,3.8,1.6,,N,29,25,13,28,67,13,28,9,2.3,0,80.0,0.22,0,0.0,0
AL,16/03/2024,Bayern Munich,Darmstadt,A,3.6,1.2,5,2, 5-2,V,,,,,O,5.3,2.3,,O,47,19,27,39,82,19,36,9,1.6,0,63.6,0.09,0,0.0,0
AL,9/03/2024,Bayern Munich,Mainz 05,H,6.2,0.8,8,1, 8-1,V,,,,,O,8.7,1.8,O,,42,21,8,13,46,19,32,4,0.4,0,64.7,0.36,0,0.36,1
C1,5/03/2024,Bayern Munich,Lazio,H,3.5,0.4,3,0, 3-0,V,,,,,O,4.7,0.5,O,,42,25,17,21,61,13,19,7,0.0,0,44.4,0.1,0,0.0,0
AL,1/03/2024,Bayern Munich,Freiburg,A,1.8,1.5,2,2, 2-2,N,,,O,,,3.6,2.3,,O,39,22,15,22,60,13,22,8,2.0,0,62.2,0.18,0,0.0,0
