Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
AL,18/05/2024,Bochum,Werder Bremen,A,2.1,3.0,1,4, 1-4,D,,O,,,,3.1,4.8,,N,49,31,10,22,50,10,16,6,4.3,1,55.8,0.52,0,0.54,1
AL,12/05/2024,Bochum,Bayer Leverkusen,H,0.3,4.2,0,5, 0-5,D,Rouge 1,O,,,,0.8,5.3,,N,6,29,4,9,12,0,4,1,3.9,2,54.2,0.19,0,0.36,1
AL,5/05/2024,Bochum,Union Berlin,A,1.4,0.9,4,3, 4-3,V,,O,,,,2.2,2.1,O,,31,23,7,10,32,7,8,4,2.2,0,63.6,0.13,0,0.14,0
AL,26/04/2024,Bochum,Hoffenheim,H,3.2,1.0,3,2, 3-2,V,,O,,,,4.1,2.0,O,,54,19,8,15,43,12,15,6,1.3,0,54.0,0.64,0,0.14,0
AL,20/04/2024,Bochum,Wolfsburg,A,1.3,0.8,0,1, 0-1,D,,O,,,O,2.1,1.3,,N,22,28,6,11,34,8,10,0,0.6,0,53.1,0.74,0,0.07,0
AL,13/04/2024,Bochum,Heidenheim,H,1.2,1.1,1,1, 1-1,N,,O,,,O,1.5,1.7,N,,38,20,10,17,53,10,22,1,0.5,0,28.6,0.12,1,0.25,0
AL,6/04/2024,Bochum,Köln,A,0.6,1.0,1,2, 1-2,D,,O,,,O,1.0,1.8,N,,18,29,4,10,12,7,3,1,1.0,0,46.6,0.14,0,0.35,1
AL,31/03/2024,Bochum,Darmstadt,H,1.8,0.9,2,2, 2-2,N,,O,,,O,2.7,2.5,N,,34,28,3,10,45,9,16,5,0.3,1,62.7,0.53,0,0.19,0
AL,16/03/2024,Bochum,Mainz 05,A,0.7,2.5,0,2, 0-2,D,,O,,,,0.8,3.0,,N,16,20,4,24,43,8,8,0,2.6,0,51.3,0.15,0,0.02,0
AL,10/03/2024,Bochum,Freiburg,H,1.2,1.4,1,2, 1-2,D,,O,,,,3.2,2.2,,N,44,15,10,18,49,14,16,1,1.6,0,63.5,0.42,1,0.0,0
