Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
IT,24/05/2024,Bologna,Genoa,A,1.0,1.5,0,2, 0-2,D,,O,O,O,,2.0,1.4,,N,19,16,3,5,20,6,24,1,0.0,2,59.5,0.64,0,0.15,0
IT,20/05/2024,Bologna,Juventus,H,1.4,0.7,3,3, 3-3,N,,O,,O,,1.3,0.7,N,,12,25,8,15,31,3,6,1,0.7,2,62.5,0.0,0,0.05,0
IT,11/05/2024,Bologna,Napoli,A,1.4,1.5,2,0, 2-0,V,,,,O,,0.7,1.3,O,,17,39,8,22,24,5,9,1,2.2,0,47.4,0.08,0,0.25,0
IT,3/05/2024,Bologna,Torino,A,0.2,0.7,0,0, 0-0,N,,,,O,,0.5,0.3,,,9,20,4,9,30,1,17,5,0.1,0,40.9,0.05,0,0.04,0
IT,28/04/2024,Bologna,Udinese,H,0.7,0.7,1,1, 1-1,N,Rouge 1,,O,O,,0.9,0.9,,O,29,19,11,24,49,7,15,4,0.4,0,37.5,0.0,0,0.26,0
IT,22/04/2024,Bologna,Roma,A,1.1,2.0,3,1, 3-1,V,,,,O,O,1.5,1.7,O,,18,27,9,19,32,6,17,2,1.1,0,42.1,0.0,0,0.55,0
IT,13/04/2024,Bologna,Monza,H,2.1,0.4,0,0, 0-0,N,,,O,,,4.0,0.9,,,34,13,7,14,70,11,21,8,0.0,0,37.5,0.59,0,0.0,0
IT,7/04/2024,Bologna,Frosinone,A,2.0,0.4,0,0, 0-0,N,,,,,,2.7,0.4,,,24,25,9,13,37,8,12,3,0.3,1,64.5,0.1,0,0.02,0
IT,1/04/2024,Bologna,Salernitana,H,1.6,0.6,3,0, 3-0,V,,,,,,2.8,0.9,O,,27,27,5,18,66,11,29,11,0.5,1,66.7,0.05,0,0.03,0
IT,15/03/2024,Bologna,Empoli,A,2.3,1.0,1,0, 1-0,V,,O,,,,2.9,1.7,O,,34,16,4,17,52,13,27,7,0.1,0,65.6,0.13,0,0.01,0
IT,9/03/2024,Bologna,Inter,H,0.6,0.9,0,1, 0-1,D,,,O,,O,0.8,1.0,,N,29,17,11,19,44,6,22,5,1.3,1,26.1,0.09,0,0.0,0
IT,3/03/2024,Bologna,Atalanta,A,1.3,1.4,2,1, 2-1,V,,,,,,1.0,1.4,,O,15,28,11,22,20,4,13,2,1.2,0,52.0,0.34,0,0.05,0
IT,23/02/2024,Bologna,Verona,H,1.6,0.6,2,0, 2-0,V,,,O,,,2.5,0.5,O,,20,20,5,15,23,5,11,2,1.0,2,48.4,0.05,0,0.14,0
IT,18/02/2024,Bologna,Lazio,A,1.4,1.1,2,1, 2-1,V,,,O,,,1.6,1.8,,O,19,19,9,18,27,6,14,4,1.1,0,52.9,0.0,0,0.0,0
IT,14/02/2024,Bologna,Fiorentina,H,2.1,0.9,2,0, 2-0,V,,,O,,,3.4,1.6,O,,32,19,10,15,29,7,18,7,0.4,1,47.8,0.18,0,0.0,0
IT,11/02/2024,Bologna,Lecce,H,1.5,1.2,4,0, 4-0,V,,,,,,1.0,1.3,O,,26,28,9,19,35,8,21,4,0.6,1,33.3,0.03,0,0.13,0
IT,3/02/2024,Bologna,Sassuolo,H,1.1,0.8,4,2, 4-2,V,,,,,,1.5,0.7,,O,33,24,12,24,56,15,13,4,0.9,1,51.4,0.1,0,0.04,0
IT,27/01/2024,Bologna,Milan,A,1.8,3.3,2,2, 2-2,N,,,,,O,1.2,2.9,N,,26,25,6,14,28,4,14,4,2.3,0,33.3,0.06,0,0.05,0
IT,14/01/2024,Bologna,Cagliari,A,0.6,0.7,1,2, 1-2,D,,O,,,,1.3,0.8,N,,19,30,8,17,71,11,21,3,0.6,0,46.2,0.02,0,0.0,0
IT,5/01/2024,Bologna,Genoa,H,1.3,0.1,1,1, 1-1,N,,,,O,,2.0,0.1,N,,38,20,12,26,65,10,24,4,0.3,0,60.0,0.27,0,0.0,0
IT,30/12/2023,Bologna,Udinese,A,0.9,1.1,0,3, 0-3,D,,,,,,1.7,1.0,,N,21,23,8,18,51,7,16,5,1.8,0,57.9,0.05,0,0.06,0
IT,23/12/2023,Bologna,Atalanta,H,0.7,1.2,1,0, 1-0,V,,,,,O,1.1,2.1,O,,12,24,4,13,28,4,15,4,0.5,0,39.3,0.24,1,0.22,0
IT,17/12/2023,Bologna,Roma,H,0.5,0.6,2,0, 2-0,V,,,,,O,1.4,1.0,O,,15,24,10,22,35,6,18,4,1.0,0,51.9,0.0,0,0.16,0
IT,10/12/2023,Bologna,Salernitana,A,2.1,0.5,2,1, 2-1,V,Rouge 2,,,,O,1.2,1.2,O,,15,17,11,22,41,8,22,4,0.5,0,42.3,0.0,0,0.04,0
IT,3/12/2023,Bologna,Lecce,A,1.2,1.5,1,1, 1-1,N,,,,,O,1.5,1.4,N,,21,29,6,15,39,5,28,13,1.2,0,50.0,0.08,0,0.05,0
IT,27/11/2023,Bologna,Torino,H,1.5,0.4,2,0, 2-0,V,,,,,O,1.8,0.8,O,,23,21,10,22,24,2,11,1,0.5,0,50.0,0.19,0,0.08,0
IT,12/11/2023,Bologna,Fiorentina,A,1.8,1.4,1,2, 1-2,D,,,,,,0.5,1.3,,N,18,24,7,23,42,6,17,1,1.6,0,48.1,0.0,0,0.02,0
IT,3/11/2023,Bologna,Lazio,H,0.6,0.5,1,0, 1-0,V,,,,,,0.8,0.6,O,,12,31,15,25,21,2,15,4,0.0,0,33.3,0.0,0,0.07,0
IT,28/10/2023,Bologna,Sassuolo,A,1.0,0.9,1,1, 1-1,N,,,,,,1.6,1.5,N,,18,33,7,19,36,3,12,3,1.5,2,66.7,0.01,0,0.19,0
IT,22/10/2023,Bologna,Frosinone,H,1.5,1.5,2,1, 2-1,V,,,,,,1.0,1.1,O,,20,28,5,19,32,10,12,1,1.4,1,44.4,0.03,0,0.15,0
IT,7/10/2023,Bologna,Inter,A,1.3,0.7,2,2, 2-2,N,,,,,,0.8,1.3,,O,13,32,2,10,27,2,9,0,0.9,0,41.2,0.24,0,0.28,1
IT,1/10/2023,Bologna,Empoli,H,2.4,0.9,3,0, 3-0,V,,,,,,2.5,1.5,O,,35,15,10,25,35,12,19,2,0.7,1,50.0,0.0,0,0.27,0
IT,28/09/2023,Bologna,Monza,A,0.7,0.7,0,0, 0-0,N,,,,,,0.6,1.3,,,14,23,9,18,42,3,31,5,0.7,0,67.9,0.41,0,0.06,0
IT,24/09/2023,Bologna,Napoli,H,0.2,2.1,0,0, 0-0,N,,,,,O,0.5,1.0,,,7,25,9,21,25,3,17,3,0.4,0,75.0,0.09,0,0.0,0
IT,18/09/2023,Bologna,Verona,A,0.6,0.4,0,0, 0-0,N,,,O,,,1.2,0.7,,,21,13,6,14,37,10,16,4,0.2,1,60.7,0.0,0,0.11,0
IT,2/09/2023,Bologna,Cagliari,H,2.3,0.5,2,1, 2-1,V,,,O,,,1.5,0.6,,O,29,23,5,15,59,10,22,4,0.8,0,53.8,0.14,0,0.0,0
IT,27/08/2023,Bologna,Juventus,A,0.5,0.8,1,1, 1-1,N,,,O,,,0.8,1.8,N,,17,24,5,14,29,6,10,4,0.6,0,47.8,0.0,0,0.0,0
