Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
UK,19/05/2024,Brentford,Newcastle United,H,1.1,3.4,2,4, 2-4,D,,,,,,2.0,3.4,,N,20,19,6,18,41,10,17,1,3.7,3,69.2,0.0,0,0.0,0
UK,11/05/2024,Brentford,Bournemouth,A,1.1,0.7,2,1, 2-1,V,,,,,,2.1,1.3,O,,21,26,9,18,22,5,18,8,0.6,0,54.1,0.05,0,0.04,0
UK,4/05/2024,Brentford,Fulham,H,0.6,1.3,0,0, 0-0,N,,,,,,0.9,1.3,,,12,27,10,16,41,7,23,9,0.2,0,53.1,0.01,0,0.1,0
UK,27/04/2024,Brentford,Everton,A,0.9,0.8,0,1, 0-1,D,,,,,,1.3,1.4,,N,19,27,5,16,35,10,13,2,0.5,0,48.5,0.16,0,0.01,0
UK,20/04/2024,Brentford,Luton,A,3.1,0.6,5,1, 5-1,V,,,,,O,4.6,0.5,,O,35,34,8,20,34,12,21,5,0.9,1,52.9,0.15,0,0.0,0
UK,13/04/2024,Brentford,Sheffield United,H,1.0,0.8,2,0, 2-0,V,,,O,,O,2.1,1.6,O,,16,26,11,19,34,7,19,4,0.7,0,54.8,0.04,0,0.0,0
UK,6/04/2024,Brentford,Aston Villa,A,1.5,1.5,3,3, 3-3,N,,,O,,O,2.5,2.1,,O,14,17,5,11,20,5,9,3,1.4,1,50.0,0.0,0,0.42,0
UK,3/04/2024,Brentford,Brighton,H,0.6,1.1,0,0, 0-0,N,,O,O,O,,1.1,2.1,,,10,24,8,15,30,8,8,2,0.8,0,44.8,0.02,0,0.03,0
UK,30/03/2024,Brentford,Manchester United,H,3.2,0.6,1,1, 1-1,N,,O,O,O,,4.8,1.3,N,,51,22,8,18,43,19,18,8,1.8,0,62.2,0.43,0,0.11,0
UK,16/03/2024,Brentford,Burnley,A,1.1,2.8,1,2, 1-2,D,Rouge 1,O,O,O,,1.8,4.0,,N,15,40,4,11,23,13,7,3,2.1,0,51.1,0.42,0,0.04,0
UK,9/03/2024,Brentford,Arsenal,A,1.0,1.3,1,2, 1-2,D,,O,O,O,,1.2,2.7,,N,15,21,0,2,13,3,4,0,2.2,0,53.7,0.08,0,0.15,0
UK,2/03/2024,Brentford,Chelsea,H,1.8,1.8,2,2, 2-2,N,,O,O,,,1.7,3.5,,O,22,40,2,16,27,10,3,0,1.2,0,58.1,0.0,0,0.0,0
UK,26/02/2024,Brentford,West Ham,A,0.9,1.7,2,4, 2-4,D,,O,O,,,1.6,2.8,,N,25,43,5,15,55,14,18,2,2.4,0,39.5,0.0,0,0.0,0
