Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
FR,19/05/2024,Brest,Toulouse,A,1.6,0.9,3,0, 3-0,V,,O,O,O,,2.4,1.5,O,,24,31,7,13,38,5,22,4,0.5,0,61.3,0.02,0,0.2,0
FR,10/05/2024,Brest,Reims,H,1.3,0.6,1,1, 1-1,N,,O,O,,,2.4,0.9,N,,28,24,7,20,64,10,19,2,0.4,1,55.3,0.33,1,0.07,0
FR,4/05/2024,Brest,Nantes,H,0.5,1.6,0,0, 0-0,N,,,,,,1.1,1.8,,,16,19,4,16,61,8,17,2,0.2,0,59.5,0.16,0,0.01,0
FR,28/04/2024,Brest,Rennes,A,2.0,2.6,5,4, 5-4,V,,,,,,3.0,1.6,,O,17,29,3,12,34,7,13,1,2.6,1,66.7,0.67,1,0.13,0
FR,21/04/2024,Brest,Monaco,H,0.6,0.9,0,2, 0-2,D,,,O,,,1.3,1.5,,N,19,34,12,22,47,6,14,1,1.4,1,51.5,0.33,0,0.08,0
FR,14/04/2024,Brest,Lyon,A,1.7,2.1,3,4, 3-4,D,,,,,O,2.2,1.5,,N,37,36,16,24,40,12,24,2,2.8,0,40.7,0.36,1,0.15,0
FR,7/04/2024,Brest,Metz,H,3.2,2.2,4,3, 4-3,V,,,,,,5.0,1.8,,O,44,30,8,15,64,9,17,5,1.7,1,63.3,0.36,1,0.21,1
FR,31/03/2024,Brest,Lorient,A,0.5,1.0,1,0, 1-0,V,,,O,,,0.7,2.8,O,,17,21,6,11,38,6,8,0,0.9,0,32.1,0.12,0,0.21,0
FR,17/03/2024,Brest,Lille,H,1.0,0.8,1,1, 1-1,N,,,,,,1.4,1.0,,O,28,29,6,12,43,8,14,1,1.8,0,60.0,0.03,0,0.01,0
FR,9/03/2024,Brest,Lens,A,0.7,0.9,0,1, 0-1,D,,,,,,2.1,0.8,,N,16,26,9,16,41,5,12,4,0.6,0,38.2,0.0,0,0.01,0
FR,3/03/2024,Brest,Le Havre,H,1.0,0.6,1,0, 1-0,V,,,,,,1.4,0.8,O,,17,24,8,15,33,3,13,3,0.3,0,46.7,0.0,0,0.0,0
FR,24/02/2024,Brest,Strasbourg,A,1.8,0.2,3,0, 3-0,V,,,,,,1.5,0.4,O,,26,30,8,17,30,8,15,3,0.0,0,52.4,0.12,0,0.0,0
