Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
UK,19/05/2024,Brighton,Manchester United,H,1.7,1.3,0,2, 0-2,D,,,,,O,3.0,1.3,,N,31,28,3,19,34,9,22,5,1.1,0,50.0,0.23,0,0.0,0
UK,15/05/2024,Brighton,Chelsea,H,1.3,1.5,1,2, 1-2,D,,,,,,3.1,2.8,N,,23,22,8,21,50,15,28,9,1.0,0,66.7,0.0,0,0.0,0
UK,11/05/2024,Brighton,Newcastle United,A,1.4,2.2,1,1, 1-1,N,,,O,,,1.9,3.6,,O,25,28,7,11,29,6,22,6,1.3,0,27.8,0.1,0,0.42,0
UK,5/05/2024,Brighton,Aston Villa,H,2.5,0.1,1,0, 1-0,V,,,,,,3.1,0.1,O,,28,26,10,18,28,10,18,5,0.7,0,50.0,0.05,0,0.0,0
UK,28/04/2024,Brighton,Bournemouth,A,0.9,1.9,0,3, 0-3,D,,,,,,1.4,2.9,,N,25,31,9,18,43,8,29,9,1.3,1,44.0,0.0,0,0.22,0
UK,25/04/2024,Brighton,Manchester City,H,0.6,1.4,0,4, 0-4,D,,,,,,1.0,1.4,,N,11,25,7,10,19,5,14,3,1.9,1,50.0,0.05,0,0.42,0
UK,13/04/2024,Brighton,Burnley,A,0.9,1.7,1,1, 1-1,N,,,,,,1.4,3.0,,O,33,21,8,24,49,13,24,7,0.5,1,59.1,0.06,0,0.06,0
UK,6/04/2024,Brighton,Arsenal,H,0.5,3.4,0,3, 0-3,D,,,,,,0.7,4.8,,N,14,29,5,16,36,4,23,6,3.3,0,47.4,0.05,0,0.93,0
UK,3/04/2024,Brighton,Brentford,A,1.1,0.6,0,0, 0-0,N,,,,,,2.1,1.1,,,45,22,13,23,55,12,30,5,0.1,0,55.2,0.03,0,0.02,0
UK,31/03/2024,Brighton,Liverpool,A,0.5,2.8,1,2, 1-2,D,,,O,,,0.8,3.4,N,,15,37,8,26,35,7,17,4,2.4,0,47.1,0.07,0,0.01,0
C3,14/03/2024,Brighton,Roma,H,1.4,0.4,1,0, 1-0,V,,,O,,,2.9,0.5,O,,38,16,6,14,71,14,31,7,0.1,1,73.7,0.16,0,0.04,0
UK,10/03/2024,Brighton,Nottingham Forest,H,0.4,0.7,1,0, 1-0,V,,,O,,,0.7,0.8,,,19,14,8,15,32,3,13,3,1.3,1,60.0,0.08,0,0.01,0
C3,7/03/2024,Brighton,Roma,A,1.0,2.9,0,4, 0-4,D,,,O,,,2.0,5.0,,N,20,14,5,15,39,7,32,7,3.8,2,56.3,0.0,0,0.0,0
UK,2/03/2024,Brighton,Fulham,A,1.3,1.3,0,3, 0-3,D,,,O,,,2.5,1.7,,N,30,24,11,25,67,14,26,8,2.2,3,58.6,0.19,0,0.03,0
