Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
UK,19/05/2024,Burnley,Nottingham Forest,H,1.2,1.7,1,2, 1-2,D,,,,O,,1.9,2.7,,N,35,17,8,20,51,6,31,9,2.1,0,42.3,0.0,0,0.1,0
UK,11/05/2024,Burnley,Tottenham,A,0.7,2.7,1,2, 1-2,D,,,,O,,1.1,3.7,N,,13,28,5,12,25,5,8,4,2.0,2,52.6,0.04,0,0.15,0
UK,4/05/2024,Burnley,Newcastle United,H,1.0,3.4,1,4, 1-4,D,,,,,,1.5,4.0,,N,29,31,6,21,32,3,24,11,4.8,0,62.5,0.05,1,0.07,0
UK,27/04/2024,Burnley,Manchester United,A,2.1,2.7,1,1, 1-1,N,,,,O,,1.5,4.0,,O,26,27,6,14,40,7,39,13,2.1,1,48.0,0.0,0,0.09,0
UK,20/04/2024,Burnley,Sheffield United,A,2.2,2.4,4,1, 4-1,V,,,,,,2.2,3.4,O,,26,22,4,14,34,11,20,5,2.9,1,44.4,0.0,0,0.18,0
UK,13/04/2024,Burnley,Brighton,H,1.7,0.9,1,1, 1-1,N,,O,,,,3.0,1.4,N,,18,27,7,20,37,8,28,12,1.1,1,40.9,0.06,0,0.06,0
UK,6/04/2024,Burnley,Everton,A,0.5,0.9,0,1, 0-1,D,Rouge 1,,,,,0.8,1.0,,N,11,21,10,24,37,8,19,5,0.3,2,45.5,0.21,0,0.0,0
UK,2/04/2024,Burnley,Wolves,H,1.3,0.9,1,1, 1-1,N,,,,O,,2.4,1.3,N,,23,22,8,19,40,10,28,8,0.9,0,53.8,0.04,0,0.14,1
UK,30/03/2024,Burnley,Chelsea,A,1.6,4.2,2,2, 2-2,N,Rouge 1,,,,,1.7,5.5,N,,33,21,6,15,21,6,13,7,4.8,1,66.7,0.22,1,0.0,0
UK,16/03/2024,Burnley,Brentford,H,2.8,1.1,2,1, 2-1,V,Rouge 2,,,O,,4.0,1.8,O,,29,18,5,24,51,17,31,10,0.7,1,48.9,0.04,0,0.42,0
UK,10/03/2024,Burnley,West Ham,A,0.7,2.1,2,2, 2-2,N,,,,,,1.1,1.5,N,,18,26,10,23,31,6,23,8,0.8,0,33.3,0.0,0,0.24,0
UK,3/03/2024,Burnley,Bournemouth,H,1.5,1.1,0,2, 0-2,D,,,,O,,2.5,1.6,,N,38,21,10,17,48,8,31,13,0.5,0,53.1,0.07,0,0.0,0
UK,24/02/2024,Burnley,Crystal Palace,A,0.1,2.4,0,3, 0-3,D,Rouge 1,,,,,0.2,2.9,,N,2,17,9,15,9,1,11,1,2.1,0,33.3,0.0,0,0.34,0
UK,17/02/2024,Burnley,Arsenal,H,0.3,2.3,0,5, 0-5,D,,,,,O,0.6,2.3,,N,15,23,11,19,21,4,11,3,2.5,0,28.6,0.03,0,0.02,0
UK,10/02/2024,Burnley,Liverpool,A,1.3,2.8,1,3, 1-3,D,,,,,O,1.2,4.3,,N,14,20,16,27,21,5,13,3,2.9,0,36.8,0.02,1,0.49,1
UK,3/02/2024,Burnley,Fulham,H,1.8,1.5,2,2, 2-2,N,,,,,O,1.9,2.1,,O,23,23,9,17,30,3,22,9,1.3,1,47.1,0.08,0,0.34,1
UK,31/01/2024,Burnley,Manchester City,A,1.4,1.7,1,3, 1-3,D,,,,,O,1.9,3.1,,N,13,27,5,11,21,5,12,6,1.9,0,29.2,0.1,0,0.46,1
UK,12/01/2024,Burnley,Luton,H,1.1,0.9,1,1, 1-1,N,,,,,,0.7,1.6,N,,24,29,12,23,28,5,18,3,0.7,1,41.3,0.06,0,0.0,0
UK,30/12/2023,Burnley,Aston Villa,A,1.2,3.2,2,3, 2-3,D,Rouge 1,,,,O,1.5,3.9,,N,16,19,4,9,14,2,9,7,2.6,0,54.2,0.04,0,0.02,0
UK,26/12/2023,Burnley,Liverpool,H,0.8,1.8,0,2, 0-2,D,,,,,O,1.3,2.6,,N,15,35,14,24,22,4,17,2,3.4,1,32.6,0.01,0,0.16,0
UK,23/12/2023,Burnley,Fulham,A,0.4,1.3,2,0, 2-0,V,,,,,O,0.7,1.9,O,,14,30,4,11,23,5,13,4,0.5,0,35.7,0.06,0,0.0,0
UK,16/12/2023,Burnley,Everton,H,0.7,1.4,0,2, 0-2,D,,,,,O,1.3,1.8,,N,24,20,9,16,51,9,26,5,1.8,0,47.8,0.16,0,0.26,1
UK,9/12/2023,Burnley,Brighton,A,0.6,2.6,1,1, 1-1,N,,,,,O,0.4,4.2,N,,11,37,7,15,25,2,15,3,4.0,1,45.5,0.0,0,0.04,0
UK,5/12/2023,Burnley,Wolves,A,0.9,0.8,0,1, 0-1,D,,,O,,O,1.0,1.6,,N,19,29,5,13,26,3,18,5,0.9,1,44.1,0.04,0,0.42,0
UK,2/12/2023,Burnley,Sheffield United,H,1.8,0.4,5,0, 5-0,V,Rouge 2,,O,,O,2.8,0.7,O,,37,11,14,25,73,13,31,12,0.6,0,59.5,0.14,0,0.0,0
UK,25/11/2023,Burnley,West Ham,H,1.3,0.9,1,2, 1-2,D,,,O,,O,0.8,1.8,,N,20,22,5,14,27,4,12,7,0.6,0,47.6,0.13,0,0.19,0
UK,11/11/2023,Burnley,Arsenal,A,0.3,1.8,1,3, 1-3,D,,,O,,O,0.5,3.2,,N,12,23,3,15,24,1,12,3,2.9,0,44.0,0.03,0,0.88,1
UK,4/11/2023,Burnley,Crystal Palace,H,1.1,1.3,0,2, 0-2,D,,,O,,O,1.7,2.1,,N,32,23,9,21,44,9,23,9,1.8,1,48.6,0.28,0,0.04,0
UK,28/10/2023,Burnley,Bournemouth,A,0.8,1.1,1,2, 1-2,D,,,O,,,0.9,1.4,N,,9,21,8,20,34,5,12,5,1.4,1,48.3,0.53,0,0.09,0
