Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
ES,25/05/2024,Cadiz,Almeria,A,0.5,2.9,1,6, 1-6,D,,,,O,,0.9,2.7,N,,23,18,8,17,36,11,16,3,3.2,2,50.0,0.0,0,0.0,0
ES,19/05/2024,Cadiz,Las Palmas,H,0.9,0.6,0,0, 0-0,N,Rouge 1,,,,,1.8,1.0,,,20,29,12,22,42,8,11,4,0.1,1,70.0,0.05,0,0.02,0
ES,15/05/2024,Cadiz,Sevilla,A,2.5,1.3,1,0, 1-0,V,,,,,,2.4,2.1,O,,32,23,10,16,29,5,20,5,0.9,0,43.3,0.02,0,0.0,0
ES,12/05/2024,Cadiz,Getafe,H,1.5,0.5,1,0, 1-0,V,,,,,,1.7,1.0,,,25,21,3,13,37,9,12,5,0.2,0,42.3,0.11,0,0.01,0
ES,4/05/2024,Cadiz,Real Madrid,A,0.9,2.3,0,3, 0-3,D,,,,,,1.2,4.7,,N,12,34,6,12,20,5,11,2,2.2,0,62.5,0.28,0,0.0,0
ES,28/04/2024,Cadiz,Mallorca,H,0.4,0.9,1,1, 1-1,N,,,,,,0.7,1.1,,O,20,32,5,15,37,4,14,3,1.3,0,43.4,0.07,0,0.01,0
ES,20/04/2024,Cadiz,Girona,A,1.6,2.1,1,4, 1-4,D,,,,,O,2.6,2.7,,N,23,30,4,5,32,8,19,2,2.0,1,33.3,0.05,0,0.0,0
ES,13/04/2024,Cadiz,Barcelona,H,1.0,0.9,0,1, 0-1,D,,,,,,2.1,1.1,,N,24,29,9,16,28,10,15,3,0.6,0,66.7,0.07,0,0.01,0
ES,29/03/2024,Cadiz,Granada,H,1.6,0.5,1,0, 1-0,V,,,,,,2.4,0.7,O,,23,39,5,19,36,9,22,7,0.3,0,70.0,0.08,0,0.09,0
ES,15/03/2024,Cadiz,Real Sociedad,A,0.8,1.9,0,2, 0-2,D,,,,,,1.0,3.0,,N,23,18,11,17,21,4,10,2,1.9,2,29.4,0.0,0,0.16,0
ES,9/03/2024,Cadiz,Atletico Madrid,H,1.1,0.9,2,0, 2-0,V,,,,,,2.0,0.9,O,,13,30,7,18,32,4,10,1,0.6,0,56.7,0.04,0,0.0,0
ES,2/03/2024,Cadiz,Rayo Vallecano,A,1.0,0.7,1,1, 1-1,N,,,,O,,1.6,0.7,,O,28,29,6,18,28,8,7,5,0.7,1,56.8,0.06,0,0.08,0
ES,25/02/2024,Cadiz,Celta Vigo,H,2.2,0.7,2,2, 2-2,N,,,,,,2.5,1.1,,O,34,26,10,19,44,10,9,1,0.8,0,39.7,0.04,0,0.25,0
ES,17/02/2024,Cadiz,Osasuna,A,0.5,2.0,0,2, 0-2,D,,,,,O,0.9,3.0,,N,10,20,8,15,33,5,9,1,1.4,0,50.0,0.3,0,0.05,0
ES,9/02/2024,Cadiz,Real Betis,H,0.8,1.0,0,2, 0-2,D,,,,,O,1.9,1.7,,N,26,24,9,21,46,10,11,0,1.4,0,45.5,0.16,0,0.31,0
ES,4/02/2024,Cadiz,Villarreal,A,0.7,1.2,0,0, 0-0,N,,,O,,O,1.2,2.8,,,14,25,7,20,26,4,7,0,0.4,0,43.2,0.03,0,0.33,0
ES,28/01/2024,Cadiz,Athletic Club,H,0.4,0.2,0,0, 0-0,N,,,,,O,0.4,0.5,,,16,29,6,23,21,6,11,0,0.0,0,40.0,0.09,0,0.02,0
ES,19/01/2024,Cadiz,Alaves,A,0.3,2.0,0,1, 0-1,D,,,,,O,0.7,1.9,,,17,25,8,11,26,5,21,1,1.1,1,58.1,0.07,0,0.0,0
ES,14/01/2024,Cadiz,Valencia,H,1.1,1.9,1,4, 1-4,D,,,,,,0.7,2.6,,N,17,24,5,22,41,4,11,2,3.4,1,46.2,0.0,0,0.0,0
ES,3/01/2024,Cadiz,Granada,A,0.8,3.0,0,2, 0-2,D,Rouge 1,,,,,1.1,4.8,,N,26,25,10,17,29,5,18,1,3.6,0,39.3,0.09,0,0.3,0
ES,21/12/2023,Cadiz,Real Sociedad,H,1.0,0.5,0,0, 0-0,N,,,,,O,0.9,0.7,,,16,33,7,19,16,5,10,3,0.1,0,54.9,0.14,0,0.03,0
