Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
IT,23/05/2024,Cagliari,Fiorentina,H,1.9,2.0,2,3, 2-3,D,,O,,O,,3.1,2.3,,N,25,28,6,11,26,10,9,5,1.0,0,40.9,0.46,0,0.77,1
IT,19/05/2024,Cagliari,Sassuolo,A,1.5,0.3,2,0, 2-0,V,Rouge 2,,,,,1.1,0.7,O,,25,17,9,22,30,6,18,4,0.0,0,51.0,0.0,0,0.14,0
IT,11/05/2024,Cagliari,Milan,A,1.5,3.3,1,5, 1-5,D,,,,O,,1.2,3.7,,N,23,18,6,17,21,4,15,1,4.1,0,45.0,0.05,0,0.02,0
IT,5/05/2024,Cagliari,Lecce,H,1.0,1.8,1,1, 1-1,N,Rouge 1,,,,,1.3,2.9,N,,16,13,5,11,20,5,6,3,1.1,0,50.9,0.06,0,0.3,0
IT,29/04/2024,Cagliari,Genoa,A,1.1,1.2,0,3, 0-3,D,,O,O,,,1.8,1.7,,N,19,18,8,14,28,7,9,0,2.0,1,48.8,0.11,0,0.1,0
IT,19/04/2024,Cagliari,Juventus,H,2.2,0.7,2,2, 2-2,N,,,,,,0.8,1.3,,O,11,25,0,10,16,3,11,3,0.4,0,53.8,0.07,0,0.03,0
IT,14/04/2024,Cagliari,Inter,A,1.1,2.0,2,2, 2-2,N,,O,,O,O,1.3,2.8,,O,16,15,2,8,25,7,16,2,2.5,0,50.0,0.0,0,0.0,0
IT,7/04/2024,Cagliari,Atalanta,H,0.7,0.5,2,1, 2-1,V,,,,,,1.1,1.1,,O,20,34,11,25,24,4,14,4,0.8,0,48.5,0.12,0,0.0,0
IT,1/04/2024,Cagliari,Verona,H,0.6,1.4,1,1, 1-1,N,,,,O,,1.1,2.0,,O,19,22,11,18,45,7,17,6,1.8,0,45.7,0.0,0,0.0,0
IT,16/03/2024,Cagliari,Monza,A,0.4,1.0,0,1, 0-1,D,,,O,,,0.7,1.6,,N,19,18,6,14,29,7,19,1,0.5,1,55.6,0.08,0,0.04,0
IT,9/03/2024,Cagliari,Salernitana,H,3.3,0.9,4,2, 4-2,V,,,,,,1.7,1.7,O,,18,25,8,13,19,4,7,4,1.0,0,35.3,0.07,0,0.14,1
IT,3/03/2024,Cagliari,Empoli,A,0.6,1.4,1,0, 1-0,V,,,,,,0.7,1.7,O,,13,18,4,13,27,5,9,3,1.0,0,56.3,0.02,0,0.23,0
IT,25/02/2024,Cagliari,Napoli,H,0.7,1.3,1,1, 1-1,N,,,,,,1.4,2.1,N,,14,25,7,9,23,11,10,3,1.1,0,38.7,0.11,0,0.03,0
IT,18/02/2024,Cagliari,Udinese,A,0.2,1.0,1,1, 1-1,N,,,,,O,0.5,1.2,,O,10,22,4,10,38,5,13,2,0.4,1,50.0,0.0,0,0.13,0
IT,10/02/2024,Cagliari,Lazio,H,0.8,1.3,1,3, 1-3,D,,,,,,1.3,2.1,,N,22,18,6,14,24,9,15,2,1.5,0,63.3,0.31,0,0.0,0
IT,5/02/2024,Cagliari,Roma,A,0.6,2.5,0,4, 0-4,D,,,,,,1.1,3.0,,N,22,18,3,10,40,9,23,3,2.1,0,50.0,0.04,0,0.37,1
IT,26/01/2024,Cagliari,Torino,H,2.2,1.6,1,2, 1-2,D,,,O,O,,3.1,2.9,,N,42,25,7,11,37,12,12,3,1.4,0,48.8,0.55,1,0.04,0
IT,21/01/2024,Cagliari,Frosinone,A,0.6,2.8,1,3, 1-3,D,,,O,O,,0.7,4.2,N,,14,18,5,7,25,4,9,1,2.9,0,45.2,0.22,0,0.52,0
IT,14/01/2024,Cagliari,Bologna,H,0.7,0.6,2,1, 2-1,V,,,O,O,,0.8,1.3,,O,10,27,9,15,14,1,7,2,0.8,0,53.8,0.0,0,0.02,0
IT,6/01/2024,Cagliari,Lecce,A,1.0,1.5,1,1, 1-1,N,,,O,,,1.7,2.5,,O,24,23,4,12,34,9,8,1,0.1,1,57.9,0.51,1,0.58,1
IT,30/12/2023,Cagliari,Empoli,H,1.8,0.3,0,0, 0-0,N,,,O,O,O,1.7,0.4,,,27,24,1,10,29,5,16,4,0.3,0,55.4,0.23,0,0.03,0
IT,23/12/2023,Cagliari,Verona,A,0.8,0.9,0,2, 0-2,D,Rouge 1,,O,,,1.4,1.6,,N,23,15,8,14,25,9,6,0,1.7,0,36.2,0.24,0,0.02,0
IT,16/12/2023,Cagliari,Napoli,A,1.1,1.8,1,2, 1-2,D,,,O,,,2.4,3.3,,N,16,25,5,8,20,2,11,5,1.5,0,45.9,0.32,0,0.18,0
IT,11/12/2023,Cagliari,Sassuolo,H,1.1,0.8,2,1, 2-1,V,Rouge 2,,O,,,2.2,1.4,O,,34,18,7,15,46,10,20,2,0.8,0,57.6,0.47,0,0.27,1
IT,2/12/2023,Cagliari,Lazio,A,0.6,2.0,0,1, 0-1,D,Rouge 1,,O,,O,0.7,2.3,,N,15,26,6,11,22,7,9,1,2.7,2,50.0,0.0,0,0.0,0
IT,26/11/2023,Cagliari,Monza,H,1.6,0.7,1,1, 1-1,N,,,O,O,O,1.2,1.2,N,,27,18,6,16,28,7,15,5,0.6,0,48.0,0.23,0,0.22,1
IT,11/11/2023,Cagliari,Juventus,A,0.6,2.3,1,2, 1-2,D,,,O,,O,1.1,3.0,,N,21,25,4,9,30,5,14,1,2.5,1,37.9,0.15,1,1.19,1
IT,5/11/2023,Cagliari,Genoa,H,0.9,1.0,2,1, 2-1,V,,,O,,O,0.6,2.1,O,,21,23,6,11,19,2,16,3,0.7,1,34.4,0.05,0,0.07,0
IT,29/10/2023,Cagliari,Frosinone,H,3.4,1.5,4,3, 4-3,V,,,O,,,3.7,1.8,,O,42,21,11,14,54,12,34,6,2.5,1,50.0,0.11,0,0.12,0
IT,22/10/2023,Cagliari,Salernitana,A,1.7,1.5,2,2, 2-2,N,,,O,,,2.4,1.3,N,,25,23,2,10,39,10,22,5,1.3,0,56.5,0.0,0,0.03,0
IT,8/10/2023,Cagliari,Roma,H,1.7,2.6,1,4, 1-4,D,,,O,,,1.9,3.8,,N,30,12,14,23,44,14,15,1,3.4,0,50.0,0.17,0,0.31,0
IT,2/10/2023,Cagliari,Fiorentina,A,0.8,1.2,0,3, 0-3,D,,,O,,,0.6,1.8,,N,10,23,3,14,28,4,9,2,1.4,0,52.0,0.11,0,0.23,1
IT,27/09/2023,Cagliari,Milan,H,0.9,2.1,1,3, 1-3,D,,,O,,,1.9,1.6,N,,29,18,7,12,32,11,16,5,2.4,1,33.3,0.02,0,0.98,1
IT,24/09/2023,Cagliari,Atalanta,A,0.8,1.7,0,2, 0-2,D,,,O,O,,1.2,2.9,,N,17,21,9,19,22,10,12,3,2.2,0,40.5,0.0,0,0.0,0
IT,17/09/2023,Cagliari,Udinese,H,1.6,0.7,0,0, 0-0,N,Rouge 1,,O,O,O,2.6,1.5,,,18,18,4,16,35,7,20,1,0.2,0,46.7,0.32,0,0.3,0
IT,2/09/2023,Cagliari,Bologna,A,0.5,2.3,1,2, 1-2,D,,,O,,,0.6,1.5,N,,9,22,7,18,28,3,17,6,2.1,1,46.2,0.0,0,0.14,0
IT,28/08/2023,Cagliari,Inter,H,0.6,0.9,0,2, 0-2,D,,,O,,,0.8,1.9,,N,23,18,8,22,37,7,23,5,1.4,1,40.7,0.0,0,0.14,0
IT,21/08/2023,Cagliari,Torino,A,0.4,1.0,0,0, 0-0,N,,,O,,,0.7,1.4,,,16,28,8,10,26,6,7,3,0.5,0,48.8,0.0,0,0.52,0
