Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
ES,26/05/2024,Celta Vigo,Valencia,H,1.5,2.0,2,2, 2-2,N,,,,,O,0.7,2.4,N,,13,19,3,15,36,7,5,1,1.0,1,38.5,0.0,0,0.0,0
ES,19/05/2024,Celta Vigo,Granada,A,1.7,1.9,2,1, 2-1,V,,,,,,3.4,1.8,O,,16,21,11,27,32,10,16,3,1.1,1,50.0,0.08,0,0.06,0
ES,15/05/2024,Celta Vigo,Athletic Club,H,0.7,0.2,2,1, 2-1,V,,,O,,,1.9,0.6,,O,20,29,6,18,33,12,18,6,0.8,0,42.4,0.09,0,0.07,1
ES,12/05/2024,Celta Vigo,Atletico Madrid,A,0.4,1.4,0,1, 0-1,D,,,O,,,0.9,2.1,,N,12,21,8,20,36,6,21,4,1.5,0,28.6,0.0,0,0.11,0
ES,5/05/2024,Celta Vigo,Villarreal,H,3.9,0.6,3,2, 3-2,V,Rouge 2,,O,,O,5.5,1.1,,O,43,24,2,6,59,23,22,7,0.7,0,50.0,0.0,0,0.0,0
ES,27/04/2024,Celta Vigo,Alaves,A,0.2,2.3,0,3, 0-3,D,,,O,O,O,0.6,3.9,,N,8,20,6,15,42,2,16,3,2.8,1,50.0,0.01,0,0.5,1
ES,20/04/2024,Celta Vigo,Las Palmas,H,4.0,1.0,4,1, 4-1,V,,,O,,,5.6,1.8,,O,40,31,10,16,35,7,23,11,1.2,0,66.7,0.07,0,0.5,1
ES,12/04/2024,Celta Vigo,Real Betis,A,1.6,1.2,1,2, 1-2,D,,,O,,,2.7,1.9,,N,19,22,10,20,51,9,23,4,0.4,0,39.1,0.0,0,0.05,0
ES,31/03/2024,Celta Vigo,Rayo Vallecano,H,0.8,0.6,0,0, 0-0,N,,,,,,2.2,0.5,,,25,21,10,18,45,13,19,5,0.1,0,53.3,0.07,0,0.0,0
ES,17/03/2024,Celta Vigo,Sevilla,A,1.6,1.7,2,1, 2-1,V,,,O,,,3.3,1.3,,O,34,19,10,17,60,13,29,7,1.7,2,31.8,0.0,0,0.07,0
ES,10/03/2024,Celta Vigo,Real Madrid,A,0.8,3.4,0,4, 0-4,D,,,O,,,1.2,4.9,,N,21,30,2,15,24,5,20,2,3.0,0,25.0,0.11,0,0.66,0
ES,1/03/2024,Celta Vigo,Almeria,H,1.5,0.1,1,0, 1-0,V,Rouge 2,O,O,,,2.4,0.2,O,,25,13,8,24,45,11,25,5,0.0,0,71.9,0.56,0,0.0,0
ES,25/02/2024,Celta Vigo,Cadiz,A,0.7,2.2,2,2, 2-2,N,,,,,O,1.1,2.5,N,,13,20,1,12,27,4,9,3,2.4,0,60.3,0.25,0,0.04,0
ES,17/02/2024,Celta Vigo,Barcelona,H,0.8,1.5,1,2, 1-2,D,,,,,O,1.0,1.4,,N,20,33,5,10,21,4,13,4,1.8,0,51.9,0.01,0,0.21,0
ES,11/02/2024,Celta Vigo,Getafe,A,1.2,2.1,2,3, 2-3,D,,,,,O,2.2,1.0,,N,17,30,14,23,29,7,15,3,2.6,0,42.9,0.05,0,0.0,0
ES,4/02/2024,Celta Vigo,Osasuna,A,1.1,1.1,3,0, 3-0,V,,O,,,O,1.5,3.0,O,,11,28,4,9,23,3,7,3,0.4,1,53.2,0.02,0,0.19,0
ES,28/01/2024,Celta Vigo,Girona,H,0.6,0.9,0,1, 0-1,D,,,,,O,1.7,1.5,,N,16,30,9,19,36,13,13,3,1.2,0,53.8,0.07,0,0.13,0
ES,20/01/2024,Celta Vigo,Real Sociedad,H,0.3,0.8,0,1, 0-1,D,,,,,O,0.5,1.3,,N,12,25,12,24,32,5,12,3,0.8,0,52.8,0.0,0,0.0,0
ES,13/01/2024,Celta Vigo,Mallorca,A,0.6,1.8,1,1, 1-1,N,,,,,O,0.9,3.6,N,,10,36,12,21,22,2,7,1,2.3,0,43.1,0.07,0,0.17,0
ES,3/01/2024,Celta Vigo,Real Betis,H,2.7,1.4,2,1, 2-1,V,,,,,O,1.8,2.0,O,,33,39,8,19,34,8,19,2,1.6,0,46.4,0.09,0,0.32,0
ES,20/12/2023,Celta Vigo,Villarreal,A,1.3,2.4,2,3, 2-3,D,,O,,,O,2.0,1.5,,N,24,39,10,21,54,9,17,2,3.6,0,48.3,0.21,0,0.03,0
ES,16/12/2023,Celta Vigo,Granada,H,1.4,0.5,1,0, 1-0,V,,,,,,1.6,1.1,O,,21,29,5,8,24,3,13,2,0.1,0,54.8,0.33,0,0.2,0
ES,11/12/2023,Celta Vigo,Rayo Vallecano,A,0.1,1.2,0,0, 0-0,N,,O,,,,0.2,1.9,,,6,27,3,8,23,2,8,1,1.2,0,38.7,0.0,0,0.26,0
ES,4/12/2023,Celta Vigo,Cadiz,H,2.4,0.3,1,1, 1-1,N,Rouge 2,,,,,5.3,0.5,,O,49,12,12,25,89,21,35,8,0.7,0,40.6,0.04,0,0.0,0
