Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
UK,19/05/2024,Chelsea,Bournemouth,H,1.1,2.2,2,1, 2-1,V,,,,,,1.6,2.6,O,,28,34,18,33,39,7,26,15,0.6,0,46.2,0.05,0,0.13,0
UK,15/05/2024,Chelsea,Brighton,A,1.5,1.3,2,1, 2-1,V,,,,,,2.8,3.1,,O,25,19,8,22,29,11,19,7,0.9,0,33.3,0.0,0,0.0,0
UK,11/05/2024,Chelsea,Nottingham Forest,A,1.6,1.5,3,2, 3-2,V,,,,,,3.4,1.9,O,,22,16,14,32,49,8,18,7,1.0,1,51.5,0.12,0,0.23,1
UK,5/05/2024,Chelsea,West Ham,H,4.1,0.9,5,0, 5-0,V,,,,,,6.0,1.0,O,,46,26,14,25,50,7,36,14,0.6,0,58.3,0.28,0,0.18,0
UK,2/05/2024,Chelsea,Tottenham,H,2.2,1.6,2,0, 2-0,V,,,,,,1.3,2.6,O,,27,32,14,23,27,4,17,7,0.7,0,64.7,0.15,1,0.23,0
UK,27/04/2024,Chelsea,Aston Villa,A,1.6,1.1,2,2, 2-2,N,,,,,,1.9,1.8,,O,41,27,11,22,57,9,28,7,0.4,0,50.0,0.05,0,0.07,0
UK,23/04/2024,Chelsea,Arsenal,A,1.6,3.3,0,5, 0-5,D,,O,,,,2.1,5.4,,N,11,20,8,16,34,5,18,7,3.0,3,47.8,0.07,0,0.0,0
UK,15/04/2024,Chelsea,Everton,H,3.1,1.5,6,0, 6-0,V,,,,,,2.4,2.6,O,,22,19,19,35,19,3,19,6,0.1,1,50.0,0.0,0,0.13,0
UK,7/04/2024,Chelsea,Sheffield United,A,0.3,1.4,2,2, 2-2,N,,,,,,0.7,2.2,N,,12,18,4,16,44,7,21,8,2.0,1,47.7,0.11,1,0.04,0
UK,4/04/2024,Chelsea,Manchester United,H,3.0,1.5,4,3, 4-3,V,,,,,,2.3,1.9,O,,50,20,6,16,52,11,35,13,2.1,2,56.3,0.31,1,0.14,0
UK,30/03/2024,Chelsea,Burnley,H,4.2,1.6,2,2, 2-2,N,Rouge 2,,,,,5.5,1.7,,O,63,14,16,22,67,20,42,14,1.8,1,33.3,0.0,0,0.22,1
UK,11/03/2024,Chelsea,Newcastle United,H,1.6,0.7,3,2, 3-2,V,,,,,,1.8,1.1,O,,23,47,10,15,30,3,18,12,0.6,0,38.9,0.0,0,0.16,0
UK,2/03/2024,Chelsea,Brentford,A,1.8,1.8,2,2, 2-2,N,,,,,,3.5,1.7,N,,31,32,10,26,39,13,21,4,1.6,0,41.9,0.0,0,0.0,0
UK,17/02/2024,Chelsea,Manchester City,A,1.4,2.6,1,1, 1-1,N,,,,,,2.2,4.6,N,,16,36,3,7,24,8,7,3,0.4,0,58.3,0.0,0,0.08,0
UK,12/02/2024,Chelsea,Crystal Palace,A,1.4,0.6,3,1, 3-1,V,,,,,,2.4,0.8,,O,23,22,10,22,65,9,23,3,0.5,0,44.4,0.1,0,0.14,0
UK,4/02/2024,Chelsea,Wolves,H,1.7,2.0,2,4, 2-4,D,,,,,,2.7,1.3,N,,26,20,12,25,64,18,23,5,1.8,2,55.0,0.14,1,0.12,0
UK,31/01/2024,Chelsea,Liverpool,A,0.6,2.9,1,4, 1-4,D,,,,O,,1.1,3.3,,N,8,23,8,24,36,4,11,2,3.7,1,62.5,0.0,0,0.02,0
UK,13/01/2024,Chelsea,Fulham,H,2.2,0.8,1,0, 1-0,V,,,,O,,2.8,1.4,,,28,27,13,29,54,16,27,12,1.0,0,48.3,0.17,0,0.01,0
UK,30/12/2023,Chelsea,Luton,A,1.5,2.3,3,2, 3-2,V,,,,,,1.9,3.8,O,,20,31,14,31,23,3,17,7,2.2,0,51.7,0.02,0,0.44,1
UK,27/12/2023,Chelsea,Crystal Palace,H,2.6,1.1,2,1, 2-1,V,,O,,,,3.2,1.5,O,,18,27,7,21,28,7,13,5,1.3,1,43.8,0.05,0,0.03,0
UK,24/12/2023,Chelsea,Wolves,A,2.0,1.3,1,2, 1-2,D,,,,,O,2.8,1.2,,N,29,21,9,22,60,15,27,8,1.6,3,50.0,0.0,0,0.15,1
