Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
FR,19/05/2024,Clermont Foot,Lorient,A,0.8,4.2,0,5, 0-5,D,,,O,,O,1.1,4.1,,N,17,26,7,18,36,5,18,2,5.2,2,46.9,0.0,0,0.1,0
FR,12/05/2024,Clermont Foot,Lyon,H,1.1,0.4,0,1, 0-1,D,,,,O,O,2.1,0.8,,N,32,18,12,23,63,16,29,8,0.4,0,46.2,0.0,0,0.0,0
FR,4/05/2024,Clermont Foot,Monaco,A,1.4,3.6,1,4, 1-4,D,,,,O,O,2.3,5.0,,N,15,26,13,24,33,5,8,2,3.9,3,35.7,0.13,0,0.05,0
FR,28/04/2024,Clermont Foot,Reims,H,2.9,0.9,4,1, 4-1,V,Rouge 2,,,O,O,2.3,1.8,,O,20,34,7,16,38,7,11,5,1.9,0,55.6,0.0,0,0.05,0
FR,20/04/2024,Clermont Foot,Lens,A,0.7,1.9,0,1, 0-1,D,,,,,O,0.4,2.0,,,15,32,7,13,37,7,9,1,1.8,1,51.5,0.0,0,0.0,0
FR,14/04/2024,Clermont Foot,Montpellier,H,1.5,1.4,1,1, 1-1,N,,,,,O,1.4,2.4,,O,19,33,5,13,46,4,17,2,1.7,0,52.6,0.14,0,0.18,0
FR,6/04/2024,Clermont Foot,Paris,A,0.3,2.7,1,1, 1-1,N,,,,,O,0.7,4.2,N,,11,27,3,12,13,2,5,2,1.9,0,61.1,0.09,0,0.25,0
FR,31/03/2024,Clermont Foot,Toulouse,H,0.8,1.8,0,3, 0-3,D,,O,,,O,0.9,1.5,,N,25,21,8,17,37,2,21,1,2.6,0,29.2,0.01,0,0.08,0
FR,17/03/2024,Clermont Foot,Le Havre,H,1.1,1.2,2,1, 2-1,V,Rouge 2,,,,O,0.6,1.9,O,,18,30,2,7,26,5,8,2,1.2,0,37.0,0.17,0,0.15,0
FR,10/03/2024,Clermont Foot,Metz,A,0.8,1.7,0,1, 0-1,D,,,,,,2.5,1.0,,,26,17,7,13,60,9,20,2,1.0,0,46.7,0.15,0,0.1,0
FR,2/03/2024,Clermont Foot,Marseille,H,0.7,2.4,1,5, 1-5,D,,,,,O,1.2,2.6,,N,12,23,2,8,20,3,12,1,3.1,0,55.2,0.03,0,0.07,0
FR,25/02/2024,Clermont Foot,Nice,A,2.0,1.6,0,0, 0-0,N,,,,,O,2.1,3.9,,,22,25,2,8,29,7,16,4,1.0,1,33.3,0.01,0,0.07,0
FR,18/02/2024,Clermont Foot,Rennes,A,0.8,3.7,1,3, 1-3,D,Rouge 1,O,,,O,1.4,4.9,,N,26,25,3,15,37,9,25,8,3.4,0,31.3,0.07,1,0.0,0
