Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
UK,19/05/2024,Crystal Palace,Aston Villa,H,2.5,0.9,5,0, 5-0,V,,,,,,3.6,1.6,O,,28,20,6,12,45,12,18,7,0.9,0,50.0,0.0,0,0.38,0
UK,11/05/2024,Crystal Palace,Wolves,A,2.6,1.6,3,1, 3-1,V,,,,,,3.3,1.0,O,,21,30,8,22,34,6,12,6,0.8,0,58.8,0.0,0,0.13,0
UK,6/05/2024,Crystal Palace,Manchester United,H,1.7,0.4,4,0, 4-0,V,,,,,,1.9,0.9,O,,32,31,14,31,47,16,22,8,0.4,0,42.9,0.07,0,0.07,0
UK,27/04/2024,Crystal Palace,Fulham,A,1.0,1.1,1,1, 1-1,N,,O,,,,1.9,2.0,,O,22,32,12,27,33,6,17,5,1.1,0,61.5,0.08,0,0.08,0
UK,24/04/2024,Crystal Palace,Newcastle United,H,0.9,0.4,2,0, 2-0,V,,,O,,,1.5,0.8,O,,37,33,10,27,31,9,15,5,0.2,0,51.9,0.07,0,0.04,0
UK,21/04/2024,Crystal Palace,West Ham,H,2.4,1.3,5,2, 5-2,V,,,,,,3.5,1.9,O,,34,49,12,26,48,13,14,3,0.6,1,54.2,0.0,0,0.78,0
UK,14/04/2024,Crystal Palace,Liverpool,A,2.0,2.7,1,0, 1-0,V,,,,,,3.3,4.5,O,,15,36,11,24,30,6,11,5,0.5,0,37.5,0.0,0,0.4,0
UK,6/04/2024,Crystal Palace,Manchester City,H,1.1,1.9,2,4, 2-4,D,,,O,,,1.4,3.7,N,,12,29,5,7,17,1,12,7,3.2,0,50.0,0.0,0,0.02,0
UK,2/04/2024,Crystal Palace,Bournemouth,A,0.2,1.1,0,1, 0-1,D,,,O,,,0.6,1.3,,N,4,39,10,19,33,7,12,2,1.4,0,50.0,0.0,0,0.14,0
UK,30/03/2024,Crystal Palace,Nottingham Forest,A,1.2,0.9,1,1, 1-1,N,,,O,,,1.7,2.0,N,,14,33,5,13,30,7,9,3,1.0,0,50.0,0.11,0,0.12,0
UK,9/03/2024,Crystal Palace,Luton,H,2.7,0.8,1,1, 1-1,N,,,O,,,4.0,0.8,N,,39,31,6,10,31,10,13,7,0.4,0,54.5,0.15,0,0.02,0
UK,2/03/2024,Crystal Palace,Tottenham,A,0.3,1.9,1,3, 1-3,D,,,O,,,0.4,3.4,N,,7,29,4,20,13,1,4,1,2.6,0,48.4,0.09,0,0.0,0
UK,24/02/2024,Crystal Palace,Burnley,H,2.4,0.1,3,0, 3-0,V,Rouge 2,O,O,,,2.9,0.2,O,,27,19,7,17,43,11,20,7,0.0,0,66.7,0.34,0,0.0,0
UK,19/02/2024,Crystal Palace,Everton,A,0.7,1.7,1,1, 1-1,N,,O,O,,,1.1,2.1,N,,16,19,5,16,21,6,5,5,0.5,0,34.8,0.07,0,0.56,1
UK,12/02/2024,Crystal Palace,Chelsea,H,0.6,1.4,1,3, 1-3,D,,O,O,,,0.8,2.4,N,,23,32,2,10,21,4,12,3,1.8,0,55.6,0.14,0,0.1,0
UK,3/02/2024,Crystal Palace,Brighton,A,0.3,1.4,1,4, 1-4,D,,O,O,,,0.3,2.4,,N,10,30,6,15,17,2,10,2,3.1,1,37.5,0.0,0,0.35,1
UK,30/01/2024,Crystal Palace,Sheffield United,H,1.1,0.8,3,2, 3-2,V,,,,O,O,2.3,1.2,,O,21,38,9,26,52,10,26,8,0.5,0,33.3,0.1,0,0.02,0
UK,20/01/2024,Crystal Palace,Arsenal,A,0.3,3.3,0,5, 0-5,D,,,O,O,O,0.4,4.9,,N,19,17,13,25,20,2,13,3,4.1,0,52.8,0.09,0,1.05,2
UK,30/12/2023,Crystal Palace,Brentford,H,1.0,1.4,3,1, 3-1,V,,,,O,O,2.0,2.3,,O,26,26,13,21,48,17,14,3,1.3,0,52.6,0.16,0,0.0,0
UK,27/12/2023,Crystal Palace,Chelsea,A,1.1,2.6,1,2, 1-2,D,,,,O,O,1.5,3.2,,N,23,33,12,23,28,6,11,9,1.9,0,56.3,0.03,0,0.05,0
UK,21/12/2023,Crystal Palace,Brighton,H,1.3,1.2,1,1, 1-1,N,,,,O,O,2.2,2.1,N,,18,33,8,23,25,9,14,4,1.0,1,43.5,0.25,0,0.23,0
UK,16/12/2023,Crystal Palace,Manchester City,A,1.8,1.6,2,2, 2-2,N,,O,,O,O,1.7,3.0,,O,9,20,8,15,11,1,8,4,3.6,0,35.7,0.0,0,0.1,0
UK,9/12/2023,Crystal Palace,Liverpool,H,1.7,1.2,1,2, 1-2,D,Rouge 1,O,,O,O,1.6,2.1,,N,15,28,6,16,18,6,7,5,0.1,0,43.5,0.38,0,0.44,0
UK,6/12/2023,Crystal Palace,Bournemouth,H,1.0,1.8,0,2, 0-2,D,,O,,O,O,1.9,3.0,,N,30,25,11,18,34,9,11,3,1.7,0,48.6,0.09,0,0.18,0
UK,3/12/2023,Crystal Palace,West Ham,A,0.9,1.1,1,1, 1-1,N,,O,,O,O,1.7,2.2,,O,12,34,6,14,31,7,14,3,0.7,0,48.2,0.0,0,0.0,0
UK,25/11/2023,Crystal Palace,Luton,A,1.6,0.9,1,2, 1-2,D,,,,O,O,2.6,1.8,,N,30,26,8,15,41,13,15,4,1.5,1,48.6,0.28,0,0.04,0
UK,11/11/2023,Crystal Palace,Everton,H,2.2,1.5,2,3, 2-3,D,,,,O,O,2.4,1.5,,N,22,29,13,23,50,10,24,9,1.7,0,63.2,0.0,0,0.0,0
UK,4/11/2023,Crystal Palace,Burnley,A,1.3,1.1,2,0, 2-0,V,,,O,O,O,2.1,1.7,O,,8,20,3,12,13,1,5,2,0.5,0,51.4,0.04,0,0.28,0
UK,27/10/2023,Crystal Palace,Tottenham,H,0.6,1.1,1,2, 1-2,D,,O,O,O,O,0.9,2.1,N,,22,34,8,18,15,4,10,2,0.8,0,33.3,0.25,0,0.0,0
UK,21/10/2023,Crystal Palace,Newcastle United,A,1.2,2.4,0,4, 0-4,D,,O,O,O,O,1.3,2.4,,N,25,31,8,14,32,5,10,2,3.0,1,41.7,0.17,0,0.13,0
UK,7/10/2023,Crystal Palace,Nottingham Forest,H,0.8,1.0,0,0, 0-0,N,,O,O,O,O,1.1,1.4,,,15,24,9,17,37,6,15,4,0.8,0,43.5,0.0,0,0.13,0
UK,30/09/2023,Crystal Palace,Manchester United,A,0.9,1.3,1,0, 1-0,V,,,O,O,O,1.3,2.5,O,,14,43,10,23,17,1,11,2,0.3,0,56.5,0.44,0,0.18,0
UK,23/09/2023,Crystal Palace,Fulham,H,0.3,0.6,0,0, 0-0,N,,,O,O,O,0.7,1.0,,,13,19,15,29,33,6,12,2,0.5,0,44.8,0.08,0,0.0,0
UK,16/09/2023,Crystal Palace,Aston Villa,A,1.2,3.0,1,3, 1-3,D,,,O,O,O,2.0,3.0,N,,11,35,13,28,27,7,17,4,2.5,1,35.3,0.0,0,0.0,0
UK,3/09/2023,Crystal Palace,Wolves,H,2.1,1.2,3,2, 3-2,V,,,O,O,O,2.9,1.7,O,,26,34,5,16,36,11,10,5,0.7,0,48.0,0.08,0,0.06,1
