Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
AL,18/05/2024,Darmstadt,Dortmund,A,0.3,2.6,0,4, 0-4,D,,,O,,O,0.7,2.9,,N,11,22,10,16,18,7,15,4,3.2,0,57.1,0.08,0,0.0,0
AL,12/05/2024,Darmstadt,Hoffenheim,H,0.6,3.3,0,6, 0-6,D,,,O,,O,1.4,5.5,,N,14,25,5,10,28,4,23,4,3.8,1,70.6,0.0,0,0.7,1
AL,4/05/2024,Darmstadt,Wolfsburg,A,0.4,2.2,0,3, 0-3,D,,,O,,O,0.8,2.9,,N,12,26,2,7,31,8,8,2,1.7,1,31.3,0.0,0,0.25,0
AL,28/04/2024,Darmstadt,Heidenheim,H,0.7,1.6,0,1, 0-1,D,,,O,O,,1.1,3.1,,N,22,27,6,16,29,6,13,1,1.2,1,46.9,0.14,0,0.1,0
AL,20/04/2024,Darmstadt,Köln,A,1.8,1.0,2,0, 2-0,V,,,O,O,O,1.7,3.3,O,,21,30,13,19,32,8,13,3,0.8,0,32.4,0.17,1,0.0,0
AL,14/04/2024,Darmstadt,Freiburg,H,1.1,0.9,0,1, 0-1,D,,O,O,O,,1.4,2.2,,N,28,24,2,8,28,6,16,4,0.8,0,46.7,0.0,0,0.0,0
AL,6/04/2024,Darmstadt,Mainz 05,A,0.5,3.6,0,4, 0-4,D,,,O,O,O,0.8,4.9,,N,23,20,6,15,23,4,5,1,4.4,1,46.5,0.1,0,0.14,0
AL,31/03/2024,Darmstadt,Bochum,A,0.9,1.8,2,2, 2-2,N,,,O,O,O,2.5,2.7,,O,22,20,5,18,29,4,11,2,1.5,1,37.3,0.19,0,0.53,0
AL,16/03/2024,Darmstadt,Bayern Munich,H,1.2,3.6,2,5, 2-5,D,,,O,O,O,2.3,5.3,N,,14,44,9,17,15,7,3,1,4.2,0,36.4,0.0,0,0.09,0
AL,9/03/2024,Darmstadt,RB Leipzig,A,0.5,3.2,0,2, 0-2,D,,,O,O,O,0.9,5.3,,N,17,19,5,10,28,2,16,5,1.4,0,46.7,0.02,0,0.09,0
AL,2/03/2024,Darmstadt,Augsburg,H,0.8,2.9,0,6, 0-6,D,,,O,O,,1.7,3.2,,N,17,17,5,10,26,5,11,2,3.3,4,54.8,0.02,0,0.12,1
AL,24/02/2024,Darmstadt,Werder Bremen,A,1.0,1.8,1,1, 1-1,N,,,O,,O,1.7,3.3,N,,23,12,6,21,35,8,12,2,1.1,0,64.7,0.38,0,0.17,0
AL,17/02/2024,Darmstadt,Stuttgart,H,1.7,1.6,1,2, 1-2,D,Rouge 2,O,O,,,2.5,2.7,N,,36,17,7,12,50,17,14,0,1.8,0,40.0,0.06,0,0.03,0
AL,10/02/2024,Darmstadt,Mönchengladbach,A,0.7,1.5,0,0, 0-0,N,,,O,,O,1.4,1.8,,,19,31,5,10,32,11,11,2,1.2,0,23.8,0.0,0,0.18,0
AL,3/02/2024,Darmstadt,Bayer Leverkusen,H,0.6,1.9,0,2, 0-2,D,,,O,,,0.8,3.4,,N,15,37,9,16,29,3,15,3,1.7,1,50.0,0.07,0,0.09,0
AL,28/01/2024,Darmstadt,Union Berlin,A,1.1,2.5,0,1, 0-1,D,,,O,O,,2.2,3.2,,N,30,23,10,22,41,10,16,6,1.5,1,47.6,0.06,0,0.55,0
AL,20/01/2024,Darmstadt,Eintracht Frankfurt,H,1.1,1.2,2,2, 2-2,N,,,O,O,,2.0,1.6,,O,22,21,6,12,54,8,19,3,1.6,1,50.0,0.09,0,0.0,0
AL,13/01/2024,Darmstadt,Dortmund,H,1.0,3.1,0,3, 0-3,D,,,O,O,,1.4,4.4,,N,18,33,0,5,34,7,13,1,4.2,1,38.9,0.02,0,0.0,0
AL,19/12/2023,Darmstadt,Hoffenheim,A,0.8,3.5,3,3, 3-3,N,,,O,O,,1.6,4.2,N,,25,18,2,9,43,7,14,2,2.3,0,48.0,0.03,0,0.22,0
AL,16/12/2023,Darmstadt,Wolfsburg,H,0.6,0.6,0,1, 0-1,D,Rouge 2,,O,O,,1.5,1.2,,N,22,21,4,11,72,17,20,1,0.5,0,48.4,0.03,0,0.23,0
AL,9/12/2023,Darmstadt,Heidenheim,A,0.9,1.4,2,3, 2-3,D,,,O,O,,1.6,2.7,,N,32,27,2,9,30,9,11,5,2.3,0,59.3,0.02,0,0.63,3
AL,1/12/2023,Darmstadt,Köln,H,0.7,1.5,0,1, 0-1,D,,,O,,,0.6,1.1,,N,20,23,4,10,23,2,8,0,1.5,1,39.5,0.0,0,0.0,0
AL,25/11/2023,Darmstadt,Freiburg,A,0.4,1.6,1,1, 1-1,N,,,O,,O,0.5,3.1,N,,13,21,3,9,20,2,10,8,0.7,0,54.3,0.01,0,0.08,0
AL,11/11/2023,Darmstadt,Mainz 05,H,0.5,0.7,0,0, 0-0,N,,,O,,,1.2,1.1,,,19,32,7,14,22,4,11,4,0.3,0,62.5,0.0,0,0.28,0
AL,3/11/2023,Darmstadt,Bochum,H,0.7,1.2,1,2, 1-2,D,Rouge 1,,O,,,0.9,1.2,,N,28,32,4,14,33,4,8,1,1.5,1,42.1,0.27,0,0.0,0
AL,28/10/2023,Darmstadt,Bayern Munich,A,0.7,5.8,0,8, 0-8,D,Rouge 2,,O,,,1.1,8.9,,N,18,27,9,14,25,6,10,4,6.2,0,27.8,0.0,0,0.95,1
AL,21/10/2023,Darmstadt,RB Leipzig,H,2.4,1.9,1,3, 1-3,D,,,O,,,2.4,2.5,,N,29,24,5,11,37,5,17,4,3.1,1,51.5,0.42,0,0.05,0
AL,7/10/2023,Darmstadt,Augsburg,A,1.8,0.9,2,1, 2-1,V,,,O,,,1.2,1.6,O,,27,18,6,11,37,6,14,4,0.6,1,52.9,0.09,0,0.04,0
AL,1/10/2023,Darmstadt,Werder Bremen,H,2.4,1.5,4,2, 4-2,V,,,O,,,2.7,2.8,O,,23,36,7,11,20,5,10,4,1.9,0,55.0,0.23,0,0.0,0
AL,22/09/2023,Darmstadt,Stuttgart,A,0.2,2.3,1,3, 1-3,D,,,O,,,0.6,4.7,,N,8,28,6,22,26,5,15,4,2.7,0,40.9,0.05,0,0.05,0
AL,17/09/2023,Darmstadt,Mönchengladbach,H,1.2,3.9,3,3, 3-3,N,Rouge 1,,O,,,2.0,5.1,N,,27,30,3,11,31,5,12,2,3.3,0,46.2,0.04,1,0.45,0
AL,2/09/2023,Darmstadt,Bayer Leverkusen,A,0.4,2.8,1,5, 1-5,D,,,O,,,1.1,5.2,,N,10,36,2,8,15,2,8,4,4.5,0,46.2,0.0,0,0.0,0
AL,26/08/2023,Darmstadt,Union Berlin,H,2.3,1.7,1,4, 1-4,D,Rouge 2,O,O,,,4.7,1.9,,N,42,17,10,19,64,15,24,3,2.7,1,45.7,0.01,0,0.51,2
AL,20/08/2023,Darmstadt,Eintracht Frankfurt,A,0.5,1.5,0,1, 0-1,D,,O,O,,,0.9,2.8,,N,16,39,7,13,23,7,11,3,1.1,1,53.8,0.05,0,0.22,0
