Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
C1,1/06/2024,Dortmund,Real Madrid,H,2.1,1.1,0,2, 0-2,D,,,,,,2.6,1.7,,N,23,25,6,18,38,8,22,4,1.8,1,42.3,0.08,0,0.3,1
AL,18/05/2024,Dortmund,Darmstadt,H,2.6,0.3,4,0, 4-0,V,,,,,,2.9,0.7,O,,41,15,17,25,48,15,32,7,0.0,0,42.9,0.0,0,0.08,0
AL,11/05/2024,Dortmund,Mainz 05,A,0.4,2.1,0,3, 0-3,D,,,,,,1.1,3.3,,N,13,24,9,24,40,8,19,6,2.7,1,48.1,0.0,0,0.02,0
C1,7/05/2024,Dortmund,Paris,A,0.7,3.0,1,0, 1-0,V,,,,,,1.1,4.1,O,,13,30,10,22,17,1,15,4,0.8,0,52.2,0.5,1,0.4,0
AL,4/05/2024,Dortmund,Augsburg,H,4.0,2.5,5,1, 5-1,V,,O,,O,,5.5,4.8,O,,40,24,11,26,38,8,29,9,0.4,0,56.5,0.89,1,0.04,0
C1,1/05/2024,Dortmund,Paris,H,1.7,1.7,1,0, 1-0,V,,,,,,3.1,3.5,O,,24,21,20,33,38,3,31,9,0.6,0,63.6,0.34,0,0.0,0
AL,27/04/2024,Dortmund,RB Leipzig,A,1.6,2.6,1,4, 1-4,D,,,,O,,4.1,3.3,N,,23,22,8,19,49,6,24,10,3.0,0,46.7,0.75,0,0.09,0
AL,21/04/2024,Dortmund,Bayer Leverkusen,H,0.5,1.1,1,1, 1-1,N,,,,,,1.5,3.0,N,,16,35,6,16,28,5,15,5,0.9,0,43.5,0.12,0,0.07,1
C1,16/04/2024,Dortmund,Atletico Madrid,H,1.5,1.9,4,2, 4-2,V,,,,,,2.6,2.1,O,,36,23,4,15,45,14,16,4,1.0,0,50.0,0.22,0,0.01,0
AL,13/04/2024,Dortmund,Mönchengladbach,A,1.3,1.1,2,1, 2-1,V,Rouge 1,O,,,,0.9,2.0,O,,19,16,12,24,40,8,24,4,1.1,0,30.0,0.0,0,0.17,1
C1,10/04/2024,Dortmund,Atletico Madrid,A,0.9,2.2,1,2, 1-2,D,,,,,,1.0,2.5,,N,19,18,17,33,63,4,17,7,2.7,3,56.5,0.06,0,0.43,0
AL,6/04/2024,Dortmund,Stuttgart,H,2.5,1.6,0,1, 0-1,D,,,,,,3.6,2.6,,N,27,14,13,21,45,12,34,10,1.0,0,62.5,0.4,0,0.08,0
AL,30/03/2024,Dortmund,Bayern Munich,A,0.9,1.5,2,0, 2-0,V,,,,,,1.6,3.8,O,,18,25,12,17,39,5,24,11,0.1,0,20.0,0.0,0,0.22,0
AL,17/03/2024,Dortmund,Eintracht Frankfurt,H,2.3,0.9,3,1, 3-1,V,,O,,,,2.4,0.9,,O,30,21,6,19,52,12,19,6,1.5,0,22.7,0.45,1,0.07,0
C1,13/03/2024,Dortmund,PSV Eindhoven,H,1.5,1.5,2,0, 2-0,V,,,,,O,2.1,3.3,O,,26,36,6,14,40,11,13,5,1.0,0,57.1,0.07,0,0.0,0
AL,9/03/2024,Dortmund,Werder Bremen,A,1.2,1.8,2,1, 2-1,V,Rouge 1,,,,,1.6,2.8,O,,22,21,8,26,37,9,20,6,1.4,0,52.2,0.06,0,0.25,0
AL,2/03/2024,Dortmund,Union Berlin,A,1.6,1.2,2,0, 2-0,V,,,,,,1.8,1.2,O,,22,33,9,23,38,7,18,6,0.5,0,51.6,0.02,0,0.03,0
AL,25/02/2024,Dortmund,Hoffenheim,H,1.9,1.3,2,3, 2-3,D,,,,,,4.0,1.7,,N,31,16,15,24,59,10,34,11,1.6,3,52.2,0.6,1,0.28,0
C1,20/02/2024,Dortmund,PSV Eindhoven,A,0.9,1.6,1,1, 1-1,N,,,,,,1.0,1.5,N,,15,34,5,9,23,3,23,4,1.3,0,55.0,0.48,0,0.02,0
AL,17/02/2024,Dortmund,Wolfsburg,A,1.4,1.8,1,1, 1-1,N,,,,,,0.9,3.0,N,,23,23,7,26,39,5,25,7,1.5,0,35.3,0.0,0,0.0,0
AL,9/02/2024,Dortmund,Freiburg,H,1.9,0.3,3,0, 3-0,V,,O,,,,3.8,0.7,O,,31,20,5,25,44,14,21,7,0.8,0,40.7,0.0,0,0.0,0
AL,2/02/2024,Dortmund,Heidenheim,A,0.6,1.2,0,0, 0-0,N,,O,O,,,2.0,1.2,,,24,31,8,25,61,11,27,7,0.0,1,33.3,0.03,0,0.36,0
AL,28/01/2024,Dortmund,Bochum,H,2.9,0.5,3,1, 3-1,V,,,O,,,2.3,1.2,O,,35,21,19,30,51,13,32,13,0.3,0,45.5,0.18,0,0.0,0
AL,20/01/2024,Dortmund,Köln,A,3.4,1.3,4,0, 4-0,V,,,,,,4.5,1.2,O,,21,18,9,27,33,6,20,8,0.8,0,47.1,0.05,1,0.22,0
AL,13/01/2024,Dortmund,Darmstadt,A,3.1,1.0,3,0, 3-0,V,,,,,,4.4,1.4,O,,30,19,10,16,36,10,27,5,0.2,0,61.1,0.0,0,0.02,0
AL,19/12/2023,Dortmund,Mainz 05,H,1.2,0.9,1,1, 1-1,N,,O,,O,,2.1,1.5,N,,41,29,18,31,47,9,22,6,1.0,0,54.8,0.19,0,0.0,0
AL,16/12/2023,Dortmund,Augsburg,A,2.6,1.8,1,1, 1-1,N,,O,,O,,4.8,2.5,,O,43,25,11,19,52,14,30,12,1.2,1,60.7,0.68,0,0.08,0
