Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
AL,18/05/2024,Eintracht Frankfurt,RB Leipzig,H,2.1,1.6,2,2, 2-2,N,,,O,,,2.7,1.2,,O,31,26,7,18,30,10,16,4,1.5,0,59.3,0.07,0,0.0,0
AL,11/05/2024,Eintracht Frankfurt,Mönchengladbach,A,1.5,0.4,1,1, 1-1,N,,,,,,3.9,0.6,,O,27,28,7,19,47,15,23,9,0.8,1,63.2,0.4,0,0.0,0
AL,5/05/2024,Eintracht Frankfurt,Bayer Leverkusen,H,1.9,2.7,1,5, 1-5,D,,,,,,2.8,2.7,,N,29,32,7,14,38,11,18,6,4.5,0,54.5,0.0,0,0.0,0
AL,27/04/2024,Eintracht Frankfurt,Bayern Munich,A,0.5,3.3,1,2, 1-2,D,,,,,,0.5,4.8,,N,19,26,13,25,32,4,16,5,3.5,1,41.4,0.0,0,0.25,0
AL,19/04/2024,Eintracht Frankfurt,Augsburg,H,1.8,0.5,3,1, 3-1,V,,,,,,2.5,1.1,,O,21,19,6,21,49,6,15,2,0.6,1,47.5,0.19,0,0.0,0
AL,13/04/2024,Eintracht Frankfurt,Stuttgart,A,0.6,1.2,0,3, 0-3,D,,,O,O,,1.0,2.7,,N,15,16,9,13,40,5,15,5,2.1,2,56.3,0.06,0,0.0,0
AL,5/04/2024,Eintracht Frankfurt,Werder Bremen,H,2.1,1.6,1,1, 1-1,N,Rouge 2,,,O,,4.8,1.7,,O,45,22,9,20,69,17,14,4,1.6,0,65.5,0.41,0,0.29,0
AL,30/03/2024,Eintracht Frankfurt,Union Berlin,H,1.0,1.5,0,0, 0-0,N,,,,,,2.6,1.6,,,29,27,12,24,83,17,32,9,0.9,2,37.0,0.0,0,0.07,0
AL,17/03/2024,Eintracht Frankfurt,Dortmund,A,0.9,2.3,1,3, 1-3,D,,,,,,0.9,2.4,N,,14,38,5,15,24,4,10,3,2.7,0,77.3,0.07,0,0.45,1
AL,10/03/2024,Eintracht Frankfurt,Hoffenheim,H,2.4,0.6,3,1, 3-1,V,Rouge 2,,,,,4.4,0.6,,O,31,29,7,18,66,15,25,7,0.4,0,37.0,0.02,0,0.3,1
AL,2/03/2024,Eintracht Frankfurt,Heidenheim,A,1.2,1.0,2,1, 2-1,V,,,,,,0.6,1.8,O,,13,21,5,12,27,5,15,2,0.6,0,41.3,0.23,0,0.18,0
AL,25/02/2024,Eintracht Frankfurt,Wolfsburg,H,0.9,1.0,2,2, 2-2,N,,,,O,,1.6,2.1,,O,22,19,23,36,42,10,19,7,1.8,0,47.9,0.12,0,0.04,0
AL,18/02/2024,Eintracht Frankfurt,Freiburg,A,1.0,2.2,3,3, 3-3,N,,,O,,,1.9,2.0,N,,20,29,4,7,33,6,16,8,2.9,0,44.4,0.03,0,0.0,0
AL,10/02/2024,Eintracht Frankfurt,Bochum,H,2.4,1.5,1,1, 1-1,N,,,O,,,3.8,1.6,N,,16,29,5,12,33,11,17,9,0.4,1,47.6,0.66,0,0.04,0
AL,3/02/2024,Eintracht Frankfurt,Köln,A,0.8,1.3,0,2, 0-2,D,Rouge 1,O,,,O,2.0,1.2,,N,22,26,10,22,30,5,8,1,2.4,1,55.2,0.41,0,0.15,0
AL,26/01/2024,Eintracht Frankfurt,Mainz 05,H,1.3,0.8,1,0, 1-0,V,,O,,O,,1.4,1.8,O,,20,30,7,17,41,7,16,4,0.0,0,52.9,0.02,0,0.11,0
AL,20/01/2024,Eintracht Frankfurt,Darmstadt,A,1.2,1.1,2,2, 2-2,N,,O,,O,,1.6,2.0,N,,13,19,4,14,31,1,9,5,1.5,0,50.0,0.0,0,0.09,0
