Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
IT,26/05/2024,Empoli,Roma,H,2.6,1.3,2,1, 2-1,V,,,,O,O,3.4,2.7,O,,28,23,7,17,29,7,18,6,0.8,1,35.7,0.07,0,0.46,0
IT,19/05/2024,Empoli,Udinese,A,0.8,1.2,1,1, 1-1,N,Rouge 1,,,,O,0.1,1.3,,,7,24,2,13,25,2,7,2,1.0,0,47.2,0.02,0,0.63,0
IT,12/05/2024,Empoli,Lazio,A,1.2,1.7,0,2, 0-2,D,,O,,O,,2.2,2.5,,N,25,17,8,20,22,8,18,7,1.7,0,54.2,0.11,0,0.88,1
IT,5/05/2024,Empoli,Frosinone,H,0.3,1.2,0,0, 0-0,N,,O,,,,0.3,2.1,,,8,21,3,12,15,5,3,0,0.3,0,61.0,0.0,0,0.25,0
IT,28/04/2024,Empoli,Atalanta,A,0.4,1.9,0,2, 0-2,D,,,,,,0.7,2.5,,N,19,36,9,17,19,4,11,4,1.6,0,36.6,0.02,0,0.11,0
IT,20/04/2024,Empoli,Napoli,H,0.9,0.6,1,0, 1-0,V,,,,,,1.1,1.6,O,,14,36,5,15,17,4,14,5,0.0,0,48.4,0.0,0,0.0,0
IT,13/04/2024,Empoli,Lecce,A,0.1,2.6,0,1, 0-1,D,,,,O,,0.3,3.4,,N,4,17,4,7,25,2,6,1,1.7,0,47.2,0.0,0,1.31,0
IT,6/04/2024,Empoli,Torino,H,0.5,2.1,3,2, 3-2,V,,,,O,,0.8,3.3,O,,8,21,3,10,20,1,6,2,1.6,0,51.5,0.0,0,0.36,1
IT,1/04/2024,Empoli,Inter,A,0.5,2.1,0,2, 0-2,D,,,,O,,1.0,3.8,,N,27,13,9,12,38,10,21,5,1.3,0,40.9,0.07,0,0.0,0
IT,15/03/2024,Empoli,Bologna,H,1.0,2.3,0,1, 0-1,D,,,,O,,1.7,2.9,,N,18,20,5,9,15,5,14,6,1.8,2,34.4,0.01,0,0.13,0
IT,10/03/2024,Empoli,Milan,A,0.2,0.8,0,1, 0-1,D,,,,O,,0.5,2.0,,N,9,20,6,15,23,2,10,4,1.0,0,62.5,0.05,0,0.07,0
