Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
UK,19/05/2024,Everton,Arsenal,A,0.6,2.9,1,2, 1-2,D,,,,,O,0.4,4.7,N,,9,22,10,13,14,2,8,3,2.4,2,52.0,0.0,0,0.09,0
UK,11/05/2024,Everton,Sheffield United,H,2.3,0.6,1,0, 1-0,V,,,,,O,4.3,0.8,O,,24,35,4,14,43,9,12,6,0.0,0,56.5,0.0,0,0.05,0
UK,3/05/2024,Everton,Luton,A,1.4,0.8,1,1, 1-1,N,,,,,O,1.8,1.3,,O,17,29,2,14,18,5,9,1,1.5,0,52.6,0.0,0,0.3,0
UK,27/04/2024,Everton,Brentford,H,0.8,0.9,1,0, 1-0,V,,,,,O,1.4,1.3,O,,32,21,5,13,31,8,13,2,0.9,0,51.5,0.01,0,0.16,0
UK,24/04/2024,Everton,Liverpool,H,1.2,2.1,2,0, 2-0,V,,,,,,1.8,3.3,O,,28,26,11,20,13,4,10,3,1.3,0,54.5,0.36,1,0.08,0
UK,21/04/2024,Everton,Nottingham Forest,H,0.3,0.9,2,0, 2-0,V,,,,,,0.4,0.9,O,,13,29,5,11,31,3,19,3,0.7,0,54.5,0.08,0,0.0,0
UK,15/04/2024,Everton,Chelsea,A,1.5,3.1,0,6, 0-6,D,,,,,,2.6,2.4,,N,14,21,8,14,36,6,13,1,4.2,1,50.0,0.13,0,0.0,0
UK,6/04/2024,Everton,Burnley,H,0.9,0.5,1,0, 1-0,V,Rouge 2,,,,,1.0,0.8,O,,21,37,8,25,26,10,13,6,0.1,0,54.5,0.0,0,0.21,0
UK,2/04/2024,Everton,Newcastle United,A,1.4,2.4,1,1, 1-1,N,,,,,,1.4,3.5,,O,18,24,4,13,32,7,8,5,2.0,0,54.9,0.3,0,0.1,0
UK,30/03/2024,Everton,Bournemouth,A,1.0,1.3,1,2, 1-2,D,,,,,O,1.7,2.3,,N,14,32,10,20,36,10,10,2,1.3,1,54.5,0.01,0,0.15,0
UK,9/03/2024,Everton,Manchester United,A,1.6,2.7,0,2, 0-2,D,,,,,,2.1,1.8,,,38,23,4,14,50,15,22,6,3.3,1,63.6,0.3,0,0.05,0
UK,2/03/2024,Everton,West Ham,H,2.7,1.9,1,3, 1-3,D,,,,,,3.1,3.0,N,,37,13,7,17,55,9,28,2,2.9,1,37.5,0.25,0,0.41,1
UK,24/02/2024,Everton,Brighton,A,0.3,1.4,1,1, 1-1,N,,,,,,0.7,2.2,,O,12,23,12,19,19,6,6,1,1.3,0,35.7,0.0,0,0.16,0
UK,19/02/2024,Everton,Crystal Palace,H,1.7,0.7,1,1, 1-1,N,,,,,,2.1,1.1,,O,35,41,6,14,48,14,12,1,0.4,0,65.2,0.56,1,0.07,0
UK,10/02/2024,Everton,Manchester City,A,0.3,1.6,0,2, 0-2,D,,,,,,0.5,2.5,,N,7,29,7,16,12,2,6,0,1.0,0,42.1,0.0,0,0.05,0
UK,3/02/2024,Everton,Tottenham,H,2.6,1.0,2,2, 2-2,N,,,,,,3.3,1.4,,O,23,42,8,14,25,6,8,2,1.8,0,62.9,0.24,0,0.0,0
UK,30/01/2024,Everton,Fulham,A,1.9,1.6,0,0, 0-0,N,,,,,,2.2,2.5,,,36,33,4,8,21,9,8,2,1.0,0,62.2,0.14,0,0.17,0
UK,14/01/2024,Everton,Aston Villa,H,1.1,1.2,0,0, 0-0,N,,,,,,1.4,2.3,,,15,34,1,9,20,4,18,7,0.5,0,69.2,0.09,0,0.0,0
UK,30/12/2023,Everton,Wolves,A,0.4,1.9,0,3, 0-3,D,,,,,,0.7,2.9,,N,16,37,9,16,44,4,16,3,2.5,0,57.9,0.0,0,0.03,0
UK,27/12/2023,Everton,Manchester City,H,1.0,2.4,1,3, 1-3,D,,,,,,1.4,2.1,N,,11,24,6,14,12,7,12,4,2.1,0,50.0,0.04,0,0.12,0
UK,23/12/2023,Everton,Tottenham,A,1.8,1.5,1,2, 1-2,D,,,,,,2.1,2.0,,N,29,33,8,24,44,13,18,8,1.4,0,72.2,0.0,0,0.0,0
UK,16/12/2023,Everton,Burnley,A,1.4,0.7,2,0, 2-0,V,,,,,O,1.8,1.3,O,,17,17,5,13,26,8,9,2,0.2,0,52.2,0.26,1,0.16,0
UK,10/12/2023,Everton,Chelsea,H,1.2,0.9,2,0, 2-0,V,,,,,,1.5,1.4,O,,14,37,7,18,22,6,5,2,0.8,0,45.2,0.0,0,0.03,0
UK,7/12/2023,Everton,Newcastle United,H,3.3,1.5,3,0, 3-0,V,,,,O,,4.7,1.7,O,,34,32,5,8,25,10,13,4,0.6,1,64.3,0.35,0,0.0,0
UK,2/12/2023,Everton,Nottingham Forest,A,0.7,0.7,1,0, 1-0,V,,,,,,0.5,1.2,O,,22,25,3,7,47,8,11,1,0.5,0,53.1,0.02,0,0.23,0
UK,26/11/2023,Everton,Manchester United,H,2.4,2.2,0,3, 0-3,D,,,,,,2.6,2.3,,N,35,29,2,11,49,13,14,1,2.4,0,43.6,0.19,0,0.02,0
UK,11/11/2023,Everton,Crystal Palace,A,1.5,2.2,3,2, 3-2,V,,,,,,1.5,2.4,O,,15,32,6,12,22,6,5,2,2.1,1,36.8,0.0,0,0.0,0
UK,4/11/2023,Everton,Brighton,H,0.7,0.5,1,1, 1-1,N,,,,,,0.4,1.1,N,,17,22,5,9,13,2,9,2,0.3,0,56.7,0.16,0,0.0,0
UK,29/10/2023,Everton,West Ham,A,0.8,0.7,1,0, 1-0,V,,,,,,1.0,1.2,O,,17,43,5,14,28,6,18,5,0.3,0,58.1,0.12,0,0.28,0
UK,21/10/2023,Everton,Liverpool,A,0.1,2.2,0,2, 0-2,D,Rouge 1,,,,,0.3,2.2,,N,11,31,12,21,12,4,4,0,1.8,1,50.0,0.0,0,0.29,0
UK,7/10/2023,Everton,Bournemouth,H,2.4,0.7,3,0, 3-0,V,,,,,,3.1,2.0,O,,40,33,12,22,31,8,23,10,0.4,0,59.0,0.09,0,0.0,0
UK,30/09/2023,Everton,Luton,H,2.9,0.9,1,2, 1-2,D,,,,,,4.7,0.8,,N,42,28,10,28,49,22,19,2,1.4,1,54.5,0.0,0,0.46,1
UK,23/09/2023,Everton,Brentford,A,1.9,1.0,3,1, 3-1,V,,,,,,3.0,1.7,O,,30,23,4,10,36,9,20,5,0.9,0,62.2,0.32,1,0.04,0
UK,17/09/2023,Everton,Arsenal,H,0.3,1.0,0,1, 0-1,D,,,,O,,0.4,1.4,,N,15,29,3,8,10,3,6,2,0.8,0,52.6,0.0,0,0.0,0
UK,2/09/2023,Everton,Sheffield United,A,2.5,1.2,2,2, 2-2,N,,,O,,O,2.9,1.1,N,,25,30,10,20,41,5,22,8,1.9,0,51.4,0.13,0,0.16,0
UK,26/08/2023,Everton,Wolves,H,1.3,1.1,0,1, 0-1,D,,,O,,O,2.0,1.5,,N,21,36,6,14,35,9,18,5,1.1,0,60.9,0.29,0,0.01,0
UK,20/08/2023,Everton,Aston Villa,A,0.6,2.9,0,4, 0-4,D,,,O,,O,1.1,3.0,,N,14,20,9,13,24,4,15,3,3.1,2,47.1,0.31,0,0.0,0
UK,12/08/2023,Everton,Fulham,H,2.7,1.5,0,1, 0-1,D,,,O,,O,3.4,1.2,,N,36,26,7,14,29,8,15,5,1.1,0,39.1,0.05,0,0.04,0
