Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
IT,2/06/2024,Fiorentina,Atalanta,A,1.2,1.7,3,2, 3-2,V,,,,O,,1.6,2.8,O,,13,35,2,11,36,6,12,6,,0,42.9,0.04,0,0.11,0
IT,23/05/2024,Fiorentina,Cagliari,A,2.0,1.9,3,2, 3-2,V,,,,O,O,2.3,3.1,O,,21,10,7,22,34,3,14,3,1.9,0,59.1,0.77,1,0.46,0
IT,17/05/2024,Fiorentina,Napoli,H,0.6,1.2,2,2, 2-2,N,,,,O,O,0.8,1.5,,O,21,14,11,18,38,6,13,5,0.8,0,43.8,0.02,0,0.28,1
IT,13/05/2024,Fiorentina,Monza,H,2.5,0.7,2,1, 2-1,V,,,,O,,4.4,0.9,,O,28,20,4,12,55,18,15,5,1.0,0,45.2,0.0,0,0.0,0
IT,5/05/2024,Fiorentina,Verona,A,0.9,1.9,1,2, 1-2,D,,O,O,O,O,1.3,1.2,N,,21,23,9,17,34,11,9,4,1.3,0,62.5,0.0,0,0.0,0
IT,28/04/2024,Fiorentina,Sassuolo,H,3.2,0.3,5,1, 5-1,V,,,,O,,5.6,0.3,O,,38,15,11,22,65,16,24,7,0.1,0,69.7,0.09,0,0.06,0
IT,21/04/2024,Fiorentina,Salernitana,A,2.0,0.2,2,0, 2-0,V,,O,,O,,3.0,0.3,O,,21,11,9,17,56,14,27,5,0.0,0,51.2,0.0,0,0.05,0
IT,15/04/2024,Fiorentina,Genoa,H,1.5,1.3,1,1, 1-1,N,,,,O,,2.4,0.6,N,,36,21,17,22,34,11,27,8,1.0,1,42.3,0.06,0,0.15,0
IT,7/04/2024,Fiorentina,Juventus,A,0.5,1.9,0,1, 0-1,D,,,O,O,,0.9,0.4,,N,21,18,7,16,53,12,18,3,1.1,0,45.5,0.01,0,0.07,0
IT,30/03/2024,Fiorentina,Milan,H,1.4,3.1,1,2, 1-2,D,,,,O,,2.6,4.7,,N,29,16,3,14,34,12,13,7,3.2,0,53.3,0.1,0,0.2,0
IT,10/03/2024,Fiorentina,Roma,H,2.1,0.6,2,2, 2-2,N,,,O,O,,1.9,1.1,N,,25,19,3,6,24,10,6,0,1.6,0,62.5,0.17,0,0.03,0
IT,2/03/2024,Fiorentina,Torino,A,0.6,0.6,0,0, 0-0,N,Rouge 2,,O,O,,1.5,0.9,,,25,18,4,6,41,13,22,2,0.7,0,54.1,0.04,0,0.09,0
IT,26/02/2024,Fiorentina,Lazio,H,2.5,0.3,2,1, 2-1,V,,,O,O,,2.2,0.6,,O,35,19,10,20,40,8,16,3,0.8,0,61.5,0.57,0,0.06,0
IT,18/02/2024,Fiorentina,Empoli,A,0.7,1.0,1,1, 1-1,N,,,,O,,1.4,0.6,N,,17,23,6,18,42,5,15,2,1.2,0,56.0,0.25,0,0.02,0
IT,14/02/2024,Fiorentina,Bologna,A,0.9,2.1,0,2, 0-2,D,,,O,O,,1.6,3.4,,N,21,19,3,9,41,13,12,3,1.9,2,52.2,0.0,0,0.18,0
IT,11/02/2024,Fiorentina,Frosinone,H,2.2,1.1,5,1, 5-1,V,,,,O,,3.7,2.1,O,,31,26,8,17,30,10,16,7,0.5,1,52.9,0.29,1,0.01,0
IT,2/02/2024,Fiorentina,Lecce,A,1.1,2.6,2,3, 2-3,D,,,,O,O,1.2,1.5,,N,14,26,3,11,30,5,11,2,2.8,0,48.9,0.0,0,0.05,0
IT,28/01/2024,Fiorentina,Inter,H,1.8,0.5,0,1, 0-1,D,,,,O,O,1.6,0.9,,N,26,26,3,7,40,8,21,3,0.5,1,36.8,0.18,0,0.04,1
IT,14/01/2024,Fiorentina,Udinese,H,1.3,1.2,2,2, 2-2,N,,O,,O,,1.2,1.1,,O,17,27,6,15,56,11,21,7,1.8,0,35.5,0.0,0,0.05,0
IT,6/01/2024,Fiorentina,Sassuolo,A,1.2,0.9,0,1, 0-1,D,,O,,O,,1.4,1.2,,N,14,16,5,10,52,11,13,4,0.5,0,68.0,0.01,0,0.19,0
IT,29/12/2023,Fiorentina,Torino,H,0.5,0.3,1,0, 1-0,V,,O,O,O,,1.3,0.7,O,,20,12,2,6,31,7,8,2,0.5,0,59.2,0.04,0,0.08,0
IT,22/12/2023,Fiorentina,Monza,A,2.0,0.7,1,0, 1-0,V,,O,O,O,,2.2,0.8,O,,24,14,5,9,41,8,11,3,0.7,0,68.6,0.1,0,0.02,0
IT,17/12/2023,Fiorentina,Verona,H,0.5,2.5,1,0, 1-0,V,,O,,O,,1.1,1.5,O,,9,22,12,18,45,9,15,5,2.5,0,33.3,0.0,0,0.24,0
IT,10/12/2023,Fiorentina,Roma,A,1.5,0.7,1,1, 1-1,N,Rouge 2,O,,O,,3.0,1.2,,O,27,13,11,23,57,14,21,2,0.2,0,53.6,0.18,0,0.0,0
IT,3/12/2023,Fiorentina,Salernitana,H,2.5,0.8,3,0, 3-0,V,,O,,O,,3.0,1.1,O,,41,39,11,18,48,14,26,11,0.2,1,48.0,0.03,1,0.03,0
IT,25/11/2023,Fiorentina,Milan,A,1.8,1.8,0,1, 0-1,D,,,,O,O,1.2,1.7,,,35,24,8,25,64,14,17,3,2.2,0,53.3,0.02,0,0.1,0
IT,12/11/2023,Fiorentina,Bologna,H,1.4,1.8,2,1, 2-1,V,,,,O,O,1.3,0.5,O,,21,25,7,21,32,5,15,3,1.7,1,51.9,0.02,0,0.0,0
IT,5/11/2023,Fiorentina,Juventus,H,0.7,0.7,0,1, 0-1,D,,,,O,O,1.4,0.9,,N,43,17,6,20,63,14,24,2,1.2,0,42.9,0.02,0,0.0,0
IT,30/10/2023,Fiorentina,Lazio,A,0.4,1.9,0,1, 0-1,D,,,,O,O,0.9,1.0,,,15,22,4,10,35,4,11,2,1.8,0,36.4,0.03,0,0.0,0
IT,23/10/2023,Fiorentina,Empoli,H,1.0,1.5,0,2, 0-2,D,,,,O,,2.8,2.4,,N,35,19,8,24,73,24,22,8,1.7,0,67.6,0.0,0,0.05,0
IT,8/10/2023,Fiorentina,Napoli,A,2.1,1.8,3,1, 3-1,V,,O,,O,,2.4,1.3,O,,22,34,9,13,30,7,13,2,1.9,0,48.0,0.01,0,0.02,0
IT,2/10/2023,Fiorentina,Cagliari,H,1.2,0.8,3,0, 3-0,V,,,,O,,1.8,0.6,O,,27,25,10,20,47,7,17,7,0.2,1,48.0,0.23,1,0.11,0
IT,28/09/2023,Fiorentina,Frosinone,A,1.4,0.7,1,1, 1-1,N,,,,O,,1.7,0.7,N,,33,28,10,21,47,7,17,8,1.2,0,52.2,0.02,0,0.12,0
IT,24/09/2023,Fiorentina,Udinese,A,0.5,2.2,2,0, 2-0,V,,O,,O,,0.7,3.7,O,,11,21,6,17,34,4,5,2,1.9,0,25.6,0.07,1,0.02,0
IT,17/09/2023,Fiorentina,Atalanta,H,1.1,0.7,3,2, 3-2,V,,,,O,O,1.9,1.1,,O,29,24,7,24,51,12,21,3,0.8,0,53.8,0.0,0,0.13,0
IT,3/09/2023,Fiorentina,Inter,A,0.4,3.7,0,4, 0-4,D,,,O,O,O,1.0,4.7,,N,9,10,10,24,32,5,16,2,2.5,0,38.9,0.0,0,0.05,0
IT,27/08/2023,Fiorentina,Lecce,H,1.3,0.3,2,2, 2-2,N,,,,O,O,2.6,0.5,N,,20,31,12,25,47,11,14,3,0.7,0,43.3,0.08,1,0.0,0
IT,19/08/2023,Fiorentina,Genoa,A,1.0,0.2,4,1, 4-1,V,,,O,O,,1.2,0.8,O,,15,18,10,18,44,5,23,8,0.3,0,54.5,0.05,1,0.04,0
