Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
AL,18/05/2024,Freiburg,Union Berlin,A,1.0,2.3,1,2, 1-2,D,,,,,,2.0,1.1,,N,24,36,5,17,46,9,18,3,2.7,0,40.6,0.05,0,0.08,0
AL,11/05/2024,Freiburg,Heidenheim,H,1.5,0.7,1,1, 1-1,N,,,,O,,2.3,1.2,N,,35,21,6,14,42,12,24,7,1.1,0,64.3,0.1,0,0.13,0
AL,4/05/2024,Freiburg,Köln,A,0.8,0.9,0,0, 0-0,N,,,,,,1.5,1.9,,,8,27,6,17,34,4,7,3,0.9,0,42.9,0.0,0,0.0,0
AL,27/04/2024,Freiburg,Wolfsburg,H,2.2,0.5,1,2, 1-2,D,Rouge 1,,,O,,1.7,1.1,,N,25,17,12,20,37,8,11,2,0.5,0,62.5,0.0,0,0.0,0
AL,21/04/2024,Freiburg,Mainz 05,H,1.1,1.0,1,1, 1-1,N,,,,,,1.9,1.7,N,,12,23,7,15,25,6,7,1,1.3,1,59.6,0.02,0,0.3,0
AL,14/04/2024,Freiburg,Darmstadt,A,0.9,1.1,1,0, 1-0,V,,,,O,,2.2,1.4,O,,18,22,5,17,34,9,12,1,0.4,1,53.3,0.0,0,0.0,0
AL,6/04/2024,Freiburg,RB Leipzig,H,1.6,2.3,1,4, 1-4,D,,,,,,1.4,3.9,,N,19,20,12,22,44,6,18,4,2.1,1,66.7,0.15,0,0.0,0
AL,30/03/2024,Freiburg,Mönchengladbach,A,1.7,1.5,3,0, 3-0,V,,,O,,,2.6,3.8,O,,24,31,4,11,39,8,14,3,0.3,0,25.9,0.01,0,0.75,0
AL,17/03/2024,Freiburg,Bayer Leverkusen,H,0.9,2.3,2,3, 2-3,D,,,,,,1.5,3.0,,N,20,28,4,8,29,5,16,3,1.7,1,55.6,0.12,0,0.06,0
C3,14/03/2024,Freiburg,West Ham,A,0.3,2.1,0,5, 0-5,D,,,,,,0.8,1.6,,N,18,20,3,5,38,6,17,2,4.0,0,57.1,0.0,0,0.15,0
AL,10/03/2024,Freiburg,Bochum,A,1.4,1.2,2,1, 2-1,V,,,,,,2.2,3.2,O,,16,29,7,10,20,4,12,4,1.6,0,36.5,0.0,0,0.42,1
C3,7/03/2024,Freiburg,West Ham,H,1.5,1.4,1,0, 1-0,V,,,,,,2.4,2.6,O,,28,23,3,6,47,9,19,3,0.7,0,36.1,0.0,0,0.15,0
