Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
IT,26/05/2024,Frosinone,Udinese,H,0.8,0.7,0,1, 0-1,D,,,,O,,0.7,1.1,,N,34,21,10,32,37,3,17,5,0.6,1,75.0,0.06,0,0.19,0
IT,19/05/2024,Frosinone,Monza,A,2.0,1.0,1,0, 1-0,V,,,,O,,2.6,1.6,O,,27,21,9,17,25,9,20,7,0.3,0,34.4,0.0,0,0.16,0
IT,10/05/2024,Frosinone,Inter,H,1.3,1.8,0,5, 0-5,D,,,,,O,1.5,2.6,,N,31,8,9,20,38,9,25,8,2.6,1,36.8,0.0,0,0.35,0
IT,5/05/2024,Frosinone,Empoli,A,1.2,0.3,0,0, 0-0,N,,,,,,2.1,0.3,,,28,19,3,7,34,9,19,9,0.1,0,39.0,0.25,0,0.0,0
IT,26/04/2024,Frosinone,Salernitana,H,1.7,1.4,3,0, 3-0,V,,,,,,1.1,2.3,O,,19,20,5,10,44,8,19,3,0.0,1,40.0,0.07,0,0.07,0
IT,21/04/2024,Frosinone,Torino,A,0.6,0.6,0,0, 0-0,N,,,,,,1.0,0.9,,,18,24,7,20,29,6,17,3,0.1,0,39.5,0.07,0,0.02,0
IT,14/04/2024,Frosinone,Napoli,A,2.4,2.2,2,2, 2-2,N,Rouge 2,,,,,2.5,3.4,,O,24,19,5,13,31,9,12,2,1.9,0,58.3,0.04,0,0.05,0
IT,7/04/2024,Frosinone,Bologna,H,0.4,2.0,0,0, 0-0,N,,,,,,0.4,2.7,,,18,18,7,19,19,5,6,1,1.6,0,35.5,0.02,0,0.1,0
IT,30/03/2024,Frosinone,Genoa,A,0.8,1.5,1,1, 1-1,N,,,,O,,1.2,0.6,N,,27,21,3,15,34,5,18,4,2.2,0,46.2,0.08,0,0.05,0
IT,16/03/2024,Frosinone,Lazio,H,2.1,2.9,2,3, 2-3,D,,,,,,3.0,4.4,N,,26,14,14,25,45,9,19,4,2.9,0,36.7,0.17,0,0.17,1
IT,9/03/2024,Frosinone,Sassuolo,A,1.3,0.6,0,1, 0-1,D,,,,,,0.8,0.9,,N,21,25,10,25,42,5,14,5,0.5,0,50.0,0.1,0,0.03,0
IT,3/03/2024,Frosinone,Lecce,H,1.3,1.2,1,1, 1-1,N,,,,,,1.9,0.3,N,,28,14,10,20,48,10,18,4,0.4,1,54.5,0.3,1,0.0,0
IT,25/02/2024,Frosinone,Juventus,A,0.4,2.0,2,3, 2-3,D,,,,,,0.8,3.1,,N,9,35,6,15,12,4,13,4,1.0,0,15.8,0.0,0,0.24,0
IT,18/02/2024,Frosinone,Roma,H,1.4,1.8,0,3, 0-3,D,,,O,,O,1.8,0.6,,N,36,25,6,14,37,11,23,6,1.7,0,38.9,0.09,0,0.07,0
IT,11/02/2024,Frosinone,Fiorentina,A,1.1,2.2,1,5, 1-5,D,,,O,,,2.1,3.7,,N,19,19,3,18,31,8,10,3,2.5,1,47.1,0.01,0,0.29,1
IT,3/02/2024,Frosinone,Milan,H,1.0,1.4,2,3, 2-3,D,,,O,,,0.4,2.5,,N,12,24,9,15,27,2,15,4,2.6,0,31.8,0.0,0,0.0,0
IT,28/01/2024,Frosinone,Verona,A,1.2,2.2,1,1, 1-1,N,,,O,,,2.2,1.0,N,,19,22,10,23,30,8,9,4,2.3,0,39.5,0.11,0,0.0,0
IT,21/01/2024,Frosinone,Cagliari,H,2.8,0.6,3,1, 3-1,V,,,,,,4.2,0.7,,O,33,16,8,17,39,8,17,4,1.0,0,54.8,0.52,0,0.22,0
IT,15/01/2024,Frosinone,Atalanta,A,0.4,3.7,0,5, 0-5,D,,,O,,,0.8,2.4,,N,16,24,8,13,26,7,6,0,3.6,1,40.9,0.0,0,0.1,0
