Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
UK,19/05/2024,Fulham,Luton,A,1.1,2.0,4,2, 4-2,V,,,,O,O,1.7,1.3,O,,30,24,5,12,40,9,16,7,2.7,0,35.3,0.32,1,0.0,0
UK,11/05/2024,Fulham,Manchester City,H,0.1,3.2,0,4, 0-4,D,Rouge 1,,,O,,0.1,4.2,,N,2,29,7,8,14,2,11,2,3.2,0,38.5,0.0,0,0.0,0
UK,4/05/2024,Fulham,Brentford,A,1.3,0.6,0,0, 0-0,N,,,,O,,1.3,0.9,,,28,26,6,8,36,8,30,7,0.6,1,46.9,0.1,0,0.01,0
UK,27/04/2024,Fulham,Crystal Palace,H,1.1,1.0,1,1, 1-1,N,,,,O,,2.0,1.9,N,,16,32,1,12,24,4,9,4,1.0,0,38.5,0.08,0,0.08,0
UK,21/04/2024,Fulham,Liverpool,H,0.8,1.0,1,3, 1-3,D,,,,,,1.6,1.2,N,,19,19,9,17,28,9,16,5,2.1,1,44.0,0.01,0,0.0,0
UK,14/04/2024,Fulham,West Ham,A,3.2,0.9,2,0, 2-0,V,,,,,,4.2,1.3,O,,32,31,7,15,33,8,17,4,0.2,0,50.0,0.3,0,0.17,0
UK,6/04/2024,Fulham,Newcastle United,H,1.2,1.0,0,1, 0-1,D,,,,,,2.2,1.4,,N,26,29,15,21,73,16,30,9,0.7,0,50.0,0.06,0,0.19,0
UK,2/04/2024,Fulham,Nottingham Forest,A,1.5,1.5,1,3, 1-3,D,,,,,,3.1,1.6,,N,33,19,4,8,68,18,27,4,1.4,0,57.6,0.19,1,0.11,0
UK,30/03/2024,Fulham,Sheffield United,A,1.3,1.9,3,3, 3-3,N,,,,,,1.7,3.3,,O,44,12,11,19,59,16,25,5,1.4,0,45.2,0.3,1,0.02,0
UK,16/03/2024,Fulham,Tottenham,H,2.6,2.4,3,0, 3-0,V,,,,,,2.8,4.1,O,,28,33,8,15,33,17,22,6,0.9,0,44.0,0.06,0,0.0,0
UK,9/03/2024,Fulham,Wolves,A,2.6,0.8,1,2, 1-2,D,,,,,,4.1,1.6,,N,37,25,4,8,41,12,19,4,0.9,0,57.1,0.02,0,0.01,0
UK,2/03/2024,Fulham,Brighton,H,1.3,1.3,3,0, 3-0,V,,O,,,,1.7,2.5,O,,20,32,4,15,19,6,16,3,0.3,0,41.4,0.03,0,0.19,0
UK,24/02/2024,Fulham,Manchester United,A,1.2,1.7,2,1, 2-1,V,,O,,,,1.9,2.5,O,,31,26,9,20,41,10,22,3,2.3,0,52.6,0.14,0,0.25,0
UK,17/02/2024,Fulham,Aston Villa,H,1.5,1.5,1,2, 1-2,D,,,,O,,2.9,1.8,,N,26,17,5,12,44,12,11,1,1.7,1,46.7,0.23,0,0.2,0
UK,10/02/2024,Fulham,Bournemouth,H,1.6,1.8,3,1, 3-1,V,,,,O,,2.5,4.1,O,,14,28,9,15,32,7,15,3,1.0,0,46.3,0.0,0,0.48,0
UK,3/02/2024,Fulham,Burnley,A,1.5,1.8,2,2, 2-2,N,,,,,,2.1,1.9,N,,27,27,0,7,32,12,11,1,1.3,1,52.9,0.34,1,0.08,0
UK,30/01/2024,Fulham,Everton,H,1.6,1.9,0,0, 0-0,N,,,,,,2.5,2.2,,,42,14,7,19,45,11,21,6,0.1,0,37.8,0.17,0,0.14,0
UK,13/01/2024,Fulham,Chelsea,A,0.8,2.2,0,1, 0-1,D,,,,,O,1.4,2.8,,,23,43,8,18,30,7,21,3,1.2,0,51.7,0.01,0,0.17,0
UK,31/12/2023,Fulham,Arsenal,H,1.2,1.6,2,1, 2-1,V,,,,,O,1.1,1.1,,O,22,32,7,14,28,7,19,3,1.1,1,50.0,0.06,0,0.0,0
UK,26/12/2023,Fulham,Bournemouth,A,0.3,1.8,0,3, 0-3,D,,,,,,0.8,1.5,,N,15,24,14,22,58,14,15,3,1.6,0,42.9,0.04,0,0.0,0
UK,23/12/2023,Fulham,Burnley,H,1.3,0.4,0,2, 0-2,D,,,,,,1.9,0.7,,N,34,23,13,25,52,10,21,5,0.5,0,64.3,0.0,0,0.06,0
UK,16/12/2023,Fulham,Newcastle United,A,0.3,3.5,0,3, 0-3,D,Rouge 1,,,,,0.6,5.3,,N,10,34,3,10,21,7,13,2,3.8,0,19.0,0.0,0,0.03,0
UK,10/12/2023,Fulham,West Ham,H,2.3,1.3,5,0, 5-0,V,,,,,O,3.9,1.9,O,,27,29,10,15,46,11,23,3,1.3,1,73.7,0.09,1,0.0,0
UK,6/12/2023,Fulham,Nottingham Forest,H,2.5,0.3,5,0, 5-0,V,,,,,O,2.7,0.6,O,,27,32,5,12,64,15,14,3,0.0,1,64.0,0.07,0,0.0,0
UK,3/12/2023,Fulham,Liverpool,A,1.2,2.1,3,4, 3-4,D,,,,O,O,1.5,2.2,N,,14,55,6,18,36,4,16,3,2.2,0,55.6,0.09,0,0.27,0
UK,27/11/2023,Fulham,Wolves,H,2.9,1.4,3,2, 3-2,V,,O,,O,O,2.4,1.1,O,,24,33,4,10,53,14,16,3,1.8,1,64.7,0.0,0,0.01,0
UK,12/11/2023,Fulham,Aston Villa,A,0.9,3.0,1,3, 1-3,D,,,,O,O,1.6,3.6,,N,17,28,12,15,28,7,12,1,2.1,0,37.5,0.0,0,0.03,0
UK,4/11/2023,Fulham,Manchester United,H,1.0,0.7,0,1, 0-1,D,,,,O,,1.3,1.1,,N,30,23,10,21,28,4,22,5,1.3,0,48.7,0.2,0,0.03,0
UK,29/10/2023,Fulham,Brighton,A,0.7,1.4,1,1, 1-1,N,,,,O,,1.2,1.9,,O,16,46,9,17,23,6,7,6,1.2,1,43.5,0.0,0,0.03,0
UK,23/10/2023,Fulham,Tottenham,A,1.0,1.5,0,2, 0-2,D,,,,O,O,1.8,2.4,,N,18,31,12,24,27,6,11,3,1.3,2,44.4,0.07,0,0.06,0
UK,7/10/2023,Fulham,Sheffield United,H,2.2,0.6,3,1, 3-1,V,,,,O,O,3.0,0.4,O,,31,36,14,20,46,9,34,10,0.2,0,52.6,0.03,0,0.15,0
UK,2/10/2023,Fulham,Chelsea,H,1.1,1.7,0,2, 0-2,D,,,,O,O,2.1,1.9,,N,19,29,3,10,48,10,21,7,0.8,1,52.9,0.08,0,0.08,0
UK,23/09/2023,Fulham,Crystal Palace,A,0.6,0.3,0,0, 0-0,N,,,,O,O,1.0,0.7,,,19,36,7,13,49,11,24,3,0.7,0,55.2,0.0,0,0.08,0
UK,16/09/2023,Fulham,Luton,H,1.0,1.1,1,0, 1-0,V,,,O,O,O,1.5,1.7,O,,25,24,4,14,68,10,19,2,0.9,0,37.9,0.19,0,0.0,0
UK,2/09/2023,Fulham,Manchester City,A,1.4,2.2,1,5, 1-5,D,,O,,O,O,1.1,1.5,,N,10,18,4,10,17,3,7,3,3.4,1,42.9,0.41,0,0.03,1
UK,26/08/2023,Fulham,Arsenal,A,0.6,3.2,2,2, 2-2,N,,,,O,O,0.7,5.1,N,,9,24,1,7,14,3,8,4,2.0,0,60.9,0.32,1,0.14,0
UK,19/08/2023,Fulham,Brentford,H,0.5,3.7,0,3, 0-3,D,Rouge 1,,,O,O,0.7,4.6,,N,16,13,8,13,31,11,15,3,3.4,1,50.0,0.0,0,0.18,0
UK,12/08/2023,Fulham,Everton,A,1.5,2.7,1,0, 1-0,V,,O,,O,O,1.2,3.4,O,,16,14,6,11,38,9,14,2,3.3,0,60.9,0.04,0,0.05,0
