Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
IT,24/05/2024,Genoa,Bologna,H,1.5,1.0,2,0, 2-0,V,,,,,O,1.4,2.0,O,,23,29,3,8,21,4,9,2,0.0,0,40.5,0.15,0,0.64,0
IT,19/05/2024,Genoa,Roma,A,0.5,0.8,0,1, 0-1,D,Rouge 2,,,,O,1.0,1.4,,N,22,18,5,10,30,6,13,2,0.7,0,62.5,0.04,0,0.05,0
IT,12/05/2024,Genoa,Sassuolo,H,0.9,1.7,2,1, 2-1,V,,,,,O,1.2,1.7,O,,14,17,7,10,46,6,14,3,1.5,0,54.1,0.02,0,0.02,0
IT,5/05/2024,Genoa,Milan,A,1.0,2.8,3,3, 3-3,N,,O,,,O,0.5,4.1,,O,12,19,3,3,27,12,7,1,2.0,0,60.9,0.0,0,0.22,1
IT,29/04/2024,Genoa,Cagliari,H,1.2,1.1,3,0, 3-0,V,,,,,O,1.7,1.8,O,,22,29,3,9,33,9,15,2,0.2,0,51.2,0.1,0,0.11,0
IT,19/04/2024,Genoa,Lazio,H,0.5,1.0,0,1, 0-1,D,,,,,O,1.6,2.2,,N,13,19,11,26,20,5,13,6,0.5,0,51.6,0.06,0,0.08,0
IT,15/04/2024,Genoa,Fiorentina,A,1.3,1.5,1,1, 1-1,N,,,,,O,0.6,2.4,,O,12,21,5,8,16,3,5,0,0.9,0,57.7,0.15,0,0.06,0
IT,7/04/2024,Genoa,Verona,A,2.2,1.3,2,1, 2-1,V,,,,,O,1.3,2.7,,O,17,26,7,18,24,4,12,1,0.4,0,44.4,0.14,0,0.04,0
IT,30/03/2024,Genoa,Frosinone,H,1.5,0.8,1,1, 1-1,N,,,,,O,0.6,1.2,,O,17,32,5,10,18,5,14,3,0.7,0,53.8,0.05,0,0.08,0
IT,17/03/2024,Genoa,Juventus,A,0.2,1.0,0,0, 0-0,N,Rouge 2,,,,O,0.3,2.2,,,10,29,4,12,16,1,11,2,0.7,0,52.6,0.1,0,0.05,0
