Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
ES,26/05/2024,Getafe,Mallorca,H,0.9,1.4,1,2, 1-2,D,,O,,O,,1.2,2.1,N,,30,19,4,12,44,6,12,2,1.3,0,20.0,0.0,0,0.28,1
ES,18/05/2024,Getafe,Alaves,A,0.3,1.2,0,1, 0-1,D,,O,,,,0.7,2.2,,N,18,20,7,14,24,4,6,5,0.3,0,28.2,0.05,0,0.17,1
ES,15/05/2024,Getafe,Atletico Madrid,H,0.6,1.3,0,3, 0-3,D,,O,,,,1.1,1.2,,N,15,21,12,21,39,9,12,1,1.7,0,38.1,0.05,0,0.0,0
ES,12/05/2024,Getafe,Cadiz,A,0.5,1.5,0,1, 0-1,D,,O,,,,1.0,1.7,,,16,29,8,19,25,3,20,4,1.4,0,57.7,0.01,0,0.11,0
ES,3/05/2024,Getafe,Athletic Club,H,4.5,0.6,0,2, 0-2,D,Rouge 2,O,,,,6.4,1.2,,N,63,31,11,16,66,17,22,7,1.2,0,58.3,0.1,0,0.04,0
ES,27/04/2024,Getafe,Almeria,A,1.7,2.4,3,1, 3-1,V,Rouge 2,O,,,,1.6,1.7,O,,14,24,3,8,16,4,12,3,1.9,0,37.5,0.02,0,0.19,0
ES,21/04/2024,Getafe,Real Sociedad,H,0.5,1.2,1,1, 1-1,N,,O,,,,0.7,1.1,,O,7,27,10,20,22,7,9,0,0.8,0,53.7,0.0,0,0.0,0
ES,13/04/2024,Getafe,Rayo Vallecano,A,0.3,1.0,0,0, 0-0,N,,O,,,,0.3,1.5,,,13,26,7,13,17,3,6,0,0.8,0,40.0,0.01,0,0.08,0
ES,30/03/2024,Getafe,Sevilla,H,1.6,0.8,0,1, 0-1,D,,O,,,,1.8,0.3,,N,30,25,10,21,39,7,20,2,1.0,0,45.5,0.17,0,0.03,0
ES,16/03/2024,Getafe,Girona,H,1.2,1.8,1,0, 1-0,V,,O,,,,2.1,3.6,O,,22,27,6,18,28,7,5,2,0.9,0,40.7,0.0,0,0.14,0
ES,9/03/2024,Getafe,Valencia,A,1.3,0.8,0,1, 0-1,D,,O,O,O,,2.0,1.8,,N,24,30,10,20,27,7,10,2,0.8,0,70.5,0.02,0,0.01,0
ES,2/03/2024,Getafe,Las Palmas,H,2.3,1.6,3,3, 3-3,N,,,,,,2.8,2.8,N,,27,22,6,10,26,5,12,6,1.9,0,66.7,0.07,0,0.0,0
ES,24/02/2024,Getafe,Barcelona,A,0.5,3.1,0,4, 0-4,D,,,,,,0.6,4.2,,N,14,33,2,8,26,8,9,4,2.9,0,27.8,0.0,0,0.36,0
ES,16/02/2024,Getafe,Villarreal,A,0.8,1.2,1,1, 1-1,N,,,,,,0.9,1.6,N,,20,16,7,13,22,3,11,2,2.4,0,46.3,0.21,0,0.06,0
