Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
ES,24/05/2024,Girona,Granada,H,4.6,1.0,7,0, 7-0,V,Rouge 2,,,,,6.2,1.9,O,,30,19,14,20,80,14,30,8,0.2,0,57.1,0.0,0,0.01,0
ES,19/05/2024,Girona,Valencia,A,2.6,3.2,3,1, 3-1,V,,,,,,3.2,3.2,O,,32,18,14,19,50,9,18,4,2.1,1,70.6,0.09,0,0.02,0
ES,14/05/2024,Girona,Villarreal,H,1.6,0.6,0,1, 0-1,D,,,,,,3.0,0.5,,N,40,19,5,13,87,21,39,10,1.1,1,60.0,0.29,0,0.0,0
ES,10/05/2024,Girona,Alaves,A,1.7,1.7,2,2, 2-2,N,,,,,,2.6,3.2,N,,27,18,5,16,39,5,28,11,2.4,0,34.8,0.11,1,0.24,0
ES,4/05/2024,Girona,Barcelona,H,1.8,2.6,4,2, 4-2,V,,,,,,3.9,3.1,,O,16,19,6,18,28,10,18,11,2.0,1,33.3,0.0,0,0.26,0
ES,27/04/2024,Girona,Las Palmas,A,1.9,1.6,2,0, 2-0,V,,,,,,0.6,1.5,O,,8,28,7,13,22,3,8,2,1.6,0,56.3,0.07,0,0.0,0
ES,20/04/2024,Girona,Cadiz,H,2.1,1.6,4,1, 4-1,V,,,,,,2.7,2.6,O,,18,17,13,31,50,11,30,7,1.4,0,66.7,0.0,0,0.05,0
ES,13/04/2024,Girona,Atletico Madrid,A,2.4,2.3,1,3, 1-3,D,,,,,,3.8,2.4,N,,21,18,14,22,41,14,28,2,2.6,1,69.2,0.0,0,0.07,0
ES,31/03/2024,Girona,Real Betis,H,2.6,0.5,3,2, 3-2,V,,O,O,,,1.9,1.1,,O,14,16,7,20,48,8,13,4,0.5,2,52.6,0.0,0,0.01,0
ES,16/03/2024,Girona,Getafe,A,1.8,1.2,0,1, 0-1,D,,,O,,,3.6,2.1,,N,25,20,15,28,38,7,27,9,1.4,0,59.3,0.14,0,0.0,0
ES,9/03/2024,Girona,Osasuna,H,1.9,0.2,2,0, 2-0,V,,,O,,,3.1,0.9,O,,22,26,10,19,42,5,26,10,0.2,1,30.8,0.1,0,0.07,0
ES,3/03/2024,Girona,Mallorca,A,1.0,1.2,0,1, 0-1,D,,,O,,,1.6,1.5,,N,27,19,11,21,47,10,25,7,0.3,1,41.4,0.12,0,0.09,0
ES,26/02/2024,Girona,Rayo Vallecano,H,2.2,0.5,3,0, 3-0,V,Rouge 2,,,,,3.6,1.2,O,,26,25,13,24,47,8,44,10,0.4,0,62.5,0.13,0,0.0,0
ES,19/02/2024,Girona,Athletic Club,A,2.1,1.8,2,3, 2-3,D,,,,,,3.3,1.3,,N,21,18,6,17,44,8,17,2,2.9,4,43.8,0.73,1,0.05,0
ES,10/02/2024,Girona,Real Madrid,A,0.3,3.2,0,4, 0-4,D,,,O,,,0.6,2.2,,N,8,18,5,9,57,10,41,8,1.9,1,42.9,0.0,0,0.0,0
ES,3/02/2024,Girona,Real Sociedad,H,0.7,0.6,0,0, 0-0,N,,,,,O,1.2,0.9,,,19,26,9,20,27,8,14,2,0.2,1,48.4,0.04,0,0.11,0
ES,28/01/2024,Girona,Celta Vigo,A,0.9,0.6,1,0, 1-0,V,,,,,,1.5,1.7,O,,26,27,20,32,35,5,23,7,1.6,1,46.2,0.13,0,0.07,0
ES,21/01/2024,Girona,Sevilla,H,2.3,0.7,5,1, 5-1,V,,,,O,,4.5,0.8,,O,22,32,9,23,36,11,25,5,1.1,0,61.5,0.06,0,0.03,0
ES,14/01/2024,Girona,Almeria,A,0.3,1.7,0,0, 0-0,N,,,O,,,0.5,3.0,,,10,21,7,19,45,7,20,7,0.7,0,40.9,0.0,0,0.04,0
ES,3/01/2024,Girona,Atletico Madrid,H,2.3,2.3,4,3, 4-3,V,,,O,,,3.6,3.5,O,,31,19,16,30,37,8,28,8,2.6,1,56.3,0.07,0,0.0,0
ES,21/12/2023,Girona,Real Betis,A,1.7,1.5,1,1, 1-1,N,,,O,,,1.7,2.0,,O,22,25,11,28,46,10,23,8,0.7,1,47.1,0.05,0,0.02,0
ES,18/12/2023,Girona,Alaves,H,1.7,0.7,3,0, 3-0,V,,,O,,,1.6,1.3,O,,17,13,8,22,41,9,24,4,0.5,0,46.7,0.0,0,0.09,0
ES,10/12/2023,Girona,Barcelona,A,2.5,3.7,4,2, 4-2,V,,,O,,,4.1,7.7,O,,26,24,14,24,36,11,16,6,3.5,0,25.0,0.06,0,0.26,1
ES,2/12/2023,Girona,Valencia,H,1.6,1.0,2,1, 2-1,V,,,O,,,2.7,0.6,,O,17,18,4,13,80,15,28,6,0.5,1,52.2,0.0,0,0.21,0
ES,27/11/2023,Girona,Athletic Club,H,1.3,1.5,1,1, 1-1,N,,,,,O,1.8,2.3,N,,23,33,12,26,47,11,16,5,1.2,0,50.0,0.03,0,0.08,0
ES,11/11/2023,Girona,Rayo Vallecano,A,4.5,1.7,2,1, 2-1,V,,,,,,7.9,3.1,,O,32,27,8,15,61,16,29,7,2.2,3,53.8,0.06,0,0.42,0
