Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
ES,24/05/2024,Granada,Girona,A,1.0,4.6,0,7, 0-7,D,Rouge 1,O,,O,,1.9,6.2,,N,19,25,7,13,19,9,13,2,5.8,0,42.9,0.01,0,0.0,0
ES,19/05/2024,Granada,Celta Vigo,H,1.9,1.7,1,2, 1-2,D,,O,,,,1.8,3.4,,N,18,29,6,19,29,5,9,5,2.8,0,50.0,0.06,0,0.08,0
ES,15/05/2024,Granada,Rayo Vallecano,A,1.2,2.5,1,2, 1-2,D,Rouge 2,O,,O,,2.3,1.9,,N,19,27,9,15,44,7,21,3,3.5,2,59.4,0.19,0,0.12,0
ES,11/05/2024,Granada,Real Madrid,H,1.0,1.5,0,4, 0-4,D,,O,,,,2.0,1.8,,N,24,28,3,8,43,10,16,6,1.9,2,40.0,0.18,0,0.25,0
ES,5/05/2024,Granada,Sevilla,A,0.4,1.7,0,3, 0-3,D,,O,,,,0.6,2.7,,N,15,25,5,8,25,4,11,2,2.3,0,38.9,0.0,0,0.06,0
ES,28/04/2024,Granada,Osasuna,H,2.6,0.8,3,0, 3-0,V,,O,,,,3.6,1.3,O,,21,24,6,13,35,11,18,5,0.9,1,48.6,0.0,0,0.0,0
ES,19/04/2024,Granada,Athletic Club,A,0.2,1.5,1,1, 1-1,N,,O,,,O,0.3,1.9,,O,10,43,4,13,23,7,8,1,1.0,1,45.7,0.03,0,0.31,0
ES,14/04/2024,Granada,Alaves,H,1.3,0.3,2,0, 2-0,V,,O,,,,0.9,0.7,O,,14,35,8,17,19,8,8,2,0.5,0,44.7,0.0,0,0.0,0
ES,4/04/2024,Granada,Valencia,H,0.6,0.4,0,1, 0-1,D,,O,,,,1.5,0.4,,N,23,12,6,11,35,7,10,2,0.4,0,54.8,0.05,0,0.03,0
ES,29/03/2024,Granada,Cadiz,A,0.5,1.6,0,1, 0-1,D,,O,,,,0.7,2.4,,N,19,30,9,20,22,7,5,1,1.8,0,30.0,0.09,0,0.08,0
ES,16/03/2024,Granada,Mallorca,A,0.4,1.6,0,1, 0-1,D,,O,,,,1.1,2.5,,N,16,26,7,14,18,4,5,1,0.9,0,35.6,0.11,0,0.13,1
ES,9/03/2024,Granada,Real Sociedad,H,1.7,2.1,2,3, 2-3,D,,O,,,,1.0,2.8,N,,24,24,3,11,17,4,10,1,1.9,0,34.7,0.13,0,0.05,0
ES,3/03/2024,Granada,Villarreal,A,0.5,2.0,1,5, 1-5,D,,O,,,,1.0,3.0,,N,11,34,5,11,38,11,16,1,2.8,0,50.0,0.0,0,0.38,2
ES,18/02/2024,Granada,Almeria,H,2.0,1.4,1,1, 1-1,N,,O,,O,,2.7,1.4,,O,35,26,8,14,45,9,14,3,0.3,1,52.6,0.92,0,0.08,0
ES,11/02/2024,Granada,Barcelona,A,1.4,2.3,3,3, 3-3,N,,O,O,O,,2.5,3.8,,O,19,27,5,9,19,7,10,2,1.9,0,31.8,0.06,0,0.06,0
ES,3/02/2024,Granada,Las Palmas,H,0.1,1.0,1,1, 1-1,N,Rouge 2,O,O,,,0.4,1.6,N,,6,30,8,14,15,2,11,2,1.1,1,50.0,0.09,1,0.2,0
ES,29/01/2024,Granada,Getafe,A,1.9,1.3,0,2, 0-2,D,,,O,,O,1.5,0.6,,N,24,16,3,14,30,8,27,3,0.9,1,51.2,0.26,0,0.01,0
ES,22/01/2024,Granada,Atletico Madrid,H,0.6,1.2,0,1, 0-1,D,,,,,O,1.4,1.1,,N,27,19,10,16,46,11,13,1,1.8,1,52.6,0.11,0,0.0,0
ES,13/01/2024,Granada,Real Betis,A,0.5,1.8,0,1, 0-1,D,,,,,O,0.6,3.2,,N,12,32,6,18,21,2,12,2,1.9,0,44.0,0.17,0,0.04,0
ES,3/01/2024,Granada,Cadiz,H,3.0,0.8,2,0, 2-0,V,Rouge 2,,,,O,4.8,1.1,O,,29,20,10,19,34,13,15,3,0.4,0,60.7,0.3,0,0.09,0
ES,19/12/2023,Granada,Sevilla,H,0.9,0.5,0,3, 0-3,D,,,,O,O,1.8,1.0,,N,22,24,9,21,34,10,17,2,1.4,0,44.4,0.13,0,0.14,1
ES,16/12/2023,Granada,Celta Vigo,A,0.5,1.4,0,1, 0-1,D,,,,O,O,1.1,1.6,,N,12,19,5,19,37,6,15,3,1.1,1,45.2,0.2,0,0.33,0
ES,11/12/2023,Granada,Athletic Club,H,0.7,1.1,1,1, 1-1,N,,,,O,O,0.9,1.6,,O,12,28,8,21,15,5,11,4,0.6,3,52.6,0.0,0,0.14,0
ES,2/12/2023,Granada,Real Madrid,A,0.1,1.8,0,2, 0-2,D,,,,O,O,0.1,2.8,,N,4,15,11,17,11,1,7,4,1.8,0,37.5,0.0,0,0.0,0
ES,24/11/2023,Granada,Alaves,A,1.1,0.8,1,3, 1-3,D,,O,,O,O,0.8,1.1,,N,21,32,14,27,38,7,20,2,1.4,1,66.7,0.02,0,0.0,0
ES,11/11/2023,Granada,Getafe,H,1.7,2.3,1,1, 1-1,N,,,,O,O,2.1,2.7,,O,19,20,13,29,35,9,20,3,2.2,1,57.6,0.0,0,0.22,0
ES,5/11/2023,Granada,Valencia,A,0.5,1.2,0,1, 0-1,D,,,,O,O,0.8,0.6,,,9,26,9,24,25,3,8,2,1.1,0,54.2,0.04,0,0.0,0
ES,30/10/2023,Granada,Villarreal,H,2.1,1.6,2,3, 2-3,D,,,O,O,O,3.8,1.5,,N,32,28,15,23,31,15,26,7,2.7,1,54.5,0.04,0,0.0,0
ES,20/10/2023,Granada,Osasuna,A,0.6,2.1,0,2, 0-2,D,Rouge 1,,,O,O,1.4,2.2,,N,24,23,8,14,25,9,11,4,2.2,0,37.9,0.06,0,0.0,0
ES,8/10/2023,Granada,Barcelona,H,0.8,3.0,2,2, 2-2,N,,,,O,O,0.9,4.0,N,,12,23,7,19,11,2,9,3,3.6,0,29.4,0.28,0,0.19,0
ES,1/10/2023,Granada,Almeria,A,2.9,2.9,3,3, 3-3,N,,,,O,O,2.7,3.7,,O,33,15,16,25,34,7,17,8,3.2,2,45.2,0.06,0,0.07,0
ES,28/09/2023,Granada,Real Betis,H,1.8,0.9,1,1, 1-1,N,,,,O,O,3.3,1.6,,O,33,15,13,26,29,8,20,8,0.6,1,45.5,0.21,0,0.46,0
ES,24/09/2023,Granada,Las Palmas,A,0.0,0.6,0,1, 0-1,D,Rouge 2,O,,O,O,0.9,1.0,,N,3,20,7,21,20,2,9,3,0.5,0,47.4,0.0,0,0.04,0
ES,18/09/2023,Granada,Girona,H,1.6,2.8,2,4, 2-4,D,,,,O,O,2.4,3.4,,N,22,24,7,25,24,8,12,1,2.8,2,81.0,0.06,0,0.04,0
