Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
AL,18/05/2024,Heidenheim,Köln,H,1.0,2.3,4,1, 4-1,V,,,,,O,1.5,4.2,O,,30,17,15,29,31,7,16,2,2.7,0,54.5,0.13,0,0.2,0
AL,11/05/2024,Heidenheim,Freiburg,A,0.7,1.5,1,1, 1-1,N,,,O,,O,1.2,2.3,,O,16,25,3,11,21,4,13,4,1.2,0,35.7,0.13,0,0.1,0
AL,5/05/2024,Heidenheim,Mainz 05,H,0.9,1.4,1,1, 1-1,N,,,,,O,1.2,2.6,,O,28,24,3,14,34,7,27,4,1.0,0,53.2,0.04,0,0.09,0
AL,28/04/2024,Heidenheim,Darmstadt,A,1.6,0.7,1,0, 1-0,V,,,,,O,3.1,1.1,O,,29,18,3,17,34,10,17,4,0.6,0,53.1,0.1,0,0.14,0
AL,20/04/2024,Heidenheim,RB Leipzig,H,1.0,1.8,1,2, 1-2,D,,,,,O,1.9,3.4,,N,18,34,3,11,24,7,14,1,1.1,1,58.3,0.0,0,0.05,0
AL,13/04/2024,Heidenheim,Bochum,A,1.1,1.2,1,1, 1-1,N,,,,,O,1.7,1.5,,O,22,24,9,15,19,4,15,4,0.3,0,71.4,0.25,0,0.12,1
AL,6/04/2024,Heidenheim,Bayern Munich,H,1.4,1.9,3,2, 3-2,V,,,,,O,2.7,3.8,,O,14,26,10,17,17,8,10,3,3.6,0,51.7,0.03,0,0.04,0
AL,31/03/2024,Heidenheim,Stuttgart,A,1.3,3.0,3,3, 3-3,N,,,,,O,2.7,4.5,,O,12,38,7,15,19,3,11,3,3.0,0,60.0,0.18,0,0.19,0
AL,16/03/2024,Heidenheim,Mönchengladbach,H,1.1,0.5,1,1, 1-1,N,,,,,O,2.4,0.9,,O,34,30,4,14,47,15,25,2,0.9,0,51.6,0.41,0,0.0,0
AL,9/03/2024,Heidenheim,Augsburg,A,0.4,0.5,0,1, 0-1,D,,,,,O,0.8,0.9,,N,12,28,6,9,17,2,13,2,0.5,0,41.1,0.0,0,0.15,1
AL,2/03/2024,Heidenheim,Eintracht Frankfurt,H,1.0,1.2,1,2, 1-2,D,,O,,,O,1.8,0.6,,N,26,18,10,14,48,6,23,5,0.9,0,58.7,0.18,0,0.23,0
AL,24/02/2024,Heidenheim,Union Berlin,A,1.1,1.1,2,2, 2-2,N,,,,,O,0.7,1.7,N,,14,27,6,12,28,6,20,0,0.7,0,53.3,0.06,0,0.22,0
AL,17/02/2024,Heidenheim,Bayer Leverkusen,H,0.4,1.9,1,2, 1-2,D,,,,,O,1.1,3.4,,N,11,29,9,18,31,6,7,3,1.2,0,63.3,0.0,0,0.15,0
AL,10/02/2024,Heidenheim,Werder Bremen,A,1.8,1.7,2,1, 2-1,V,,,,,O,2.0,2.9,O,,15,27,0,6,26,7,16,3,1.1,1,63.4,0.25,1,0.16,0
AL,2/02/2024,Heidenheim,Dortmund,H,1.2,0.6,0,0, 0-0,N,,,,,O,1.2,2.0,,,17,50,5,15,29,6,16,0,0.3,0,66.7,0.36,0,0.03,0
AL,27/01/2024,Heidenheim,Hoffenheim,A,1.1,2.8,1,1, 1-1,N,,,,,O,1.9,4.1,N,,23,23,13,28,20,5,18,3,2.7,1,34.7,0.05,0,0.13,0
AL,20/01/2024,Heidenheim,Wolfsburg,H,1.1,1.1,1,1, 1-1,N,,,,,O,2.6,2.0,,O,20,29,9,22,43,9,20,1,1.1,0,50.0,0.1,0,0.02,0
AL,13/01/2024,Heidenheim,Köln,A,0.9,0.9,1,1, 1-1,N,,,,,O,1.0,1.9,,O,16,28,5,17,23,4,6,3,0.7,0,45.2,0.06,1,0.18,0
AL,20/12/2023,Heidenheim,Freiburg,H,1.9,1.8,3,2, 3-2,V,,O,,,O,3.0,1.6,,O,24,23,2,10,39,11,19,4,1.8,0,55.6,0.18,0,0.02,0
AL,16/12/2023,Heidenheim,Mainz 05,A,0.5,1.6,1,0, 1-0,V,,,,,O,1.1,2.7,O,,12,27,5,13,19,2,8,4,0.2,0,58.9,0.01,0,0.31,0
AL,9/12/2023,Heidenheim,Darmstadt,H,1.4,0.9,3,2, 3-2,V,,,,,O,2.7,1.6,O,,26,24,5,19,27,7,14,2,1.6,0,40.7,0.63,3,0.02,0
AL,2/12/2023,Heidenheim,RB Leipzig,A,1.0,4.0,1,2, 1-2,D,,,,,O,1.7,5.1,,N,12,28,6,11,24,2,4,1,3.7,0,61.5,0.0,0,0.03,0
AL,26/11/2023,Heidenheim,Bochum,H,0.8,0.4,0,0, 0-0,N,,,,,O,0.8,0.8,,,14,16,10,22,28,2,14,3,0.7,0,45.7,0.11,0,0.0,0
AL,11/11/2023,Heidenheim,Bayern Munich,A,0.9,2.0,2,4, 2-4,D,,,,,O,1.0,5.3,,N,14,36,6,16,17,4,17,3,2.1,0,64.3,0.11,0,0.13,1
AL,5/11/2023,Heidenheim,Stuttgart,H,1.2,2.6,2,0, 2-0,V,,,,,O,1.0,4.4,O,,28,27,7,15,14,2,10,2,0.2,0,53.8,0.36,1,0.0,0
AL,28/10/2023,Heidenheim,Mönchengladbach,A,0.4,1.0,1,2, 1-2,D,,,,,O,0.9,1.9,,N,17,22,6,15,49,9,13,1,1.0,0,44.7,0.03,0,0.28,0
AL,22/10/2023,Heidenheim,Augsburg,H,1.5,2.5,2,5, 2-5,D,,,,,O,2.2,1.9,N,,22,18,7,13,52,7,17,1,3.1,0,59.0,0.29,0,0.46,2
AL,8/10/2023,Heidenheim,Eintracht Frankfurt,A,1.2,1.9,0,2, 0-2,D,,,,,O,1.8,2.1,,N,10,30,4,18,31,10,9,1,0.8,0,63.0,0.45,0,0.01,0
AL,30/09/2023,Heidenheim,Union Berlin,H,0.8,2.2,1,0, 1-0,V,,,,,O,1.2,2.7,O,,16,25,4,8,22,1,17,5,1.6,0,46.2,0.04,0,0.14,0
AL,24/09/2023,Heidenheim,Bayer Leverkusen,A,0.5,3.4,1,4, 1-4,D,,,,,O,0.5,4.1,,N,4,30,4,10,15,1,10,2,3.8,0,30.0,0.0,0,0.0,0
AL,17/09/2023,Heidenheim,Werder Bremen,H,2.2,3.0,4,2, 4-2,V,,,,,O,1.8,4.2,O,,32,26,7,17,26,4,18,3,1.9,0,66.0,0.15,0,0.0,0
AL,1/09/2023,Heidenheim,Dortmund,A,2.1,3.4,2,2, 2-2,N,,,,,O,1.3,4.5,,O,23,21,11,15,36,4,18,6,2.4,0,55.0,0.03,0,0.0,0
AL,26/08/2023,Heidenheim,Hoffenheim,H,2.4,3.0,2,3, 2-3,D,,,,,O,2.8,2.6,N,,33,22,6,15,32,10,18,3,2.3,0,41.7,0.43,1,0.18,0
AL,19/08/2023,Heidenheim,Wolfsburg,A,1.2,2.2,0,2, 0-2,D,,O,,,O,2.4,2.2,,N,22,33,13,29,41,9,17,2,2.4,2,53.8,0.16,0,0.0,0
