Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
AL,18/05/2024,Hoffenheim,Bayern Munich,H,1.8,1.5,4,2, 4-2,V,,,,,O,3.9,3.1,,O,27,31,15,21,42,10,20,5,2.0,0,55.0,0.06,0,0.03,0
AL,12/05/2024,Hoffenheim,Darmstadt,A,3.3,0.6,6,0, 6-0,V,,,,,O,5.5,1.4,O,,21,26,6,13,53,8,12,2,0.0,0,29.4,0.7,1,0.0,0
AL,3/05/2024,Hoffenheim,RB Leipzig,H,1.6,0.8,1,1, 1-1,N,Rouge 2,,,,O,2.9,1.5,,O,40,23,12,20,61,17,22,3,1.9,0,47.6,0.01,0,0.02,0
AL,26/04/2024,Hoffenheim,Bochum,A,1.0,3.2,2,3, 2-3,D,,,,,,2.0,4.1,,N,18,28,3,9,19,4,14,5,3.2,1,46.0,0.14,0,0.64,0
AL,20/04/2024,Hoffenheim,Mönchengladbach,H,2.3,1.0,4,3, 4-3,V,,,O,,,4.1,2.1,O,,50,19,12,21,50,13,38,10,1.3,1,52.8,0.2,0,0.04,0
AL,13/04/2024,Hoffenheim,Mainz 05,A,0.5,2.1,1,4, 1-4,D,,,,,,1.0,2.8,N,,10,28,3,8,30,3,14,1,2.8,0,45.5,0.0,0,0.3,0
AL,7/04/2024,Hoffenheim,Augsburg,H,1.8,1.2,3,1, 3-1,V,,,,,,3.3,2.2,O,,31,26,3,17,41,10,14,5,1.0,2,52.6,0.11,0,0.03,0
AL,30/03/2024,Hoffenheim,Bayer Leverkusen,A,0.8,3.1,1,2, 1-2,D,,,,,,1.8,6.8,N,,12,27,1,5,25,5,12,2,2.2,0,33.3,0.0,0,0.07,0
AL,16/03/2024,Hoffenheim,Stuttgart,H,0.5,3.7,0,3, 0-3,D,,,,,,0.8,6.4,,N,12,28,7,20,35,4,16,5,3.6,1,42.9,0.05,0,0.12,0
AL,10/03/2024,Hoffenheim,Eintracht Frankfurt,A,0.6,2.4,1,3, 1-3,D,Rouge 1,,,,O,0.6,4.4,N,,10,31,8,26,20,3,9,5,2.7,1,63.0,0.3,1,0.02,0
AL,3/03/2024,Hoffenheim,Werder Bremen,H,1.7,1.3,2,1, 2-1,V,Rouge 1,O,,,,3.3,2.1,O,,28,22,4,13,35,15,13,4,0.4,0,34.4,0.04,1,0.06,0
AL,25/02/2024,Hoffenheim,Dortmund,A,1.3,1.9,3,2, 3-2,V,,,,,O,1.7,4.0,O,,14,30,2,9,28,3,10,2,2.2,0,47.8,0.28,0,0.6,1
AL,17/02/2024,Hoffenheim,Union Berlin,H,1.0,1.4,0,1, 0-1,D,Rouge 2,,,,,2.3,1.6,,N,32,28,6,12,66,16,15,6,1.5,0,54.8,0.04,0,0.01,0
AL,11/02/2024,Hoffenheim,Köln,H,1.2,0.1,1,1, 1-1,N,,,,,,2.1,0.2,N,,19,26,7,18,51,10,11,2,0.2,0,55.3,0.02,0,0.0,0
AL,4/02/2024,Hoffenheim,Wolfsburg,A,1.7,1.7,2,2, 2-2,N,,,,,,3.3,2.8,N,,30,23,10,15,46,14,20,7,2.5,0,57.5,0.08,0,0.0,0
AL,27/01/2024,Hoffenheim,Heidenheim,H,2.8,1.1,1,1, 1-1,N,,,,,,4.1,1.9,,O,37,29,10,18,64,14,23,6,1.3,1,65.3,0.13,0,0.05,0
AL,20/01/2024,Hoffenheim,Freiburg,A,1.4,2.7,2,3, 2-3,D,,,,,,2.5,4.4,,N,30,20,9,18,42,13,19,6,4.2,1,44.4,0.07,0,0.08,0
AL,12/01/2024,Hoffenheim,Bayern Munich,A,1.2,2.8,0,3, 0-3,D,Rouge 1,,,,,1.9,5.3,,N,20,40,5,17,26,7,11,1,3.5,0,47.8,0.0,0,0.0,0
AL,19/12/2023,Hoffenheim,Darmstadt,H,3.5,0.8,3,3, 3-3,N,,,,O,O,4.2,1.6,,O,26,20,6,13,29,7,14,6,1.4,1,52.0,0.22,0,0.03,0
AL,16/12/2023,Hoffenheim,RB Leipzig,A,0.8,2.8,1,3, 1-3,D,,,,,O,1.6,4.0,,N,16,26,1,8,39,7,11,4,2.8,0,37.5,0.22,0,0.08,0
