Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
IT,26/05/2024,Inter,Verona,A,2.4,1.7,2,2, 2-2,N,,O,,,,2.4,2.4,N,,25,20,6,10,28,11,12,1,0.5,1,76.9,0.03,0,0.19,0
IT,19/05/2024,Inter,Lazio,H,1.4,0.6,1,1, 1-1,N,,,,,,2.3,1.1,,O,36,26,6,13,52,20,21,2,0.4,1,60.9,0.29,1,0.0,0
IT,10/05/2024,Inter,Frosinone,A,1.8,1.3,5,0, 5-0,V,,,O,,,2.6,1.5,O,,24,23,2,3,35,6,23,6,1.4,0,63.2,0.35,0,0.0,0
IT,4/05/2024,Inter,Sassuolo,A,1.1,0.3,0,1, 0-1,D,,,O,O,O,2.2,0.3,,N,27,14,0,5,55,13,17,1,0.5,1,54.5,0.0,0,0.02,0
IT,28/04/2024,Inter,Torino,H,1.7,0.5,2,0, 2-0,V,Rouge 2,,,,O,2.0,1.1,O,,32,19,8,9,39,14,18,4,0.1,0,64.7,0.0,0,0.0,0
IT,22/04/2024,Inter,Milan,A,2.0,2.2,2,1, 2-1,V,Rouge 2,,,,,3.1,2.6,O,,19,20,3,10,25,7,17,1,2.3,1,56.3,0.08,0,0.03,0
IT,14/04/2024,Inter,Cagliari,H,2.0,1.1,2,2, 2-2,N,,O,,,,2.8,1.3,N,,27,19,5,10,62,13,33,3,1.7,0,50.0,0.0,0,0.0,0
IT,8/04/2024,Inter,Udinese,A,3.3,0.1,2,1, 2-1,V,,,,,,3.5,0.3,,O,43,20,5,10,59,18,25,1,0.6,0,40.0,0.23,0,0.0,0
IT,1/04/2024,Inter,Empoli,H,2.1,0.5,2,0, 2-0,V,,,,,,3.8,1.0,O,,38,17,9,17,54,16,19,6,0.3,0,59.1,0.0,0,0.07,0
IT,17/03/2024,Inter,Napoli,H,1.6,1.4,1,1, 1-1,N,,,,,,2.4,1.2,N,,27,22,3,9,29,7,12,4,1.0,0,69.2,0.18,0,0.04,0
C1,13/03/2024,Inter,Atletico Madrid,A,1.6,2.7,1,2, 1-2,D,,,,,,2.6,3.3,N,,22,18,4,14,54,8,25,4,2.8,1,58.3,0.14,0,0.05,0
