Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
IT,25/05/2024,Juventus,Monza,H,0.9,0.6,2,0, 2-0,V,,O,O,,,1.6,1.4,O,,23,25,5,18,16,1,18,8,0.5,0,37.5,0.17,1,0.02,0
IT,20/05/2024,Juventus,Bologna,A,0.7,1.4,3,3, 3-3,N,,,,,,0.7,1.3,,O,18,20,8,16,33,6,12,3,1.5,1,37.5,0.05,0,0.0,0
IT,12/05/2024,Juventus,Salernitana,H,2.3,0.8,1,1, 1-1,N,,,,O,,4.3,1.1,N,,47,17,4,18,79,15,25,5,1.3,0,54.1,0.53,0,0.12,1
IT,5/05/2024,Juventus,Roma,A,1.2,1.7,1,1, 1-1,N,,,,,,2.0,2.3,,O,30,17,9,19,39,9,25,6,1.0,0,55.6,0.42,0,0.03,0
IT,27/04/2024,Juventus,Milan,H,1.4,0.3,0,0, 0-0,N,,,,,,1.6,1.0,,,29,30,8,15,52,13,27,5,0.0,0,29.2,0.12,0,0.1,0
IT,19/04/2024,Juventus,Cagliari,A,0.7,2.2,2,2, 2-2,N,,,,,,1.3,0.8,N,,21,19,7,16,71,13,23,0,2.4,0,46.2,0.03,0,0.07,0
IT,13/04/2024,Juventus,Torino,A,1.2,0.6,0,0, 0-0,N,,,,,,2.0,1.4,,,16,13,5,12,27,5,15,2,0.2,0,50.0,0.02,0,0.0,0
IT,7/04/2024,Juventus,Fiorentina,H,1.9,0.5,1,0, 1-0,V,,,,,,0.4,0.9,O,,10,19,1,9,8,0,9,5,0.6,0,54.5,0.07,0,0.01,0
IT,30/03/2024,Juventus,Lazio,A,0.5,1.1,0,1, 0-1,D,,,,,,1.0,2.0,,N,18,20,6,15,26,3,9,3,1.2,1,66.7,0.12,0,0.2,0
IT,17/03/2024,Juventus,Genoa,H,1.0,0.2,0,0, 0-0,N,Rouge 1,,,,,2.2,0.3,,,30,27,9,14,65,14,28,7,0.2,0,47.4,0.05,0,0.1,0
IT,10/03/2024,Juventus,Atalanta,H,1.3,0.5,2,2, 2-2,N,,O,,,,2.3,1.1,,O,36,34,8,16,42,9,22,6,0.4,0,42.9,0.0,0,0.09,1
IT,3/03/2024,Juventus,Napoli,A,1.6,2.1,1,2, 1-2,D,,O,,O,,2.6,1.4,,N,30,21,9,15,28,10,13,3,2.5,0,46.2,0.0,0,0.0,0
IT,25/02/2024,Juventus,Frosinone,H,2.0,0.4,3,2, 3-2,V,,,,O,,3.1,0.8,O,,34,22,6,14,62,15,15,2,0.7,0,84.2,0.24,0,0.0,0
IT,17/02/2024,Juventus,Verona,A,1.8,0.6,2,2, 2-2,N,,,O,,,2.0,0.9,,O,30,21,7,17,44,9,16,4,1.1,1,47.6,0.13,0,0.15,0
IT,12/02/2024,Juventus,Udinese,H,1.7,0.7,0,1, 0-1,D,,,,O,,3.5,0.5,,N,27,21,8,28,86,7,31,9,1.0,0,42.3,0.05,0,0.15,0
IT,4/02/2024,Juventus,Inter,A,0.6,1.7,0,1, 0-1,D,,,,,,1.1,3.3,,,23,16,7,14,31,2,21,5,1.7,0,50.0,0.04,0,0.13,0
IT,27/01/2024,Juventus,Empoli,H,0.8,0.8,1,1, 1-1,N,Rouge 1,O,,O,O,1.1,1.4,N,,15,20,7,17,32,3,17,8,1.4,0,45.0,0.13,0,0.12,0
IT,21/01/2024,Juventus,Lecce,A,2.1,0.6,3,0, 3-0,V,,O,,,O,3.5,1.2,O,,27,23,8,13,41,14,16,2,0.9,0,57.7,0.3,1,0.0,0
IT,16/01/2024,Juventus,Sassuolo,H,1.2,0.3,3,0, 3-0,V,,,,,,1.5,0.6,O,,22,28,3,15,28,4,18,5,0.3,0,65.4,0.0,0,0.0,0
IT,7/01/2024,Juventus,Salernitana,A,2.0,0.8,2,1, 2-1,V,Rouge 2,,,,O,3.6,1.3,,O,33,18,6,11,66,16,22,3,1.0,0,47.1,0.24,0,0.03,0
IT,30/12/2023,Juventus,Roma,H,1.1,0.5,1,0, 1-0,V,,,,,,1.9,1.0,O,,24,11,5,9,34,4,14,6,0.4,0,52.9,0.09,0,0.07,0
IT,23/12/2023,Juventus,Frosinone,A,1.1,0.5,2,1, 2-1,V,,,,,O,2.0,0.7,O,,19,32,5,9,29,7,19,9,0.7,0,55.6,0.4,0,0.01,0
IT,15/12/2023,Juventus,Genoa,A,1.7,0.8,1,1, 1-1,N,,O,,,,1.2,1.6,,O,18,14,6,16,41,6,15,3,0.8,0,45.5,0.06,0,0.28,0
IT,8/12/2023,Juventus,Napoli,H,0.9,1.2,1,0, 1-0,V,,,,,,1.1,2.3,O,,17,30,8,17,27,2,21,8,0.2,0,48.4,0.03,0,0.36,0
IT,1/12/2023,Juventus,Monza,A,2.5,0.7,2,1, 2-1,V,,,,,,2.3,1.5,,O,28,21,4,15,25,4,17,4,0.1,0,57.1,0.16,1,0.09,0
IT,26/11/2023,Juventus,Inter,H,0.4,0.9,1,1, 1-1,N,,,,O,,0.6,1.7,N,,7,23,6,15,21,2,13,2,1.0,0,31.3,0.0,0,0.1,0
IT,11/11/2023,Juventus,Cagliari,H,2.3,0.6,2,1, 2-1,V,,O,,O,,3.0,1.1,O,,28,18,3,9,32,7,28,4,0.7,0,62.1,1.19,1,0.15,1
IT,5/11/2023,Juventus,Fiorentina,A,0.7,0.7,1,0, 1-0,V,,,,O,,0.9,1.4,O,,7,26,7,15,11,3,8,1,0.5,0,57.1,0.0,0,0.02,0
IT,28/10/2023,Juventus,Verona,H,3.3,0.3,1,0, 1-0,V,,,,O,,4.2,0.6,O,,54,17,12,19,65,14,21,7,0.2,0,48.1,0.05,0,0.06,0
IT,22/10/2023,Juventus,Milan,A,1.4,0.3,1,0, 1-0,V,Rouge 2,,,O,O,1.5,0.6,O,,21,21,8,16,42,8,23,5,0.2,0,40.0,0.01,0,0.1,0
IT,7/10/2023,Juventus,Torino,H,1.9,0.6,2,0, 2-0,V,,,,,O,2.1,1.2,O,,30,15,7,16,20,4,17,4,0.1,0,60.0,0.56,1,0.06,0
IT,1/10/2023,Juventus,Atalanta,A,0.2,1.2,0,0, 0-0,N,,,,,,0.3,1.0,,,8,15,6,18,24,2,9,1,0.5,0,75.0,0.0,0,0.21,0
IT,26/09/2023,Juventus,Lecce,H,1.4,0.1,1,0, 1-0,V,,,,,,3.0,0.2,O,,30,26,6,15,40,7,19,8,0.0,0,59.1,0.05,0,0.03,0
IT,23/09/2023,Juventus,Sassuolo,A,1.2,1.6,2,4, 2-4,D,,,,,,1.9,1.7,,N,23,29,6,17,30,12,21,6,1.4,1,72.7,0.07,0,0.0,0
IT,16/09/2023,Juventus,Lazio,H,2.2,0.6,3,1, 3-1,V,,,,,,3.2,1.5,O,,31,24,8,16,30,8,16,4,1.0,0,75.0,0.36,0,0.03,0
IT,3/09/2023,Juventus,Empoli,A,2.7,0.3,2,0, 2-0,V,,,,,,3.3,0.7,O,,32,29,8,17,50,17,24,9,0.0,0,55.6,0.0,0,0.03,0
IT,27/08/2023,Juventus,Bologna,H,0.8,0.5,1,1, 1-1,N,,,,,,1.8,0.8,,O,26,22,14,26,57,16,24,5,1.2,0,52.2,0.0,0,0.0,0
IT,20/08/2023,Juventus,Udinese,A,1.8,1.0,3,0, 3-0,V,,,,,,1.7,1.7,O,,14,26,9,19,19,5,18,6,1.4,0,56.3,0.01,0,0.31,0
