Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
AL,18/05/2024,Köln,Heidenheim,A,2.3,1.0,1,4, 1-4,D,,O,,O,,4.2,1.5,,N,42,26,2,2,36,10,19,6,2.3,0,45.5,0.2,0,0.13,0
AL,11/05/2024,Köln,Union Berlin,H,3.1,1.6,3,2, 3-2,V,,O,,O,,4.1,1.5,,O,32,15,5,11,44,9,28,10,2.3,1,48.0,0.0,0,0.18,1
AL,4/05/2024,Köln,Freiburg,H,0.9,0.8,0,0, 0-0,N,,O,,O,,1.9,1.5,,,29,24,6,11,50,12,22,4,0.0,0,57.1,0.0,0,0.0,0
AL,28/04/2024,Köln,Mainz 05,A,2.5,1.6,1,1, 1-1,N,Rouge 2,O,,O,,2.2,2.3,,O,28,23,5,18,38,10,17,4,0.9,0,62.8,0.01,0,0.19,0
AL,20/04/2024,Köln,Darmstadt,H,1.0,1.8,0,2, 0-2,D,,O,,O,,3.3,1.7,,N,36,25,11,24,50,14,19,1,1.5,0,67.6,0.0,0,0.17,1
AL,13/04/2024,Köln,Bayern Munich,A,0.9,2.2,0,2, 0-2,D,,O,,O,O,1.1,2.1,,N,19,37,2,12,28,4,16,4,2.8,1,23.5,0.0,0,0.03,1
AL,6/04/2024,Köln,Bochum,H,1.0,0.6,2,1, 2-1,V,,O,,O,,1.8,1.0,,O,36,22,7,18,30,5,22,6,0.7,0,53.4,0.35,1,0.14,0
AL,31/03/2024,Köln,Augsburg,A,1.3,2.2,1,1, 1-1,N,,O,,O,,2.0,4.4,,O,22,35,6,12,20,3,15,5,1.5,0,43.9,0.05,0,0.26,0
AL,15/03/2024,Köln,RB Leipzig,H,1.2,3.3,1,5, 1-5,D,,O,,O,,1.5,5.1,,N,16,25,8,13,18,4,11,0,3.5,0,34.8,0.18,0,0.21,0
AL,9/03/2024,Köln,Mönchengladbach,A,0.6,1.8,3,3, 3-3,N,,O,,O,,1.5,4.0,N,,23,23,5,14,23,7,12,2,2.0,1,50.0,0.16,1,0.08,0
