Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
ES,26/05/2024,Las Palmas,Alaves,H,1.0,2.5,1,1, 1-1,N,,,,,O,1.1,2.4,,O,17,17,9,25,38,4,19,6,2.2,0,25.0,0.04,0,0.08,0
ES,19/05/2024,Las Palmas,Cadiz,A,0.6,0.9,0,0, 0-0,N,Rouge 2,,,,,1.0,1.8,,,16,25,12,22,46,7,14,2,0.1,0,30.0,0.02,0,0.05,0
ES,16/05/2024,Las Palmas,Real Betis,H,2.3,1.3,2,2, 2-2,N,,,,,O,3.4,1.7,N,,28,29,11,25,40,11,21,2,1.8,0,54.2,0.04,0,0.0,0
ES,11/05/2024,Las Palmas,Mallorca,A,0.4,0.3,0,1, 0-1,D,,,,,,0.6,1.0,,N,14,24,7,23,40,5,8,1,0.5,0,51.4,0.0,0,0.05,0
ES,4/05/2024,Las Palmas,Real Sociedad,A,0.5,0.6,0,2, 0-2,D,,,,,O,0.9,0.7,,N,10,28,3,7,22,3,11,4,0.4,0,38.9,0.0,0,0.05,0
ES,27/04/2024,Las Palmas,Girona,H,1.6,1.9,0,2, 0-2,D,,,,,O,1.5,0.6,,N,19,27,6,18,43,7,17,3,2.0,0,43.8,0.0,0,0.07,0
ES,20/04/2024,Las Palmas,Celta Vigo,A,1.0,4.0,1,4, 1-4,D,,,,,O,1.8,5.6,N,,17,24,11,20,38,4,10,4,4.0,0,33.3,0.5,1,0.07,0
ES,14/04/2024,Las Palmas,Sevilla,H,0.1,2.1,0,2, 0-2,D,Rouge 1,,,,O,0.2,2.2,,N,9,12,7,20,43,2,17,3,1.5,1,25.0,0.0,0,0.42,0
ES,30/03/2024,Las Palmas,Barcelona,A,0.3,1.7,0,1, 0-1,D,Rouge 1,,,,O,0.4,3.4,,N,16,32,12,17,19,3,5,1,0.9,1,58.3,0.0,0,0.03,0
ES,17/03/2024,Las Palmas,Almeria,H,0.9,0.8,0,1, 0-1,D,,,,,,1.6,1.0,,N,41,15,8,18,63,11,28,7,1.2,0,48.5,0.14,0,0.0,0
ES,10/03/2024,Las Palmas,Athletic Club,H,1.2,1.1,0,2, 0-2,D,,,,,,1.8,1.7,,N,27,18,9,24,52,10,24,3,0.4,0,34.8,0.22,0,0.0,0
ES,2/03/2024,Las Palmas,Getafe,A,1.6,2.3,3,3, 3-3,N,,,,,,2.8,2.8,,O,27,16,10,15,50,7,14,1,1.3,1,33.3,0.0,0,0.07,0
ES,25/02/2024,Las Palmas,Osasuna,H,0.7,0.7,1,1, 1-1,N,,,,,O,1.1,1.4,,O,12,16,4,12,51,5,17,5,0.4,0,36.4,0.04,0,0.26,0
ES,17/02/2024,Las Palmas,Atletico Madrid,A,0.7,3.5,0,5, 0-5,D,,,,,,0.6,3.1,,N,18,19,8,20,28,4,12,0,3.4,3,45.2,0.0,0,0.05,0
ES,10/02/2024,Las Palmas,Valencia,H,1.3,0.5,2,0, 2-0,V,,,,,O,1.2,0.7,O,,16,25,4,10,73,10,16,4,0.3,0,53.8,0.0,0,0.04,0
ES,3/02/2024,Las Palmas,Granada,A,1.0,0.1,1,1, 1-1,N,Rouge 2,,,,O,1.6,0.4,,O,28,15,6,17,80,9,26,8,0.5,0,50.0,0.2,0,0.09,1
ES,27/01/2024,Las Palmas,Real Madrid,H,0.7,2.3,1,2, 1-2,D,,,,,O,1.4,3.9,N,,13,16,11,19,31,8,11,3,1.7,0,44.4,0.08,0,0.59,1
ES,20/01/2024,Las Palmas,Rayo Vallecano,A,0.7,1.6,2,0, 2-0,V,,,,,O,1.3,2.7,O,,17,38,5,15,31,6,13,5,1.1,0,60.0,0.0,0,0.25,0
ES,13/01/2024,Las Palmas,Villarreal,H,0.8,2.0,3,0, 3-0,V,,,,,O,1.4,3.4,O,,16,29,8,13,36,9,9,1,1.3,0,42.9,0.19,1,0.1,0
ES,4/01/2024,Las Palmas,Barcelona,H,0.7,2.4,1,2, 1-2,D,Rouge 1,,,,O,1.8,3.1,N,,23,19,5,9,23,8,8,2,1.5,2,26.7,0.06,0,0.17,0
ES,20/12/2023,Las Palmas,Athletic Club,A,0.3,3.4,0,1, 0-1,D,,,O,,,0.7,3.9,,N,10,30,10,19,30,6,8,0,4.8,2,51.4,0.14,0,0.21,0
ES,17/12/2023,Las Palmas,Cadiz,H,0.7,1.6,1,1, 1-1,N,,O,,,,1.2,2.3,N,,11,21,10,21,49,4,12,1,1.1,0,41.9,0.0,0,0.24,1
ES,9/12/2023,Las Palmas,Alaves,A,0.4,1.9,1,0, 1-0,V,,,,,,0.9,3.1,O,,14,35,5,10,45,5,17,3,0.8,0,53.3,0.06,0,0.08,0
ES,1/12/2023,Las Palmas,Getafe,H,1.5,0.9,2,0, 2-0,V,Rouge 2,,,,,3.0,1.0,O,,20,29,8,14,41,13,12,3,0.4,2,35.3,0.07,0,0.16,0
ES,26/11/2023,Las Palmas,Real Betis,A,0.6,1.4,0,1, 0-1,D,,,,,,1.3,1.4,,N,25,29,14,23,50,9,19,5,1.9,0,50.0,0.0,0,0.11,0
ES,11/11/2023,Las Palmas,Osasuna,A,0.4,1.0,1,1, 1-1,N,,,,,O,0.9,2.0,N,,11,26,3,10,32,4,4,1,1.5,0,39.2,0.22,0,0.21,0
ES,3/11/2023,Las Palmas,Atletico Madrid,H,0.4,1.2,2,1, 2-1,V,,,,,O,0.7,1.8,O,,18,25,12,27,49,8,14,2,1.0,0,23.8,0.0,0,0.04,0
ES,28/10/2023,Las Palmas,Almeria,A,0.9,0.3,2,1, 2-1,V,,,,,O,1.6,0.4,O,,18,25,6,11,54,6,18,5,0.6,0,51.4,0.02,0,0.0,0
