Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
IT,26/05/2024,Lazio,Sassuolo,H,1.0,1.1,1,1, 1-1,N,,,,O,,1.7,0.8,N,,14,38,12,19,50,7,19,5,1.2,0,65.0,0.01,0,0.0,0
IT,19/05/2024,Lazio,Inter,A,0.6,1.4,1,1, 1-1,N,,,O,O,,1.1,2.3,N,,12,18,5,15,22,7,9,1,1.8,0,39.1,0.0,0,0.29,1
IT,12/05/2024,Lazio,Empoli,H,1.7,1.2,2,0, 2-0,V,,,,O,O,2.5,2.2,O,,20,27,6,11,41,6,12,3,1.5,0,45.8,0.88,1,0.11,0
IT,4/05/2024,Lazio,Monza,A,1.4,1.7,2,2, 2-2,N,,,,,O,0.8,2.1,N,,15,18,8,14,26,5,14,0,1.8,0,36.4,0.02,0,0.02,0
IT,27/04/2024,Lazio,Verona,H,1.1,0.6,1,0, 1-0,V,,,,,O,1.7,1.1,O,,30,20,3,12,53,10,18,5,0.0,0,62.9,0.06,0,0.0,0
IT,19/04/2024,Lazio,Genoa,A,1.0,0.5,1,0, 1-0,V,,O,,,,2.2,1.6,O,,21,28,7,12,44,13,28,5,0.1,0,48.4,0.08,0,0.06,0
IT,12/04/2024,Lazio,Salernitana,H,1.9,0.6,4,1, 4-1,V,,O,,,,2.5,1.2,O,,30,23,3,9,39,12,13,3,0.8,1,50.0,0.12,0,0.0,0
IT,6/04/2024,Lazio,Roma,A,0.4,0.7,0,1, 0-1,D,,O,,,,0.8,0.9,,N,22,16,13,23,55,12,19,5,0.4,0,44.4,0.03,0,0.12,1
IT,30/03/2024,Lazio,Juventus,H,1.1,0.5,1,0, 1-0,V,,,,O,,2.0,1.0,O,,29,26,0,4,60,8,22,6,0.2,0,33.3,0.2,0,0.12,0
IT,16/03/2024,Lazio,Frosinone,A,2.9,2.1,3,2, 3-2,V,,,,,O,4.4,3.0,,O,39,29,6,15,47,14,13,4,2.2,0,63.3,0.17,1,0.17,0
IT,11/03/2024,Lazio,Udinese,H,2.2,1.2,1,2, 1-2,D,,,,,,4.3,1.9,,N,34,20,10,19,70,14,27,6,0.0,0,41.4,0.09,0,0.03,0
C1,5/03/2024,Lazio,Bayern Munich,A,0.4,3.5,0,3, 0-3,D,,,,,,0.5,4.7,,N,10,21,5,12,36,3,12,2,3.1,0,55.6,0.0,0,0.1,0
IT,1/03/2024,Lazio,Milan,H,1.3,1.0,0,1, 0-1,D,Rouge 1,,,,,2.1,1.2,,N,17,24,10,21,25,5,19,3,0.6,0,53.8,0.07,0,0.1,0
IT,26/02/2024,Lazio,Fiorentina,A,0.3,2.5,1,2, 1-2,D,,,,,O,0.6,2.2,N,,8,20,5,18,31,6,6,2,2.6,0,38.5,0.06,0,0.57,0
IT,22/02/2024,Lazio,Torino,A,0.5,1.5,2,0, 2-0,V,Rouge 1,O,,,,0.8,2.3,O,,13,16,4,7,20,3,6,1,0.6,0,44.7,0.0,0,0.07,0
IT,18/02/2024,Lazio,Bologna,H,1.1,1.4,1,2, 1-2,D,,O,,,,1.8,1.6,N,,21,15,9,17,40,7,21,6,1.6,1,47.1,0.0,0,0.0,0
C1,14/02/2024,Lazio,Bayern Munich,H,1.6,1.1,1,0, 1-0,V,Rouge 2,O,,,,1.6,2.6,,,19,13,16,22,29,5,11,3,0.0,0,62.5,0.13,0,0.0,0
IT,10/02/2024,Lazio,Cagliari,A,1.3,0.8,3,1, 3-1,V,,O,,,,2.1,1.3,O,,21,19,9,16,37,9,30,8,1.5,0,36.7,0.0,0,0.31,0
IT,4/02/2024,Lazio,Atalanta,A,1.2,2.3,1,3, 1-3,D,,O,,,,0.7,3.0,,N,13,18,9,24,30,3,13,3,2.7,0,29.2,0.0,0,0.16,0
IT,28/01/2024,Lazio,Napoli,H,0.5,0.2,0,0, 0-0,N,,O,,,,1.1,0.2,,,20,18,5,13,28,10,17,2,0.0,0,56.5,0.0,0,0.0,0
IT,14/01/2024,Lazio,Lecce,H,0.9,1.1,1,0, 1-0,V,,,,,,1.5,1.8,O,,16,32,6,20,30,6,14,3,0.4,0,47.1,0.0,0,0.23,0
IT,7/01/2024,Lazio,Udinese,A,0.5,0.7,2,1, 2-1,V,,,,O,,0.6,1.3,O,,12,19,8,15,39,10,9,3,1.0,0,31.0,0.0,0,0.28,1
IT,29/12/2023,Lazio,Frosinone,H,1.5,1.1,3,1, 3-1,V,,,,O,,3.1,0.5,O,,22,29,17,31,27,12,21,2,1.0,0,63.3,0.19,0,0.07,0
IT,22/12/2023,Lazio,Empoli,A,2.3,0.8,2,0, 2-0,V,,,,,,2.1,1.0,O,,21,34,8,18,34,13,16,6,1.0,0,40.9,0.0,0,0.18,0
IT,17/12/2023,Lazio,Inter,H,1.5,1.6,0,2, 0-2,D,,,,,,1.7,2.5,,N,23,20,10,14,47,11,32,5,1.2,1,29.4,0.06,0,0.25,0
C1,13/12/2023,Lazio,Atletico Madrid,A,0.9,1.3,0,2, 0-2,D,,,,,,1.2,1.6,,N,15,18,6,9,36,5,13,2,1.0,0,50.0,0.02,0,0.03,0
IT,9/12/2023,Lazio,Verona,A,1.0,1.0,1,1, 1-1,N,Rouge 2,,,,,1.9,1.0,N,,25,15,7,21,51,7,22,3,0.8,0,56.5,0.22,0,0.02,0
IT,2/12/2023,Lazio,Cagliari,H,2.0,0.6,1,0, 1-0,V,Rouge 2,O,,,,2.3,0.7,O,,18,30,4,13,58,7,20,3,0.6,1,50.0,0.0,0,0.0,0
C1,28/11/2023,Lazio,Celtic,H,2.3,0.4,2,0, 2-0,V,,O,,,,3.1,1.1,O,,42,36,8,17,57,13,20,4,1.0,0,42.9,0.12,0,0.04,0
IT,25/11/2023,Lazio,Salernitana,A,2.0,1.7,1,2, 1-2,D,,,,O,,1.9,1.5,,N,22,35,5,16,36,7,22,5,1.9,0,47.6,0.03,0,0.02,1
IT,12/11/2023,Lazio,Roma,H,0.4,0.4,0,0, 0-0,N,,O,,,O,1.0,1.0,,,14,14,7,18,36,6,16,1,0.0,0,52.6,0.0,0,0.0,0
C1,7/11/2023,Lazio,Feyenoord,H,1.1,1.4,1,0, 1-0,V,,,,,O,1.9,2.4,O,,13,30,6,13,32,6,17,5,0.9,0,50.0,0.23,0,0.79,0
IT,3/11/2023,Lazio,Bologna,A,0.5,0.6,0,1, 0-1,D,,,,,O,0.6,0.8,,N,12,21,9,15,37,7,21,5,0.7,0,66.7,0.07,0,0.0,0
IT,30/10/2023,Lazio,Fiorentina,H,1.9,0.4,1,0, 1-0,V,,,,,O,1.0,0.9,,,15,21,4,15,20,5,18,4,0.5,0,63.6,0.0,0,0.03,0
C1,25/10/2023,Lazio,Feyenoord,A,2.3,2.1,1,3, 1-3,D,,,,,O,1.4,2.1,,N,15,19,7,16,43,5,9,2,1.9,0,42.9,0.33,0,0.0,0
IT,21/10/2023,Lazio,Sassuolo,A,2.3,0.5,2,0, 2-0,V,,,,,O,2.1,0.3,O,,28,19,10,22,35,9,16,8,0.1,0,40.0,0.21,0,0.0,0
IT,8/10/2023,Lazio,Atalanta,H,1.6,1.0,3,2, 3-2,V,,,,,O,1.7,1.0,O,,21,27,7,13,25,3,15,4,0.7,0,30.4,0.01,0,0.1,0
C1,4/10/2023,Lazio,Celtic,A,0.7,1.1,2,1, 2-1,V,,,,,O,1.4,2.0,,O,17,29,8,17,34,4,14,3,1.8,0,44.0,0.06,0,0.02,0
IT,30/09/2023,Lazio,Milan,A,0.5,2.2,0,2, 0-2,D,,,,,O,0.6,2.3,,N,23,29,9,20,30,2,13,1,1.7,1,58.3,0.0,0,0.07,0
IT,27/09/2023,Lazio,Torino,H,0.9,0.3,2,0, 2-0,V,,,,,O,1.7,0.4,O,,12,33,7,12,41,12,15,1,0.2,0,66.7,0.02,0,0.02,0
IT,23/09/2023,Lazio,Monza,H,1.0,1.2,1,1, 1-1,N,,,,,O,0.7,2.1,,O,15,24,4,14,47,11,29,5,1.6,0,55.0,0.07,0,0.0,0
C1,19/09/2023,Lazio,Atletico Madrid,H,1.2,0.9,1,1, 1-1,N,,,,,O,2.4,1.6,N,,34,18,9,20,61,12,21,7,1.4,0,45.5,0.18,0,0.0,0
IT,16/09/2023,Lazio,Juventus,A,0.6,2.2,1,3, 1-3,D,,,,,O,1.5,3.2,,N,27,15,5,16,58,11,28,2,1.2,1,25.0,0.03,0,0.36,0
IT,2/09/2023,Lazio,Napoli,A,0.6,1.3,2,1, 2-1,V,,,,,O,1.2,2.0,O,,12,21,8,16,23,4,16,5,0.5,0,47.6,0.0,0,0.17,1
IT,27/08/2023,Lazio,Genoa,H,1.4,0.6,0,1, 0-1,D,,,,,O,1.4,0.5,,N,27,14,8,18,91,14,52,7,0.7,0,28.6,0.01,0,0.0,0
IT,20/08/2023,Lazio,Lecce,A,1.6,1.4,1,2, 1-2,D,,,,,O,2.8,2.1,N,,18,31,5,11,45,8,15,2,1.3,1,50.0,0.0,0,0.02,0
