Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
FR,19/05/2024,Le Havre,Marseille,H,1.8,1.5,1,2, 1-2,D,,,,,O,1.2,2.8,,N,20,31,9,18,19,4,11,0,2.6,2,52.0,0.13,0,0.0,0
FR,10/05/2024,Le Havre,Nice,A,0.5,1.8,0,1, 0-1,D,,,,,,1.0,2.3,,N,22,28,9,16,26,9,9,1,1.1,0,50.0,0.1,0,0.06,0
FR,4/05/2024,Le Havre,Strasbourg,H,1.8,1.0,3,1, 3-1,V,,,,O,,2.7,2.0,O,,27,34,5,9,22,3,12,5,0.6,1,42.9,0.24,0,0.12,1
FR,27/04/2024,Le Havre,Paris,A,1.0,2.6,3,3, 3-3,N,,,,,O,0.4,3.7,N,,11,39,6,14,20,5,7,1,2.5,0,33.3,0.04,0,0.06,0
FR,21/04/2024,Le Havre,Metz,H,0.7,1.3,0,1, 0-1,D,,O,O,,,1.2,1.0,,N,30,24,6,17,39,7,28,1,0.7,0,57.1,0.21,0,0.07,0
FR,14/04/2024,Le Havre,Nantes,H,1.4,0.8,0,1, 0-1,D,,,O,,,2.6,1.5,,N,20,19,12,20,49,7,20,6,0.7,0,45.8,0.35,0,0.2,0
FR,6/04/2024,Le Havre,Lens,A,1.9,0.9,1,1, 1-1,N,,,,,,1.6,1.5,,O,19,36,9,23,33,8,9,3,1.4,2,36.0,0.08,0,0.13,0
FR,31/03/2024,Le Havre,Montpellier,H,0.8,1.6,0,2, 0-2,D,,O,,,,1.5,2.8,,N,24,35,10,22,56,8,26,7,1.7,0,48.5,0.14,0,0.19,0
FR,17/03/2024,Le Havre,Clermont Foot,A,1.2,1.1,1,2, 1-2,D,Rouge 2,,,,,1.9,0.6,,N,25,13,6,17,54,12,23,3,1.8,0,63.0,0.15,0,0.17,0
FR,10/03/2024,Le Havre,Toulouse,H,1.0,0.3,1,0, 1-0,V,,,,,,1.0,0.7,O,,20,22,6,10,39,5,8,3,0.0,0,51.4,0.14,0,0.04,0
FR,3/03/2024,Le Havre,Brest,A,0.6,1.0,0,1, 0-1,D,,,,,O,0.8,1.4,,N,17,19,7,17,31,4,10,0,1.0,0,53.3,0.0,0,0.0,0
FR,25/02/2024,Le Havre,Reims,H,1.7,3.2,1,2, 1-2,D,Rouge 2,,,,,1.5,3.2,,N,28,23,6,10,42,7,14,3,2.9,0,73.3,0.19,0,0.12,0
FR,17/02/2024,Le Havre,Lille,A,0.6,3.8,0,3, 0-3,D,,,,,,0.6,2.3,,N,11,29,8,13,31,2,16,3,3.6,0,63.2,0.0,0,0.15,0
FR,11/02/2024,Le Havre,Rennes,H,1.1,0.9,0,1, 0-1,D,,,,,,2.5,1.6,,N,24,24,8,21,51,10,14,8,0.9,0,60.0,0.29,0,0.0,0
FR,4/02/2024,Le Havre,Monaco,A,0.1,1.4,1,1, 1-1,N,,,,,,0.3,2.3,,O,6,28,10,34,29,2,11,4,1.9,1,44.7,0.04,0,0.15,0
FR,28/01/2024,Le Havre,Lorient,A,1.7,1.0,3,3, 3-3,N,,,,,,1.7,1.9,,O,25,17,9,16,35,5,13,4,1.5,2,52.4,0.3,1,0.47,1
FR,14/01/2024,Le Havre,Lyon,H,1.2,0.8,3,1, 3-1,V,Rouge 2,,,,,1.8,1.2,O,,26,30,7,11,39,10,13,5,0.9,0,61.1,0.38,1,0.1,0
FR,20/12/2023,Le Havre,Reims,A,0.2,1.2,0,1, 0-1,D,Rouge 1,,,O,,0.5,2.2,,N,7,27,7,20,24,3,12,2,1.3,0,68.0,0.0,0,0.14,0
FR,16/12/2023,Le Havre,Nice,H,2.1,1.9,3,1, 3-1,V,,,,,,1.5,2.6,O,,17,28,3,15,24,5,6,4,1.5,0,34.5,0.18,0,0.05,0
FR,10/12/2023,Le Havre,Strasbourg,A,1.3,1.6,1,2, 1-2,D,,,O,,,1.8,1.6,,N,26,30,5,21,47,5,18,1,1.2,0,39.4,0.33,1,0.39,1
FR,3/12/2023,Le Havre,Paris,H,2.0,1.2,0,2, 0-2,D,Rouge 2,,,,,3.3,1.3,,N,39,28,7,16,63,10,22,8,1.7,0,55.6,0.42,0,0.0,0
FR,26/11/2023,Le Havre,Nantes,A,0.2,1.3,0,0, 0-0,N,Rouge 1,,,,,0.7,2.6,,,12,22,8,17,18,6,7,1,0.4,0,52.6,0.01,0,0.34,0
FR,11/11/2023,Le Havre,Monaco,H,1.4,0.6,0,0, 0-0,N,,O,,,,0.8,1.5,,,15,29,10,17,33,2,14,5,1.4,0,43.5,0.02,0,0.0,0
FR,5/11/2023,Le Havre,Toulouse,A,1.1,2.6,2,1, 2-1,V,,O,,O,,1.3,2.7,,O,26,23,6,20,37,10,12,2,1.4,0,39.3,0.0,0,0.18,0
