Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
IT,26/05/2024,Lecce,Napoli,A,0.5,1.5,0,0, 0-0,N,,O,,O,,0.5,1.7,,,18,25,8,13,22,3,15,4,1.4,0,63.6,0.0,0,0.0,0
IT,18/05/2024,Lecce,Atalanta,H,1.3,1.6,0,2, 0-2,D,,O,,,O,1.9,2.5,,N,21,22,13,30,47,9,22,3,2.0,0,39.1,0.06,0,0.21,1
IT,13/05/2024,Lecce,Udinese,H,0.4,1.4,0,2, 0-2,D,,O,,O,,0.6,2.0,,N,16,21,7,18,44,4,14,4,0.6,0,50.0,0.06,0,0.59,0
IT,5/05/2024,Lecce,Cagliari,A,1.8,1.0,1,1, 1-1,N,Rouge 2,O,,,O,2.9,1.3,,O,30,17,5,10,41,9,22,4,0.5,0,49.1,0.3,0,0.06,0
IT,27/04/2024,Lecce,Monza,H,0.9,1.1,1,1, 1-1,N,,O,,,,0.5,0.5,N,,16,30,5,13,34,6,15,3,1.0,0,41.2,0.0,0,0.05,0
IT,21/04/2024,Lecce,Sassuolo,A,2.3,0.6,3,0, 3-0,V,,O,,,O,3.1,1.3,O,,27,27,11,15,21,9,15,4,0.6,0,51.9,0.14,1,0.21,0
IT,13/04/2024,Lecce,Empoli,H,2.6,0.1,1,0, 1-0,V,,O,,,,3.4,0.3,O,,26,12,8,13,18,1,10,3,0.0,0,52.8,1.31,0,0.0,0
IT,6/04/2024,Lecce,Milan,A,0.5,1.5,0,3, 0-3,D,Rouge 1,,,O,,0.8,2.8,,N,21,23,11,23,27,3,21,3,3.0,0,50.0,0.02,0,0.18,1
IT,1/04/2024,Lecce,Roma,H,1.8,1.3,0,0, 0-0,N,,,,O,,2.3,2.1,,,45,18,6,14,31,7,19,5,0.8,0,57.1,0.44,0,0.05,0
IT,16/03/2024,Lecce,Salernitana,A,1.2,1.2,1,0, 1-0,V,,O,,,,2.0,1.7,,,27,21,5,9,21,6,15,2,0.6,0,37.8,0.11,0,0.13,0
