Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
FR,19/05/2024,Lens,Montpellier,H,5.2,0.8,2,2, 2-2,N,,,,,O,7.4,1.3,N,,47,35,12,21,61,20,21,6,1.0,1,57.9,0.02,0,0.0,0
FR,12/05/2024,Lens,Rennes,A,0.6,1.9,1,1, 1-1,N,,,O,,O,0.7,3.2,N,,12,41,6,15,32,3,10,4,1.5,0,56.8,0.04,0,0.12,0
FR,3/05/2024,Lens,Lorient,H,2.1,0.6,2,0, 2-0,V,,,O,,,3.6,1.0,O,,36,29,9,15,64,19,18,5,0.5,0,69.8,0.22,0,0.11,0
FR,28/04/2024,Lens,Marseille,A,1.2,1.7,1,2, 1-2,D,,,O,,,1.7,2.0,,N,33,18,7,18,40,10,15,1,2.0,1,39.3,0.07,0,0.05,0
FR,20/04/2024,Lens,Clermont Foot,H,1.9,0.7,1,0, 1-0,V,,,O,,,2.0,0.4,,,26,26,5,17,42,6,9,3,0.2,1,48.5,0.0,0,0.0,0
FR,12/04/2024,Lens,Metz,A,1.5,0.8,1,2, 1-2,D,,,O,,,1.6,1.3,,N,33,18,3,9,66,15,17,1,1.0,1,43.2,0.13,0,0.11,0
FR,6/04/2024,Lens,Le Havre,H,0.9,1.9,1,1, 1-1,N,,,,,,1.5,1.6,N,,25,25,8,19,43,9,23,3,1.5,1,64.0,0.13,0,0.08,0
FR,29/03/2024,Lens,Lille,A,0.6,1.6,1,2, 1-2,D,,,,,,1.8,1.1,,N,15,33,7,15,33,11,18,3,0.9,1,70.0,0.12,0,0.0,0
FR,16/03/2024,Lens,Nice,H,1.3,2.2,1,3, 1-3,D,,,,,,2.9,2.0,,N,34,35,5,12,56,12,26,5,2.0,2,57.1,0.15,0,0.03,0
FR,9/03/2024,Lens,Brest,H,0.9,0.7,1,0, 1-0,V,,,,O,,0.8,2.1,O,,11,20,8,14,34,7,17,3,0.4,0,61.8,0.01,0,0.0,0
FR,3/03/2024,Lens,Lyon,A,3.4,2.0,3,0, 3-0,V,,,,,,4.1,3.2,O,,32,35,4,7,45,14,26,2,1.1,0,70.4,0.44,1,0.56,0
FR,25/02/2024,Lens,Monaco,H,2.9,2.3,2,3, 2-3,D,,,,,,4.7,1.9,,N,37,30,11,18,58,15,28,9,3.5,0,34.6,0.27,0,0.0,0
