Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
FR,19/05/2024,Lille,Nice,H,1.2,0.9,2,2, 2-2,N,Rouge 1,O,,,O,2.2,1.9,,O,21,30,5,12,42,7,8,3,1.7,0,64.3,0.67,1,0.05,0
FR,12/05/2024,Lille,Nantes,A,1.5,0.7,2,1, 2-1,V,,O,,,,2.5,1.3,O,,20,22,11,23,53,7,19,9,0.1,0,54.2,0.08,0,0.0,0
FR,6/05/2024,Lille,Lyon,H,0.9,2.4,3,4, 3-4,D,,O,,O,,2.1,5.0,N,,16,25,6,14,21,3,13,4,3.7,0,41.7,0.43,2,0.0,0
FR,28/04/2024,Lille,Metz,A,0.8,1.1,2,1, 2-1,V,,O,,O,,2.1,0.5,O,,26,23,9,16,69,15,18,6,1.2,1,55.6,0.13,0,0.09,0
FR,24/04/2024,Lille,Monaco,A,1.3,1.6,0,1, 0-1,D,,O,,,,2.8,2.3,,N,25,28,8,16,42,9,16,9,1.6,0,72.7,0.36,0,0.17,0
FR,21/04/2024,Lille,Strasbourg,H,0.8,1.3,1,0, 1-0,V,,O,,,,1.5,1.9,O,,10,19,11,20,32,6,15,6,0.4,1,44.4,0.2,0,0.0,0
FR,5/04/2024,Lille,Marseille,H,1.8,1.2,3,1, 3-1,V,,O,,,,1.6,1.3,O,,25,11,5,15,32,6,21,5,0.6,0,52.6,0.24,0,0.09,0
FR,29/03/2024,Lille,Lens,H,1.6,0.6,2,1, 2-1,V,,O,,,,1.1,1.8,O,,25,30,11,27,27,3,16,8,0.4,0,30.0,0.0,0,0.12,0
FR,17/03/2024,Lille,Brest,A,0.8,1.0,1,1, 1-1,N,,O,,,,1.0,1.4,N,,22,21,9,20,45,9,22,4,1.3,0,40.0,0.01,0,0.03,0
FR,10/03/2024,Lille,Rennes,H,2.4,1.1,2,2, 2-2,N,,O,,,,3.2,1.7,,O,26,17,8,9,58,12,29,2,0.7,0,78.3,0.05,0,0.03,0
FR,2/03/2024,Lille,Reims,A,1.1,0.6,1,0, 1-0,V,,O,,,,0.3,1.4,O,,13,32,7,14,32,2,9,6,0.2,0,55.0,0.02,0,0.0,0
FR,25/02/2024,Lille,Toulouse,A,0.6,2.1,1,3, 1-3,D,,O,,O,,1.5,2.4,N,,20,13,11,23,56,10,25,6,2.8,1,56.5,0.0,0,0.32,0
FR,17/02/2024,Lille,Le Havre,H,3.8,0.6,3,0, 3-0,V,,O,,,,2.3,0.6,O,,28,26,11,22,44,12,19,8,0.5,1,36.8,0.15,0,0.0,0
FR,10/02/2024,Lille,Paris,A,1.2,2.8,1,3, 1-3,D,,O,,,,2.0,4.1,N,,16,25,13,22,23,7,11,5,2.4,2,40.0,0.02,0,0.14,0
FR,4/02/2024,Lille,Clermont Foot,H,2.9,0.4,4,0, 4-0,V,,O,,,,4.5,0.4,O,,40,37,12,30,56,12,22,5,1.0,0,56.3,0.1,0,0.0,0
FR,28/01/2024,Lille,Montpellier,A,0.5,0.7,0,0, 0-0,N,Rouge 1,O,,,,1.2,1.5,,,20,31,12,29,37,7,22,4,2.0,0,46.2,0.0,0,0.03,0
FR,14/01/2024,Lille,Lorient,H,2.3,0.1,3,0, 3-0,V,,O,,,,2.7,0.4,O,,39,25,7,19,67,11,18,7,0.0,0,60.0,0.13,1,0.0,0
FR,20/12/2023,Lille,Strasbourg,A,0.5,0.8,1,2, 1-2,D,,O,,,O,1.1,1.5,,N,15,33,9,19,47,9,15,4,0.3,0,42.9,0.08,0,0.08,0
FR,17/12/2023,Lille,Paris,H,1.4,1.4,1,1, 1-1,N,,O,O,,O,1.4,1.9,N,,24,38,10,19,22,3,13,7,1.2,0,38.5,0.18,0,0.08,0
FR,10/12/2023,Lille,Clermont Foot,A,1.0,1.3,0,0, 0-0,N,,O,,,,2.0,1.9,,,23,26,8,17,46,9,19,6,0.7,0,44.4,0.0,0,0.69,0
FR,3/12/2023,Lille,Metz,H,2.9,1.9,2,0, 2-0,V,,O,,,,2.9,0.5,O,,29,21,10,18,68,12,21,6,2.8,0,64.3,0.25,0,0.0,0
FR,26/11/2023,Lille,Lyon,A,1.5,1.9,2,0, 2-0,V,,O,,O,,2.1,1.9,O,,26,28,5,12,28,4,32,8,0.9,1,26.7,0.1,0,0.16,0
FR,12/11/2023,Lille,Toulouse,H,2.5,0.1,1,1, 1-1,N,,O,,,,3.2,0.4,N,,21,29,14,25,55,9,21,5,0.7,0,52.2,0.17,0,0.09,1
FR,4/11/2023,Lille,Marseille,A,0.3,0.8,0,0, 0-0,N,,O,O,,,0.6,1.3,,,18,23,8,16,35,6,20,4,0.3,0,52.6,0.03,0,0.08,0
FR,29/10/2023,Lille,Monaco,H,0.5,0.6,2,0, 2-0,V,,O,O,,O,0.7,1.1,O,,14,28,7,12,24,8,16,3,1.6,0,45.5,0.0,0,0.09,0
FR,22/10/2023,Lille,Brest,H,1.6,0.8,1,0, 1-0,V,,O,,,O,2.8,1.2,O,,12,46,14,25,39,6,23,6,0.2,0,65.6,0.25,0,0.0,0
FR,8/10/2023,Lille,Lens,A,1.7,2.0,1,1, 1-1,N,,O,,,O,2.7,2.6,N,,15,28,11,17,29,5,14,2,0.9,0,61.9,0.23,0,0.1,0
FR,1/10/2023,Lille,Le Havre,A,1.2,0.8,2,0, 2-0,V,,O,,,O,2.3,1.0,O,,29,22,14,25,49,10,22,5,0.0,1,52.0,0.09,0,0.03,0
FR,26/09/2023,Lille,Reims,H,1.2,0.5,1,2, 1-2,D,,O,,,,3.4,1.1,,N,27,12,12,31,71,13,24,4,0.9,0,60.0,0.19,0,0.0,0
FR,16/09/2023,Lille,Rennes,A,1.0,0.5,2,2, 2-2,N,,O,,,O,2.0,0.7,N,,18,45,11,16,24,5,15,7,0.2,0,45.2,0.39,1,0.14,0
FR,3/09/2023,Lille,Montpellier,H,1.2,0.3,1,0, 1-0,V,,O,,,,2.1,0.7,O,,29,22,11,22,40,8,23,11,1.0,0,50.0,0.18,0,0.02,0
FR,27/08/2023,Lille,Lorient,A,1.1,1.6,1,4, 1-4,D,,O,,,,3.8,1.5,,N,33,19,12,31,58,14,23,3,2.0,2,48.0,0.04,0,0.07,0
FR,20/08/2023,Lille,Nantes,H,2.2,1.1,2,0, 2-0,V,Rouge 1,O,,,,3.7,1.5,O,,29,17,10,19,63,13,20,5,1.1,0,50.0,0.13,0,0.04,0
FR,11/08/2023,Lille,Nice,A,1.3,1.2,1,1, 1-1,N,,O,,,,2.3,1.5,,O,19,34,14,25,34,7,26,7,1.5,0,42.9,0.28,1,0.04,0
