Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
FR,19/05/2024,Lorient,Clermont Foot,H,4.2,0.8,5,0, 5-0,V,,,,,O,4.1,1.1,O,,53,31,10,21,49,16,33,10,0.9,0,53.1,0.1,0,0.0,0
FR,12/05/2024,Lorient,Marseille,A,1.5,2.5,1,3, 1-3,D,,,,,O,2.9,2.2,,N,22,32,5,15,35,11,19,2,2.6,0,43.3,0.16,0,0.0,0
FR,3/05/2024,Lorient,Lens,A,0.6,2.1,0,2, 0-2,D,,,,,O,1.0,3.6,,N,19,19,6,20,47,9,15,5,2.0,1,30.2,0.11,0,0.22,0
FR,28/04/2024,Lorient,Toulouse,H,1.4,1.8,1,2, 1-2,D,,,,,O,1.3,2.3,N,,26,23,9,20,42,8,28,6,2.0,1,57.9,0.0,0,0.0,0
FR,24/04/2024,Lorient,Paris,H,0.9,1.6,1,4, 1-4,D,,,,O,O,1.7,2.8,,N,18,26,16,27,44,11,22,6,3.0,0,42.9,0.3,0,0.0,0
FR,19/04/2024,Lorient,Nice,A,0.5,2.5,0,3, 0-3,D,,,O,O,O,1.0,2.8,,N,18,32,4,19,51,10,23,5,2.6,1,59.1,0.09,0,0.01,0
FR,7/04/2024,Lorient,Montpellier,A,1.4,2.4,0,2, 0-2,D,,,,O,O,2.4,2.5,,N,33,12,12,23,54,10,21,1,2.2,0,52.2,0.21,0,0.23,0
FR,31/03/2024,Lorient,Brest,H,1.0,0.5,0,1, 0-1,D,,,,O,O,2.8,0.7,,N,22,16,16,20,51,11,25,4,0.7,1,67.9,0.21,0,0.12,0
FR,17/03/2024,Lorient,Monaco,A,0.8,2.5,2,2, 2-2,N,,,,O,O,1.5,4.5,,O,21,20,2,13,40,12,12,3,1.5,3,64.3,0.08,0,0.21,0
FR,9/03/2024,Lorient,Lyon,H,0.5,1.9,0,2, 0-2,D,,,,O,O,1.0,2.5,,N,17,22,14,24,49,4,25,2,2.3,0,50.0,0.18,0,0.0,0
FR,3/03/2024,Lorient,Rennes,A,2.0,1.4,2,1, 2-1,V,,,,O,O,1.9,2.8,,O,16,27,11,16,19,5,12,0,0.9,0,36.8,0.11,0,0.03,0
FR,24/02/2024,Lorient,Nantes,H,0.5,0.4,0,1, 0-1,D,,,,O,O,1.0,0.6,,N,11,25,7,23,52,8,21,0,1.8,1,40.9,0.19,0,0.05,0
FR,18/02/2024,Lorient,Strasbourg,A,2.0,1.5,3,1, 3-1,V,Rouge 2,,,,O,2.3,2.8,O,,18,20,5,10,26,6,17,5,1.4,0,42.9,0.08,0,0.32,1
FR,11/02/2024,Lorient,Reims,H,1.9,1.2,2,0, 2-0,V,,,,,O,2.7,2.3,O,,29,27,12,23,29,6,26,6,0.8,0,40.9,0.02,0,0.0,0
FR,4/02/2024,Lorient,Metz,A,1.4,1.1,2,1, 2-1,V,,,,,O,1.5,1.3,O,,22,37,10,15,43,6,16,5,0.8,1,58.6,0.14,0,0.06,0
FR,28/01/2024,Lorient,Le Havre,H,1.0,1.7,3,3, 3-3,N,,,,,O,1.9,1.7,N,,24,19,9,13,27,6,16,0,1.8,0,47.6,0.47,1,0.3,1
FR,14/01/2024,Lorient,Lille,A,0.1,2.3,0,3, 0-3,D,,O,,O,O,0.4,2.7,,N,2,24,7,15,12,4,9,1,3.4,1,40.0,0.0,0,0.13,1
FR,20/12/2023,Lorient,Brest,A,0.5,2.0,0,4, 0-4,D,,,,,O,0.7,2.6,,N,11,20,14,27,31,0,18,5,2.4,0,53.6,0.04,0,0.04,0
