Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
UK,19/05/2024,Luton,Fulham,H,2.0,1.1,2,4, 2-4,D,,O,,,,1.3,1.7,,N,27,14,5,16,27,7,15,2,0.1,0,64.7,0.0,0,0.32,1
UK,11/05/2024,Luton,West Ham,A,0.3,3.2,1,3, 1-3,D,,,,,,0.7,3.7,N,,7,28,9,17,29,7,17,4,3.1,2,42.2,0.03,0,0.04,0
UK,3/05/2024,Luton,Everton,H,0.8,1.4,1,1, 1-1,N,,,,,,1.3,1.8,N,,33,24,12,29,40,11,23,4,1.6,0,47.4,0.3,0,0.0,0
UK,27/04/2024,Luton,Wolves,A,0.6,1.2,1,2, 1-2,D,,,,,,1.0,1.7,,N,15,35,10,16,42,8,11,1,0.9,1,52.4,0.06,0,0.03,0
UK,20/04/2024,Luton,Brentford,H,0.6,3.1,1,5, 1-5,D,,,,,,0.5,4.6,N,,11,26,13,26,35,10,19,3,5.1,2,47.1,0.0,0,0.15,0
UK,13/04/2024,Luton,Manchester City,A,0.5,4.2,1,5, 1-5,D,,,,,O,0.4,5.5,,N,7,21,7,13,13,0,6,1,3.8,0,60.9,0.0,0,0.1,0
UK,6/04/2024,Luton,Bournemouth,H,1.5,0.4,2,1, 2-1,V,,,,,O,1.9,1.5,,O,30,34,7,20,39,11,18,3,0.3,0,63.0,0.0,0,0.0,0
UK,3/04/2024,Luton,Arsenal,A,0.3,0.7,0,2, 0-2,D,,,,,O,0.7,1.4,,N,10,26,3,5,24,8,21,4,1.0,1,63.6,0.0,0,0.0,0
UK,30/03/2024,Luton,Tottenham,A,0.5,2.9,1,2, 1-2,D,,,,,O,1.1,4.8,N,,10,18,6,17,14,3,8,1,0.2,0,37.5,0.03,0,0.0,0
UK,16/03/2024,Luton,Nottingham Forest,H,0.6,2.0,1,1, 1-1,N,,,,,O,1.1,3.1,,O,15,13,14,32,35,6,29,6,1.0,0,39.4,0.0,0,0.07,0
UK,13/03/2024,Luton,Bournemouth,A,2.0,2.3,3,4, 3-4,D,,,,,O,3.6,2.6,N,,15,22,3,19,18,5,19,1,2.9,1,52.0,0.39,0,0.12,0
UK,9/03/2024,Luton,Crystal Palace,A,0.8,2.7,1,1, 1-1,N,,,,,O,0.8,4.0,,O,13,21,11,22,34,8,13,4,1.6,2,45.5,0.02,0,0.15,0
UK,2/03/2024,Luton,Aston Villa,H,1.8,1.9,2,3, 2-3,D,,,,,O,2.5,3.2,,N,26,20,6,17,27,4,22,5,2.5,1,53.8,0.52,1,0.55,2
UK,21/02/2024,Luton,Liverpool,A,0.9,3.3,1,4, 1-4,D,,,,,,0.9,4.7,N,,21,27,18,27,20,6,16,1,3.0,1,34.4,0.03,0,0.18,1
UK,18/02/2024,Luton,Manchester United,H,1.8,2.9,1,2, 1-2,D,,,,,,2.7,2.8,,N,40,22,18,31,45,13,36,8,1.7,2,61.9,0.18,0,0.07,0
UK,10/02/2024,Luton,Sheffield United,H,1.8,1.7,1,3, 1-3,D,,,,,,2.2,1.1,,N,37,24,8,19,63,10,42,5,2.5,0,52.6,0.38,0,0.1,0
UK,3/02/2024,Luton,Newcastle United,A,2.4,2.3,4,4, 4-4,N,,,,,,1.6,2.4,,O,19,29,15,30,25,8,25,6,2.7,0,61.5,0.08,0,0.0,0
UK,30/01/2024,Luton,Brighton,H,3.1,0.9,4,0, 4-0,V,,,,,,3.1,0.9,O,,27,23,18,37,27,3,17,11,0.7,0,50.0,0.06,0,0.29,0
UK,12/01/2024,Luton,Burnley,A,0.9,1.1,1,1, 1-1,N,,,,O,,1.6,0.7,,O,28,30,13,20,39,7,24,8,1.4,0,58.7,0.0,0,0.06,0
UK,30/12/2023,Luton,Chelsea,H,2.3,1.5,2,3, 2-3,D,,,,,,3.8,1.9,,N,26,31,9,28,44,11,27,8,3.1,1,48.3,0.44,1,0.02,0
UK,26/12/2023,Luton,Sheffield United,A,0.6,2.4,3,2, 3-2,V,,,,O,,1.0,2.7,O,,21,32,11,24,22,6,17,7,2.6,0,50.0,0.04,0,0.24,0
UK,23/12/2023,Luton,Newcastle United,H,1.4,1.4,1,0, 1-0,V,,,,O,,2.0,3.1,O,,24,22,13,27,25,4,16,8,0.3,1,38.5,0.1,0,0.07,0
UK,10/12/2023,Luton,Manchester City,H,0.3,1.6,1,2, 1-2,D,,,,O,O,0.8,2.7,N,,6,34,9,20,24,5,9,2,1.2,0,40.0,0.0,0,0.0,0
