Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
FR,19/05/2024,Lyon,Strasbourg,H,2.8,1.1,2,1, 2-1,V,,,,,,2.9,0.6,O,,26,21,6,15,64,13,18,6,0.9,0,82.4,0.09,0,0.07,0
FR,12/05/2024,Lyon,Clermont Foot,A,0.4,1.1,1,0, 1-0,V,,O,,,O,0.8,2.1,O,,12,23,12,17,34,5,17,2,0.5,0,53.8,0.0,0,0.0,0
FR,6/05/2024,Lyon,Lille,A,2.4,0.9,4,3, 4-3,V,,,,,,5.0,2.1,,O,20,25,11,21,58,10,24,4,1.2,1,58.3,0.0,0,0.43,2
FR,28/04/2024,Lyon,Monaco,H,2.2,1.7,3,2, 3-2,V,,,,,,4.3,2.4,,O,28,30,7,14,42,17,24,7,1.5,0,46.4,0.14,0,0.03,0
FR,21/04/2024,Lyon,Paris,A,1.0,2.3,1,4, 1-4,D,,,,,,2.1,4.9,,N,29,23,13,21,45,11,27,11,2.4,0,61.5,0.03,0,0.0,0
FR,14/04/2024,Lyon,Brest,H,2.1,1.7,4,3, 4-3,V,,,,,,1.5,2.2,O,,30,21,17,27,48,12,29,8,1.2,1,59.3,0.15,0,0.36,1
FR,7/04/2024,Lyon,Nantes,A,2.4,1.2,3,1, 3-1,V,,,,,,3.6,1.9,,O,34,24,18,24,72,20,25,7,1.3,0,56.7,0.0,0,0.07,0
FR,30/03/2024,Lyon,Reims,H,1.8,1.4,1,1, 1-1,N,,,,,,3.7,1.4,,O,25,22,12,23,66,17,22,6,1.1,1,56.0,0.0,0,0.15,0
FR,15/03/2024,Lyon,Toulouse,A,1.4,2.4,3,2, 3-2,V,,,,,O,1.6,2.9,O,,32,21,16,27,39,11,23,7,2.0,0,59.3,0.17,1,0.17,0
FR,9/03/2024,Lyon,Lorient,A,1.9,0.5,2,0, 2-0,V,,O,,,,2.5,1.0,O,,21,28,6,13,47,7,22,8,0.0,0,50.0,0.0,0,0.18,0
FR,3/03/2024,Lyon,Lens,H,2.0,3.4,0,3, 0-3,D,,O,,,,3.2,4.1,,N,22,15,8,22,32,6,15,5,4.2,0,29.6,0.56,0,0.44,1
FR,23/02/2024,Lyon,Metz,A,1.6,1.6,2,1, 2-1,V,,,,,,2.1,1.9,,O,20,32,8,18,51,10,25,5,1.1,1,57.1,0.0,0,0.18,0
FR,16/02/2024,Lyon,Nice,H,1.1,0.8,1,0, 1-0,V,,,,O,,1.7,1.3,O,,16,25,8,20,40,5,14,8,1.0,0,45.5,0.0,0,0.23,0
FR,11/02/2024,Lyon,Montpellier,A,1.2,1.5,2,1, 2-1,V,,,,,,2.2,2.8,,O,34,25,10,15,71,15,26,7,1.8,0,42.1,0.13,0,0.09,0
FR,4/02/2024,Lyon,Marseille,H,1.4,0.3,1,0, 1-0,V,,,,O,O,2.4,0.9,O,,21,23,21,36,46,12,17,4,0.0,0,8.3,0.0,0,0.0,0
FR,26/01/2024,Lyon,Rennes,H,0.9,0.8,2,3, 2-3,D,,,,,O,1.7,1.3,,N,21,20,14,28,44,9,30,6,1.2,0,65.5,0.26,0,0.11,0
FR,14/01/2024,Lyon,Le Havre,A,0.8,1.2,1,3, 1-3,D,Rouge 1,,,,O,1.2,1.8,,N,13,19,13,25,43,6,7,1,2.1,2,38.9,0.1,0,0.38,1
FR,20/12/2023,Lyon,Nantes,H,1.7,0.5,1,0, 1-0,V,,,,,O,3.0,1.6,O,,13,24,11,19,33,4,13,4,0.0,0,65.4,0.24,0,0.23,0
FR,15/12/2023,Lyon,Monaco,A,0.7,1.3,1,0, 1-0,V,,,,,O,1.1,2.4,O,,6,29,11,22,25,2,15,3,0.8,0,42.9,0.0,0,0.11,0
FR,10/12/2023,Lyon,Toulouse,H,1.7,1.5,3,0, 3-0,V,,,,,O,3.1,1.7,O,,26,19,8,16,29,9,16,4,1.8,0,40.0,0.21,0,0.07,0
FR,6/12/2023,Lyon,Marseille,A,0.2,2.2,0,3, 0-3,D,,,,,O,0.7,3.3,,N,12,25,15,32,42,8,23,4,1.5,0,68.4,0.0,0,0.11,0
FR,2/12/2023,Lyon,Lens,A,2.5,2.1,2,3, 2-3,D,,,,,O,3.8,1.6,N,,20,22,11,21,39,12,10,4,2.1,1,40.0,0.55,1,0.0,0
FR,26/11/2023,Lyon,Lille,H,1.9,1.5,0,2, 0-2,D,,,,,O,1.9,2.1,,N,18,31,5,14,48,6,18,4,1.8,1,73.3,0.16,0,0.1,0
FR,12/11/2023,Lyon,Rennes,A,1.5,0.9,1,0, 1-0,V,Rouge 2,,,,O,2.5,1.2,O,,21,21,6,16,73,16,16,4,0.5,0,62.5,0.0,0,0.47,0
FR,5/11/2023,Lyon,Metz,H,1.9,0.7,1,1, 1-1,N,,,,,O,3.1,0.6,,O,24,30,7,19,62,11,32,4,0.4,1,73.7,0.02,0,0.0,0
FR,22/10/2023,Lyon,Clermont Foot,H,1.7,1.0,1,2, 1-2,D,,,,,O,3.5,1.6,,N,44,35,12,30,69,17,32,7,1.3,0,57.1,0.19,0,0.0,0
FR,8/10/2023,Lyon,Lorient,H,1.4,1.1,3,3, 3-3,N,,,,O,O,0.8,1.1,,O,13,27,10,15,32,5,14,4,2.3,1,44.0,0.0,0,0.0,0
FR,1/10/2023,Lyon,Reims,A,0.7,2.0,0,2, 0-2,D,,O,,,O,1.2,2.3,,N,18,18,9,29,36,3,15,5,1.6,0,54.2,0.06,0,0.0,0
FR,23/09/2023,Lyon,Brest,A,0.4,2.4,0,1, 0-1,D,,,,O,O,0.9,4.0,,N,10,29,5,11,21,3,3,0,2.0,1,27.0,0.0,0,0.28,0
FR,17/09/2023,Lyon,Le Havre,H,1.5,0.8,0,0, 0-0,N,,,,,O,3.2,1.7,,,44,28,10,23,63,10,22,12,0.0,0,39.3,0.19,0,0.02,0
FR,3/09/2023,Lyon,Paris,H,2.1,4.5,1,4, 1-4,D,,O,,,O,2.8,4.6,,N,32,35,15,31,37,12,19,8,3.8,0,45.5,0.09,0,0.04,0
FR,27/08/2023,Lyon,Nice,A,0.2,1.9,0,0, 0-0,N,,O,,,O,0.6,2.8,,,11,22,11,19,26,2,16,7,0.7,0,40.9,0.02,0,0.66,0
FR,19/08/2023,Lyon,Montpellier,H,0.4,2.9,1,4, 1-4,D,,,,,O,1.1,2.4,,N,12,25,16,26,64,9,29,9,3.1,1,58.3,0.0,0,0.07,0
FR,13/08/2023,Lyon,Strasbourg,A,1.7,1.3,1,2, 1-2,D,,,,,O,3.2,2.1,,N,36,25,13,33,59,15,25,11,0.9,0,70.8,0.1,0,0.0,0
