Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
AL,18/05/2024,Mainz 05,Wolfsburg,A,1.8,0.8,3,1, 3-1,V,,,,,,2.1,2.2,,O,20,22,8,17,29,3,11,6,1.1,0,46.8,0.28,0,0.26,0
AL,11/05/2024,Mainz 05,Dortmund,H,2.1,0.4,3,0, 3-0,V,,,,,,3.3,1.1,O,,24,38,13,26,23,4,13,5,0.2,0,51.9,0.02,0,0.0,0
AL,5/05/2024,Mainz 05,Heidenheim,A,1.4,0.9,1,1, 1-1,N,,O,,,O,2.6,1.2,N,,17,23,2,10,41,11,17,3,0.8,0,46.8,0.09,0,0.04,0
AL,28/04/2024,Mainz 05,Köln,H,1.6,2.5,1,1, 1-1,N,Rouge 1,,,,,2.3,2.2,N,,25,35,9,31,33,9,13,4,2.2,0,37.2,0.19,0,0.01,0
AL,21/04/2024,Mainz 05,Freiburg,A,1.0,1.1,1,1, 1-1,N,,,,,,1.7,1.9,,O,25,22,14,17,47,12,19,5,0.9,0,40.4,0.3,0,0.02,0
AL,13/04/2024,Mainz 05,Hoffenheim,H,2.1,0.5,4,1, 4-1,V,,,,,,2.8,1.0,,O,36,12,12,27,43,7,17,10,0.5,0,54.5,0.3,0,0.0,0
AL,6/04/2024,Mainz 05,Darmstadt,H,3.6,0.5,4,0, 4-0,V,,,,,,4.9,0.8,O,,33,17,10,19,41,11,24,4,0.4,0,53.5,0.14,0,0.1,0
AL,30/03/2024,Mainz 05,RB Leipzig,A,0.9,2.5,0,0, 0-0,N,,,,,,1.8,6.2,,,14,27,6,11,10,1,5,2,2.6,0,41.9,0.14,0,0.19,0
AL,16/03/2024,Mainz 05,Bochum,H,2.5,0.7,2,0, 2-0,V,,,,,O,3.0,0.8,O,,26,34,3,9,23,6,17,8,0.0,0,48.7,0.02,0,0.15,0
AL,9/03/2024,Mainz 05,Bayern Munich,A,0.8,6.2,1,8, 1-8,D,,,,O,,1.8,8.7,,N,28,32,7,17,36,8,23,4,6.9,0,35.3,0.36,1,0.36,0
AL,2/03/2024,Mainz 05,Mönchengladbach,H,1.0,1.0,1,1, 1-1,N,,,,,,1.3,1.9,N,,29,29,3,16,36,7,15,4,1.5,0,43.8,0.13,0,0.05,0
AL,23/02/2024,Mainz 05,Bayer Leverkusen,A,1.1,1.1,1,2, 1-2,D,,,,,,1.3,1.9,,N,20,31,9,13,21,3,11,2,2.1,2,42.9,0.32,0,0.02,0
AL,17/02/2024,Mainz 05,Augsburg,H,2.1,1.0,1,0, 1-0,V,Rouge 2,,,,,2.7,1.3,O,,29,25,9,12,39,10,15,6,0.2,0,50.0,0.51,1,0.0,0
AL,11/02/2024,Mainz 05,Stuttgart,A,1.4,1.9,1,3, 1-3,D,,,,,O,3.6,3.1,,N,34,34,10,23,37,10,9,3,4.4,0,47.1,0.0,0,0.0,0
AL,7/02/2024,Mainz 05,Union Berlin,H,1.3,1.0,1,1, 1-1,N,,,,,O,1.0,1.7,,,26,22,2,12,28,5,6,1,0.6,0,51.1,0.37,1,0.02,0
AL,3/02/2024,Mainz 05,Werder Bremen,H,0.8,0.6,0,1, 0-1,D,,,,,O,1.5,1.2,,N,41,25,12,21,27,10,18,4,0.3,0,49.0,0.21,0,0.0,0
AL,26/01/2024,Mainz 05,Eintracht Frankfurt,A,0.8,1.3,0,1, 0-1,D,,O,,,O,1.8,1.4,,N,13,22,9,20,29,4,12,1,0.7,0,47.1,0.11,0,0.02,0
AL,13/01/2024,Mainz 05,Wolfsburg,H,0.4,0.6,1,1, 1-1,N,,O,,O,,0.8,1.1,,O,22,17,6,17,34,8,10,1,0.5,0,43.3,0.13,0,0.3,0
AL,19/12/2023,Mainz 05,Dortmund,A,0.9,1.2,1,1, 1-1,N,,O,,O,,1.5,2.1,,O,17,36,11,25,39,4,21,6,1.0,0,45.2,0.0,0,0.19,0
AL,16/12/2023,Mainz 05,Heidenheim,H,1.6,0.5,0,1, 0-1,D,,O,,O,,2.7,1.1,,N,33,20,11,20,55,12,21,5,0.1,0,41.1,0.31,0,0.01,0
AL,10/12/2023,Mainz 05,Köln,A,1.4,0.3,0,0, 0-0,N,,O,,,,1.8,1.0,,,22,26,8,21,36,4,11,5,0.2,0,54.3,0.23,0,0.0,0
AL,3/12/2023,Mainz 05,Freiburg,H,2.3,0.9,0,1, 0-1,D,,O,,,,4.2,1.3,,N,29,21,5,16,38,10,20,7,1.1,0,41.7,0.29,0,0.07,0
AL,26/11/2023,Mainz 05,Hoffenheim,A,1.8,1.2,1,1, 1-1,N,,O,O,,,1.7,2.0,N,,24,35,11,24,50,13,19,10,1.6,0,48.4,0.0,0,0.01,0
AL,11/11/2023,Mainz 05,Darmstadt,A,0.7,0.5,0,0, 0-0,N,,O,,,,1.1,1.2,,,17,21,8,23,30,6,14,4,0.3,0,37.5,0.28,0,0.0,0
AL,4/11/2023,Mainz 05,RB Leipzig,H,0.9,0.5,2,0, 2-0,V,,O,,,O,0.9,1.0,O,,17,34,4,10,22,4,6,0,0.2,0,42.9,0.04,0,0.01,0
AL,27/10/2023,Mainz 05,Bochum,A,0.4,1.4,2,2, 2-2,N,,O,,,,0.7,1.3,,O,16,31,6,18,25,4,6,2,2.8,0,52.9,0.02,0,0.13,1
AL,21/10/2023,Mainz 05,Bayern Munich,H,1.1,1.8,1,3, 1-3,D,,O,,,,2.1,3.9,,N,29,36,7,16,35,7,13,4,1.8,0,48.4,0.09,0,0.03,0
AL,6/10/2023,Mainz 05,Mönchengladbach,A,0.8,2.3,2,2, 2-2,N,,O,,,,1.0,3.2,,O,20,28,8,15,25,1,8,3,3.1,0,52.6,0.14,1,0.35,0
AL,30/09/2023,Mainz 05,Bayer Leverkusen,H,0.5,1.1,0,3, 0-3,D,,O,,,,1.2,1.7,,N,15,25,10,16,36,3,15,2,2.2,0,25.0,0.16,0,0.0,0
AL,23/09/2023,Mainz 05,Augsburg,A,0.6,0.8,1,2, 1-2,D,Rouge 2,O,,,,1.8,1.3,N,,24,24,8,23,49,16,25,4,1.8,0,60.4,0.01,0,0.0,0
AL,16/09/2023,Mainz 05,Stuttgart,H,0.9,1.6,1,3, 1-3,D,,O,,,O,1.5,2.4,,N,28,24,8,12,27,8,8,1,2.3,1,32.6,0.03,0,0.0,0
AL,2/09/2023,Mainz 05,Werder Bremen,A,0.5,2.7,0,4, 0-4,D,,O,,,,1.6,4.5,,N,24,29,8,18,56,12,15,4,3.9,0,49.1,0.02,0,0.16,0
AL,27/08/2023,Mainz 05,Eintracht Frankfurt,H,1.2,1.1,1,1, 1-1,N,Rouge 2,O,,,,1.6,2.2,N,,22,34,11,23,31,8,12,4,0.8,0,58.9,0.08,0,0.06,0
AL,20/08/2023,Mainz 05,Union Berlin,A,2.3,1.9,1,4, 1-4,D,,O,,,,1.6,2.7,,N,17,27,1,3,38,7,11,1,2.4,0,42.4,0.0,0,0.11,0
