Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
ES,26/05/2024,Mallorca,Getafe,A,1.4,0.9,2,1, 2-1,V,,,,,O,2.1,1.2,,O,16,21,10,18,30,4,17,5,1.2,0,80.0,0.28,1,0.0,0
ES,19/05/2024,Mallorca,Almeria,H,3.0,0.4,2,2, 2-2,N,,,,,O,4.3,0.5,N,,56,28,9,20,60,14,28,4,0.8,0,56.8,0.1,0,0.1,0
ES,14/05/2024,Mallorca,Osasuna,A,1.0,0.4,1,1, 1-1,N,,,O,,,0.6,0.7,,O,15,28,4,12,33,6,8,0,1.0,0,43.6,0.0,0,0.0,0
ES,11/05/2024,Mallorca,Las Palmas,H,0.3,0.4,1,0, 1-0,V,,,,O,O,1.0,0.6,O,,13,33,2,8,36,7,8,0,0.4,0,48.6,0.05,0,0.0,0
ES,4/05/2024,Mallorca,Atletico Madrid,H,0.2,0.7,0,1, 0-1,D,,,,,,0.6,0.5,,N,13,16,3,7,52,6,19,1,0.2,1,50.0,0.12,0,0.02,0
ES,28/04/2024,Mallorca,Cadiz,A,0.9,0.4,1,1, 1-1,N,,,,,,1.1,0.7,N,,17,36,4,16,31,6,6,2,0.1,0,56.6,0.01,0,0.07,0
ES,22/04/2024,Mallorca,Sevilla,A,0.7,1.1,1,2, 1-2,D,,,,O,O,1.0,1.3,,N,15,19,8,15,23,3,11,2,1.0,0,45.2,0.24,1,0.04,0
ES,13/04/2024,Mallorca,Real Madrid,H,0.6,1.5,0,1, 0-1,D,,,,,,1.1,2.1,,N,12,32,3,4,29,7,9,1,1.3,0,34.6,0.1,0,0.07,0
ES,30/03/2024,Mallorca,Valencia,A,0.9,1.5,0,0, 0-0,N,,O,,,,1.4,1.7,,,19,30,7,13,41,7,13,5,0.7,0,55.3,0.1,0,0.07,0
ES,16/03/2024,Mallorca,Granada,H,1.6,0.4,1,0, 1-0,V,,,,O,,2.5,1.1,O,,33,24,14,25,36,11,22,4,0.6,0,64.4,0.13,1,0.11,0
ES,8/03/2024,Mallorca,Barcelona,A,0.6,2.0,0,1, 0-1,D,,,,,,1.2,1.9,,N,18,47,9,15,39,11,15,10,2.2,0,54.1,0.1,0,0.0,0
ES,3/03/2024,Mallorca,Girona,H,1.2,1.0,1,0, 1-0,V,,,,,O,1.5,1.6,O,,23,25,5,6,26,1,14,4,0.2,1,58.6,0.09,0,0.12,0
ES,24/02/2024,Mallorca,Alaves,A,2.2,0.5,1,1, 1-1,N,,O,,,,3.4,1.2,,O,26,19,13,20,37,10,18,9,0.4,0,55.2,0.07,0,0.1,1
ES,18/02/2024,Mallorca,Real Sociedad,H,0.1,1.1,1,2, 1-2,D,Rouge 1,,,O,,0.3,3.0,N,,6,30,4,8,14,1,2,0,1.2,0,55.0,0.07,1,0.15,0
ES,11/02/2024,Mallorca,Rayo Vallecano,H,0.9,1.6,2,1, 2-1,V,,,,,,0.9,1.3,O,,15,28,8,16,33,4,10,2,1.7,1,56.4,0.23,1,0.01,0
ES,2/02/2024,Mallorca,Athletic Club,A,0.4,1.7,0,4, 0-4,D,,,,,O,0.6,3.0,,N,9,36,10,15,17,2,9,1,2.6,0,37.1,0.2,0,0.09,1
ES,27/01/2024,Mallorca,Real Betis,H,1.5,0.4,0,1, 0-1,D,,,,,,2.6,1.0,,N,25,19,6,11,50,13,14,3,0.5,0,54.3,0.39,0,0.09,0
ES,20/01/2024,Mallorca,Villarreal,A,0.4,1.9,1,1, 1-1,N,Rouge 2,,O,,,1.1,3.1,,O,14,31,4,12,45,7,7,2,1.0,0,41.9,0.06,0,0.0,0
ES,13/01/2024,Mallorca,Celta Vigo,H,1.8,0.6,1,1, 1-1,N,,,O,,O,3.6,0.9,,O,29,36,10,29,50,10,10,4,0.9,0,56.9,0.17,0,0.07,0
ES,3/01/2024,Mallorca,Real Madrid,A,0.6,1.7,0,1, 0-1,D,,,O,O,,1.3,2.1,,N,13,22,6,9,19,6,13,1,1.5,0,61.9,0.07,0,0.08,1
ES,21/12/2023,Mallorca,Osasuna,H,1.1,1.6,3,2, 3-2,V,,,O,O,,1.6,1.4,,O,25,21,9,17,29,4,19,2,2.1,1,50.0,0.22,2,0.0,0
ES,17/12/2023,Mallorca,Almeria,A,1.9,0.3,0,0, 0-0,N,,,O,,,3.4,0.5,,,38,25,8,18,30,8,16,5,0.0,0,56.3,0.28,0,0.0,0
ES,9/12/2023,Mallorca,Sevilla,H,0.5,0.6,1,0, 1-0,V,,,O,,,0.8,1.1,O,,11,24,5,11,24,3,9,1,2.0,1,52.3,0.0,0,0.08,0
ES,3/12/2023,Mallorca,Alaves,H,0.8,0.3,0,0, 0-0,N,,,O,,O,1.4,0.6,,,14,31,12,21,49,13,19,3,0.3,1,44.7,0.15,0,0.0,0
ES,29/11/2023,Mallorca,Cadiz,H,1.1,0.3,1,1, 1-1,N,,,O,,O,2.1,0.4,N,,28,13,10,18,39,8,19,1,0.4,0,56.9,0.52,0,0.0,0
ES,25/11/2023,Mallorca,Atletico Madrid,A,1.1,1.7,0,1, 0-1,D,,O,O,,,1.5,3.0,,N,14,33,6,10,21,3,11,4,0.7,0,42.3,0.18,0,0.13,0
ES,4/11/2023,Mallorca,Real Betis,A,0.6,2.2,0,2, 0-2,D,Rouge 1,,,,,1.3,3.8,,N,11,26,3,9,18,2,11,1,1.1,1,57.6,0.02,0,0.06,0
