Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
UK,19/05/2024,Manchester United,Brighton,A,1.3,1.7,2,0, 2-0,V,,,,,,1.3,3.0,O,,21,28,14,22,23,6,25,8,0.8,0,50.0,0.0,0,0.23,0
UK,15/05/2024,Manchester United,Newcastle United,H,1.5,2.2,3,2, 3-2,V,,,,,,2.0,3.5,O,,32,31,5,13,28,10,21,7,1.3,0,51.7,0.21,0,0.3,0
UK,12/05/2024,Manchester United,Arsenal,H,0.5,1.5,0,1, 0-1,D,,O,,,,0.8,3.4,,N,26,22,18,30,30,4,26,7,1.2,0,56.5,0.0,0,0.21,0
UK,6/05/2024,Manchester United,Crystal Palace,A,0.4,1.7,0,4, 0-4,D,,O,,,,0.9,1.9,,N,14,33,4,17,45,7,15,2,1.7,1,57.1,0.07,0,0.07,0
UK,27/04/2024,Manchester United,Burnley,H,2.7,2.1,1,1, 1-1,N,,,,,,4.0,1.5,N,,51,24,6,13,46,16,23,15,2.2,1,52.0,0.09,0,0.0,0
UK,24/04/2024,Manchester United,Sheffield United,H,2.9,0.8,4,2, 4-2,V,,,,,,4.0,0.8,,O,44,21,8,17,47,14,28,9,2.2,1,54.2,0.4,0,0.03,0
UK,13/04/2024,Manchester United,Bournemouth,A,1.2,1.6,2,2, 2-2,N,,,,,,0.7,2.2,,O,12,18,6,20,51,12,15,3,0.8,1,57.1,0.0,0,0.03,0
UK,7/04/2024,Manchester United,Liverpool,H,0.7,3.6,2,2, 2-2,N,,,,,,1.0,4.7,,O,14,43,7,18,31,7,11,7,2.7,0,47.8,0.02,0,0.32,0
UK,4/04/2024,Manchester United,Chelsea,A,1.5,3.0,3,4, 3-4,D,,,,,,1.9,2.3,,N,33,36,9,18,31,9,24,9,2.7,0,43.8,0.14,0,0.31,1
UK,30/03/2024,Manchester United,Brentford,A,0.6,3.2,1,1, 1-1,N,,,,O,,1.3,4.8,,O,20,27,5,14,29,4,16,5,1.6,0,37.8,0.11,0,0.43,0
UK,9/03/2024,Manchester United,Everton,H,2.7,1.6,2,0, 2-0,V,,,,,,1.8,2.1,,,30,20,5,12,28,9,13,8,1.0,0,36.4,0.05,0,0.3,0
UK,3/03/2024,Manchester United,Manchester City,A,0.2,3.3,1,3, 1-3,D,,,,,,0.4,5.5,N,,6,29,6,8,15,2,12,3,3.7,1,52.6,0.04,0,0.02,0
UK,24/02/2024,Manchester United,Fulham,H,1.7,1.2,1,2, 1-2,D,,,,,,2.5,1.9,,N,38,23,10,24,45,8,17,2,1.1,0,47.4,0.25,0,0.14,0
UK,18/02/2024,Manchester United,Luton,A,2.9,1.8,2,1, 2-1,V,,,,,,2.8,2.7,O,,37,27,11,20,30,6,24,10,0.8,1,38.1,0.07,0,0.18,0
