Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
FR,19/05/2024,Marseille,Le Havre,A,1.5,1.8,2,1, 2-1,V,,,,,O,2.8,1.2,O,,41,29,5,13,62,14,18,3,2.7,1,48.0,0.0,0,0.13,0
FR,15/05/2024,Marseille,Reims,A,1.7,1.1,0,1, 0-1,D,,,,,O,3.3,1.8,,,34,26,7,19,67,16,19,3,0.1,0,50.0,0.59,0,0.0,0
FR,12/05/2024,Marseille,Lorient,H,2.5,1.5,3,1, 3-1,V,,,O,O,,2.2,2.9,O,,23,24,8,19,36,12,15,5,0.4,1,56.7,0.0,0,0.16,0
C3,9/05/2024,Marseille,Atalanta,A,0.4,1.8,0,3, 0-3,D,,,,,,0.6,1.7,,N,8,33,4,15,34,4,8,0,2.9,0,50.0,0.0,0,0.0,0
C3,2/05/2024,Marseille,Atalanta,H,0.9,0.8,1,1, 1-1,N,,,,,,1.2,1.2,,O,25,26,11,22,38,5,15,5,0.8,0,41.4,0.19,0,0.02,0
FR,28/04/2024,Marseille,Lens,H,1.7,1.2,2,1, 2-1,V,,,,,,2.0,1.7,O,,23,20,4,10,21,7,15,1,1.1,2,60.7,0.05,0,0.07,0
FR,24/04/2024,Marseille,Nice,H,2.2,1.4,2,2, 2-2,N,Rouge 1,,,,,2.0,2.2,,O,21,36,6,11,32,5,17,5,1.1,0,33.3,0.09,0,0.23,0
FR,21/04/2024,Marseille,Toulouse,A,1.1,0.5,2,2, 2-2,N,,,,O,O,1.2,1.1,,O,15,32,4,14,40,7,15,5,0.5,0,36.8,0.18,1,0.26,1
C3,18/04/2024,Marseille,Benfica,H,1.6,1.3,1,0, 1-0,V,,,,O,,3.9,1.8,O,,32,29,13,24,71,16,30,4,1.1,0,32.4,0.23,0,0.25,0
C3,11/04/2024,Marseille,Benfica,A,0.9,1.0,1,2, 1-2,D,,,,O,,1.3,2.4,,N,22,25,10,27,36,9,19,1,1.9,0,75.0,0.12,0,0.07,0
FR,5/04/2024,Marseille,Lille,A,1.2,1.8,1,3, 1-3,D,,,,O,,1.3,1.6,,N,26,29,8,16,37,6,21,2,2.5,0,47.4,0.09,0,0.24,0
FR,31/03/2024,Marseille,Paris,H,1.4,2.1,0,2, 0-2,D,Rouge 2,,,O,,1.6,2.4,,N,40,32,11,20,59,7,22,7,1.6,0,58.3,0.0,0,0.0,0
