Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
FR,19/05/2024,Metz,Paris,H,0.9,2.0,0,2, 0-2,D,,,,,O,1.2,4.3,,N,19,21,6,11,24,4,16,7,3.2,0,25.9,0.0,0,0.05,1
FR,12/05/2024,Metz,Strasbourg,A,1.1,1.3,1,2, 1-2,D,,,O,,,1.4,1.8,N,,18,32,3,13,24,4,12,4,1.3,1,46.2,0.37,0,0.0,0
FR,4/05/2024,Metz,Rennes,H,0.6,2.1,2,3, 2-3,D,Rouge 1,,O,,,0.8,2.2,N,,14,30,5,17,23,3,10,0,2.8,0,45.9,0.02,0,0.11,0
FR,28/04/2024,Metz,Lille,H,1.1,0.8,1,2, 1-2,D,,,,,O,0.5,2.1,,N,5,30,10,18,18,2,12,3,1.5,0,44.4,0.09,0,0.13,0
FR,21/04/2024,Metz,Le Havre,A,1.3,0.7,1,0, 1-0,V,,,,O,O,1.0,1.2,O,,14,25,7,19,13,2,8,4,0.8,0,42.9,0.07,0,0.21,0
FR,12/04/2024,Metz,Lens,H,0.8,1.5,2,1, 2-1,V,,,,O,O,1.3,1.6,O,,20,15,9,17,17,4,10,2,1.5,1,56.8,0.11,0,0.13,0
FR,7/04/2024,Metz,Brest,A,2.2,3.2,3,4, 3-4,D,,,,,,1.8,5.0,N,,13,12,19,32,28,4,17,5,4.0,0,36.7,0.21,1,0.36,1
FR,30/03/2024,Metz,Monaco,H,2.1,2.4,2,5, 2-5,D,,,,,,2.6,3.0,,N,24,26,20,33,41,9,13,3,3.2,1,45.0,0.11,0,0.05,0
FR,17/03/2024,Metz,Reims,A,0.9,2.2,1,2, 1-2,D,,,,,,1.5,3.6,,N,21,25,3,11,19,9,12,3,2.5,2,25.9,0.06,0,0.29,0
FR,10/03/2024,Metz,Clermont Foot,H,1.7,0.8,1,0, 1-0,V,,,,,,1.0,2.5,,,15,25,8,14,21,3,12,1,0.6,0,53.3,0.1,0,0.15,0
FR,3/03/2024,Metz,Nantes,A,2.0,0.9,2,0, 2-0,V,,,,,,2.1,2.5,O,,24,29,10,20,28,6,22,4,0.0,0,43.8,0.38,0,0.0,0
FR,23/02/2024,Metz,Lyon,H,1.6,1.6,1,2, 1-2,D,,,,,O,1.9,2.1,N,,25,34,6,22,33,5,14,4,1.1,0,42.9,0.18,0,0.0,0
FR,18/02/2024,Metz,Montpellier,A,1.3,3.0,0,3, 0-3,D,,,,,,1.8,3.2,,N,25,32,6,16,39,6,12,3,2.6,1,38.9,0.16,0,0.7,1
FR,9/02/2024,Metz,Marseille,A,0.8,1.8,1,1, 1-1,N,Rouge 2,,,,O,1.3,3.2,,O,12,26,4,20,25,4,18,2,0.7,0,43.2,0.03,0,0.11,0
FR,4/02/2024,Metz,Lorient,H,1.1,1.4,1,2, 1-2,D,,,,,,1.3,1.5,,N,18,29,5,19,42,6,9,4,0.8,0,41.4,0.06,0,0.14,0
FR,27/01/2024,Metz,Nice,A,0.1,2.2,0,1, 0-1,D,,,,O,,0.2,1.8,,,3,30,8,21,23,4,8,1,1.6,1,36.8,0.0,0,0.07,0
FR,14/01/2024,Metz,Toulouse,H,0.7,1.0,0,1, 0-1,D,Rouge 1,,,O,O,1.2,0.6,,,26,26,17,39,27,6,15,2,1.0,0,39.3,0.11,0,0.0,0
FR,20/12/2023,Metz,Paris,A,0.1,2.4,1,3, 1-3,D,,O,,,O,0.3,3.0,,N,6,24,11,15,12,2,15,2,2.5,1,41.7,0.1,1,0.0,0
FR,17/12/2023,Metz,Montpellier,H,0.8,0.5,0,1, 0-1,D,,O,,,O,1.1,0.5,,N,31,26,7,15,55,9,32,2,0.8,0,42.1,0.07,0,0.12,1
FR,10/12/2023,Metz,Brest,H,0.2,0.3,0,1, 0-1,D,,O,,,O,0.2,0.6,,N,8,32,12,39,26,3,13,4,0.3,0,38.1,0.0,0,0.0,0
FR,3/12/2023,Metz,Lille,A,1.9,2.9,0,2, 0-2,D,,O,,,,0.5,2.9,,N,11,27,5,14,21,3,8,1,1.9,0,35.7,0.0,0,0.25,0
FR,26/11/2023,Metz,Lorient,A,1.9,1.2,3,2, 3-2,V,,O,,,,2.0,1.9,O,,26,34,6,10,22,10,16,0,1.8,1,50.0,0.09,0,0.19,0
FR,12/11/2023,Metz,Nantes,H,1.1,1.3,3,1, 3-1,V,,O,,,,1.7,2.2,O,,17,22,9,13,31,5,15,3,0.4,0,56.3,0.06,0,0.07,0
FR,5/11/2023,Metz,Lyon,A,0.7,1.9,1,1, 1-1,N,,O,,,O,0.6,3.1,N,,18,31,10,19,36,2,14,3,0.8,0,26.3,0.0,0,0.02,0
FR,29/10/2023,Metz,Le Havre,H,0.5,0.7,0,0, 0-0,N,,O,,,O,1.0,1.2,,,17,18,12,20,27,4,9,1,0.8,0,42.4,0.11,0,0.0,0
FR,22/10/2023,Metz,Monaco,A,1.0,2.0,1,2, 1-2,D,,O,,,,1.0,3.6,N,,13,29,7,20,15,3,11,3,2.7,0,33.3,0.0,0,0.19,0
FR,7/10/2023,Metz,Nice,H,0.4,1.4,0,1, 0-1,D,,O,,,,0.6,2.3,,N,17,31,8,17,28,5,19,1,2.3,0,44.0,0.09,0,0.34,0
FR,1/10/2023,Metz,Toulouse,A,0.7,1.3,0,3, 0-3,D,,O,,,,1.1,3.4,,N,15,20,10,23,28,4,16,4,2.2,0,38.7,0.13,0,0.0,0
FR,24/09/2023,Metz,Strasbourg,H,1.1,0.4,0,1, 0-1,D,,O,,,,1.6,0.6,,N,22,29,9,17,46,4,19,3,0.1,0,44.4,0.09,0,0.0,0
FR,16/09/2023,Metz,Lens,A,0.3,2.0,1,0, 1-0,V,,O,,,,0.1,3.6,O,,4,26,3,9,16,2,6,1,0.7,0,54.5,0.0,0,0.06,0
FR,3/09/2023,Metz,Reims,H,1.1,0.7,2,2, 2-2,N,,O,,,,1.5,2.3,N,,22,28,7,16,24,5,14,3,0.4,0,42.3,0.44,0,0.0,0
FR,27/08/2023,Metz,Clermont Foot,A,1.1,0.7,1,0, 1-0,V,,,,,,0.6,1.3,O,,12,32,14,28,27,3,11,7,0.3,0,39.1,0.0,0,0.02,0
FR,18/08/2023,Metz,Marseille,H,0.5,1.9,2,2, 2-2,N,Rouge 1,,O,,,0.7,2.9,,O,17,26,7,16,24,3,12,3,0.9,0,21.7,0.0,0,0.47,0
FR,13/08/2023,Metz,Rennes,A,0.4,4.0,1,5, 1-5,D,,,O,,,0.9,4.1,,N,18,28,7,22,27,4,8,3,4.1,0,52.9,0.17,0,0.06,0
