Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
IT,25/05/2024,Milan,Salernitana,H,3.0,1.7,3,3, 3-3,N,,,,,,3.6,1.2,N,,43,20,15,25,54,15,31,10,0.9,0,76.2,0.31,1,0.45,1
IT,18/05/2024,Milan,Torino,A,1.9,0.9,1,3, 1-3,D,,,,O,O,1.9,1.3,,N,28,14,4,15,37,10,17,9,1.9,0,45.8,0.22,0,0.02,0
IT,11/05/2024,Milan,Cagliari,H,3.3,1.5,5,1, 5-1,V,,,,,,3.7,1.2,O,,30,21,12,24,44,11,26,5,1.9,0,55.0,0.02,0,0.05,0
IT,5/05/2024,Milan,Genoa,H,2.8,1.0,3,3, 3-3,N,,,,,,4.1,0.5,N,,46,16,11,20,54,11,30,7,1.1,0,39.1,0.22,1,0.0,0
IT,27/04/2024,Milan,Juventus,A,0.3,1.4,0,0, 0-0,N,,,,O,,1.0,1.6,,,16,27,5,18,34,5,15,6,1.3,0,70.8,0.1,0,0.12,0
IT,22/04/2024,Milan,Inter,H,2.2,2.0,1,2, 1-2,D,Rouge 1,,,,,2.6,3.1,,N,25,17,6,15,49,16,31,4,0.5,0,43.8,0.03,0,0.08,0
C3,18/04/2024,Milan,Roma,A,1.0,1.4,1,2, 1-2,D,Rouge 2,,,,,2.5,0.5,,N,40,12,18,29,54,12,33,4,1.6,0,47.8,0.04,0,0.0,0
IT,14/04/2024,Milan,Sassuolo,A,2.8,1.2,3,3, 3-3,N,,,,,,2.7,0.9,,O,40,20,15,27,45,9,35,14,1.5,2,67.7,0.08,0,0.0,0
C3,11/04/2024,Milan,Roma,H,1.6,0.6,0,1, 0-1,D,,,,,,2.5,1.4,,N,44,22,7,20,59,12,25,4,1.0,0,54.2,0.15,0,0.23,1
IT,6/04/2024,Milan,Lecce,H,1.5,0.5,3,0, 3-0,V,Rouge 2,,,,,2.8,0.8,O,,31,28,15,26,60,13,25,7,0.6,0,50.0,0.18,1,0.02,0
