Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
FR,19/05/2024,Monaco,Nantes,H,1.5,1.0,4,0, 4-0,V,,O,,O,O,1.8,1.3,O,,18,34,9,23,61,7,20,3,0.2,0,63.6,0.12,1,0.0,0
FR,12/05/2024,Monaco,Montpellier,A,2.3,1.1,2,0, 2-0,V,,O,,O,,2.8,1.7,O,,32,37,7,16,51,8,34,13,0.6,0,47.8,0.0,0,0.03,0
FR,4/05/2024,Monaco,Clermont Foot,H,3.6,1.4,4,1, 4-1,V,,O,,,,5.0,2.3,O,,38,29,7,11,62,17,16,5,0.9,0,64.3,0.05,0,0.13,0
FR,28/04/2024,Monaco,Lyon,A,1.7,2.2,2,3, 2-3,D,,O,O,,,2.4,4.3,N,,25,32,6,17,56,12,24,3,1.3,0,53.6,0.03,0,0.14,0
FR,24/04/2024,Monaco,Lille,H,1.6,1.3,1,0, 1-0,V,,O,O,,,2.3,2.8,O,,26,39,7,17,37,6,30,9,0.4,0,27.3,0.17,0,0.36,0
FR,21/04/2024,Monaco,Brest,A,0.9,0.6,2,0, 2-0,V,,O,,,,1.5,1.3,O,,12,29,11,17,46,7,11,6,0.3,0,48.5,0.08,0,0.33,0
FR,7/04/2024,Monaco,Rennes,H,2.0,1.3,1,0, 1-0,V,Rouge 2,,,,,2.4,1.1,O,,26,22,7,13,40,10,9,2,2.1,1,56.5,0.11,0,0.0,0
FR,30/03/2024,Monaco,Metz,A,2.4,2.1,5,2, 5-2,V,,,,,,3.0,2.6,O,,27,34,4,11,60,16,24,5,3.2,0,55.0,0.05,0,0.11,0
FR,17/03/2024,Monaco,Lorient,H,2.5,0.8,2,2, 2-2,N,,,,O,,4.5,1.5,N,,40,36,6,14,55,20,18,7,0.7,0,35.7,0.21,0,0.08,0
FR,10/03/2024,Monaco,Strasbourg,A,1.3,0.4,1,0, 1-0,V,,,,O,,2.3,0.6,O,,30,16,2,9,66,17,15,5,0.1,2,59.5,0.06,0,0.03,0
FR,1/03/2024,Monaco,Paris,H,1.6,1.5,0,0, 0-0,N,,,,O,,2.6,2.3,,,24,33,9,13,47,11,18,11,1.8,0,46.7,0.03,0,0.01,0
FR,25/02/2024,Monaco,Lens,A,2.3,2.9,3,2, 3-2,V,,,,O,,1.9,4.7,O,,24,27,10,19,40,3,18,8,3.1,1,65.4,0.0,0,0.27,0
FR,18/02/2024,Monaco,Toulouse,H,1.7,1.4,1,2, 1-2,D,,O,O,O,,2.5,1.9,,N,37,27,7,22,59,14,17,7,2.4,1,45.2,0.0,0,0.0,0
FR,11/02/2024,Monaco,Nice,A,1.7,2.1,3,2, 3-2,V,Rouge 2,,O,O,,2.6,1.5,O,,14,33,7,15,32,5,10,2,2.2,0,50.0,0.0,0,0.16,1
FR,4/02/2024,Monaco,Le Havre,H,1.4,0.1,1,1, 1-1,N,,,O,,,2.3,0.3,N,,29,43,8,19,65,17,19,2,0.0,0,55.3,0.15,0,0.04,0
FR,27/01/2024,Monaco,Marseille,A,0.5,2.4,2,2, 2-2,N,Rouge 1,,O,,,0.8,3.2,N,,10,32,12,24,22,6,15,2,3.7,0,52.9,0.0,0,0.07,0
FR,13/01/2024,Monaco,Reims,H,1.2,1.5,1,3, 1-3,D,,,O,,,2.0,1.4,,N,15,30,9,18,54,14,21,7,2.5,1,31.6,0.0,0,0.0,0
FR,20/12/2023,Monaco,Toulouse,A,1.9,1.4,2,1, 2-1,V,Rouge 1,,O,,,1.2,2.9,,O,24,24,7,14,41,9,14,6,1.4,1,43.8,0.05,0,0.08,0
FR,15/12/2023,Monaco,Lyon,H,1.3,0.7,0,1, 0-1,D,,O,,O,,2.4,1.1,,N,35,35,16,26,55,9,19,7,0.6,0,57.1,0.11,0,0.0,0
FR,9/12/2023,Monaco,Rennes,A,0.9,1.7,2,1, 2-1,V,Rouge 1,,,,,1.9,1.4,O,,22,25,3,11,40,10,19,4,2.0,0,68.2,0.17,0,0.37,0
FR,3/12/2023,Monaco,Montpellier,H,2.2,0.9,2,0, 2-0,V,Rouge 2,,,,O,2.1,0.9,O,,45,42,14,26,59,16,32,11,0.5,2,55.0,0.17,0,0.0,0
FR,24/11/2023,Monaco,Paris,A,1.6,2.6,2,5, 2-5,D,,,,,O,2.7,2.3,,N,24,36,13,25,45,9,16,7,3.4,2,20.0,0.21,0,0.18,1
FR,11/11/2023,Monaco,Le Havre,A,0.6,1.4,0,0, 0-0,N,,,,O,,1.5,0.8,,,17,32,8,15,61,9,17,3,2.0,1,56.5,0.0,0,0.02,0
FR,5/11/2023,Monaco,Brest,H,0.8,0.8,2,0, 2-0,V,,,,O,,1.2,1.5,O,,16,36,10,19,42,6,22,7,0.1,1,52.2,0.0,0,0.13,0
FR,29/10/2023,Monaco,Lille,A,0.6,0.5,0,2, 0-2,D,,,,O,,1.1,0.7,,N,29,24,12,20,58,12,17,1,1.3,0,54.5,0.09,0,0.0,0
FR,22/10/2023,Monaco,Metz,H,2.0,1.0,2,1, 2-1,V,,,,O,,3.6,1.0,,O,49,27,9,21,94,14,22,5,0.9,0,66.7,0.19,0,0.0,0
FR,7/10/2023,Monaco,Reims,A,1.2,1.5,3,1, 3-1,V,,,,O,,2.8,1.7,O,,18,40,19,25,34,7,19,3,1.6,0,45.7,0.09,0,0.0,0
FR,30/09/2023,Monaco,Marseille,H,1.0,1.0,3,2, 3-2,V,,O,,,,1.0,1.9,,O,19,36,10,14,37,7,8,4,1.4,0,51.5,0.13,1,0.1,0
FR,22/09/2023,Monaco,Nice,H,1.8,0.9,0,1, 0-1,D,,,,,,1.0,1.4,,N,18,33,6,15,36,14,16,5,1.3,0,30.8,0.03,0,0.2,0
FR,17/09/2023,Monaco,Lorient,A,1.7,0.9,2,2, 2-2,N,,,,,,2.7,1.9,,O,35,17,15,23,59,12,15,7,1.2,0,47.6,0.13,0,0.05,0
FR,2/09/2023,Monaco,Lens,H,0.9,0.6,3,0, 3-0,V,,,,,,2.4,0.9,O,,24,17,6,15,43,9,15,1,0.5,0,50.0,0.11,2,0.0,0
FR,25/08/2023,Monaco,Nantes,A,3.3,1.0,3,3, 3-3,N,,,,,,3.8,0.7,,O,42,27,6,12,74,15,20,4,1.6,0,37.5,0.03,0,0.05,1
FR,20/08/2023,Monaco,Strasbourg,H,0.9,0.5,3,0, 3-0,V,,,,,,1.4,1.0,O,,14,31,14,19,56,7,13,3,0.0,0,45.0,0.01,0,0.0,0
FR,13/08/2023,Monaco,Clermont Foot,A,2.5,1.8,4,2, 4-2,V,,,O,,,4.8,2.7,,O,26,43,5,15,39,10,11,4,1.4,1,45.5,0.0,0,0.05,1
