Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
FR,19/05/2024,Montpellier,Lens,A,0.8,5.2,2,2, 2-2,N,,O,,O,,1.3,7.4,,O,18,31,6,22,20,5,13,3,3.9,0,42.1,0.0,0,0.02,0
FR,12/05/2024,Montpellier,Monaco,H,1.1,2.3,0,2, 0-2,D,,O,,O,,1.7,2.8,,N,24,26,12,24,33,6,20,5,2.9,1,52.2,0.03,0,0.0,0
FR,3/05/2024,Montpellier,Toulouse,A,0.5,1.3,2,1, 2-1,V,Rouge 1,,O,O,,0.6,1.9,O,,9,37,11,23,20,6,8,3,1.3,0,38.5,0.0,0,0.28,0
FR,26/04/2024,Montpellier,Nantes,H,0.8,1.3,1,1, 1-1,N,Rouge 1,,,,,1.2,2.2,N,,14,18,6,11,49,7,17,1,1.3,0,45.2,0.12,0,0.05,0
FR,21/04/2024,Montpellier,Reims,A,1.6,1.5,2,1, 2-1,V,,,,,,1.4,3.1,O,,20,29,6,11,28,4,20,9,1.3,0,47.8,0.0,0,0.17,1
FR,14/04/2024,Montpellier,Clermont Foot,A,1.4,1.5,1,1, 1-1,N,,,,,,2.4,1.4,N,,26,20,8,23,47,8,14,6,1.0,0,47.4,0.18,0,0.14,0
FR,7/04/2024,Montpellier,Lorient,H,2.4,1.4,2,0, 2-0,V,,,,,,2.5,2.4,O,,21,24,8,14,43,6,24,9,1.1,0,47.8,0.23,0,0.21,0
FR,31/03/2024,Montpellier,Le Havre,A,1.6,0.8,2,0, 2-0,V,,,,,O,2.8,1.5,O,,24,31,11,26,26,8,14,7,0.5,0,51.5,0.19,0,0.14,0
FR,17/03/2024,Montpellier,Paris,H,2.3,1.5,2,6, 2-6,D,,,O,,O,1.3,2.8,,N,17,18,7,16,19,4,12,6,2.9,0,33.3,0.0,0,0.11,1
FR,8/03/2024,Montpellier,Nice,A,1.2,1.1,2,1, 2-1,V,,,O,,,0.5,1.9,,O,11,30,9,16,17,3,13,3,0.7,0,50.0,0.04,0,0.0,0
