Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
IT,25/05/2024,Monza,Juventus,A,0.6,0.9,0,2, 0-2,D,,O,,,,1.4,1.6,,N,18,25,6,15,42,7,19,3,1.0,0,62.5,0.02,0,0.17,1
IT,19/05/2024,Monza,Frosinone,H,1.0,2.0,0,1, 0-1,D,,O,,,,1.6,2.6,,N,24,19,5,16,47,10,23,2,1.8,0,65.6,0.16,0,0.0,0
IT,13/05/2024,Monza,Fiorentina,A,0.7,2.5,1,2, 1-2,D,,O,,,O,0.9,4.4,N,,11,19,5,14,28,4,8,0,2.6,0,54.8,0.0,0,0.0,0
IT,4/05/2024,Monza,Lazio,H,1.7,1.4,2,2, 2-2,N,,O,,,O,2.1,0.8,,O,29,10,8,17,42,7,26,5,2.4,1,63.6,0.02,0,0.02,0
IT,27/04/2024,Monza,Lecce,A,1.1,0.9,1,1, 1-1,N,,O,,,,0.5,0.5,,O,15,16,13,24,25,4,17,5,1.2,1,58.8,0.05,0,0.0,0
IT,21/04/2024,Monza,Atalanta,H,1.1,1.5,1,2, 1-2,D,,O,,,,1.6,2.6,,N,30,22,14,25,28,5,24,3,1.8,0,45.5,0.0,0,0.43,1
IT,13/04/2024,Monza,Bologna,A,0.4,2.1,0,0, 0-0,N,,O,,,O,0.9,4.0,,,8,23,7,10,17,5,8,2,2.4,0,62.5,0.0,0,0.59,0
IT,7/04/2024,Monza,Napoli,H,0.4,2.2,2,4, 2-4,D,,O,,O,,0.7,2.4,N,,14,22,5,15,21,3,16,3,3.9,1,50.0,0.0,0,0.01,0
IT,30/03/2024,Monza,Torino,A,0.8,1.6,0,1, 0-1,D,Rouge 1,O,,,,1.1,1.4,,,18,17,3,4,11,6,9,0,2.1,0,50.0,0.0,0,0.17,0
IT,16/03/2024,Monza,Cagliari,H,1.0,0.4,1,0, 1-0,V,,O,,,,1.6,0.7,O,,28,20,6,12,27,8,25,4,0.0,0,44.4,0.04,0,0.08,0
IT,9/03/2024,Monza,Genoa,A,1.7,2.1,3,2, 3-2,V,,O,,,O,1.8,1.7,O,,13,27,6,12,13,4,13,4,1.6,1,51.6,0.0,0,0.25,0
IT,2/03/2024,Monza,Roma,H,0.9,1.8,1,4, 1-4,D,,O,,,,1.4,1.8,,N,28,18,4,10,30,5,17,7,2.4,0,64.3,0.16,0,0.09,0
IT,24/02/2024,Monza,Salernitana,A,2.4,0.9,2,0, 2-0,V,,O,,,,5.1,1.3,O,,32,16,1,5,37,11,23,0,0.3,0,68.2,0.14,0,0.08,0
IT,18/02/2024,Monza,Milan,H,1.8,1.3,4,2, 4-2,V,Rouge 2,O,,,,1.1,2.2,O,,22,22,3,12,22,7,19,8,1.5,0,52.4,0.0,0,0.03,0
IT,11/02/2024,Monza,Verona,H,0.7,0.7,0,0, 0-0,N,,O,,,,0.5,1.0,,,14,20,6,15,37,4,12,2,0.3,0,37.1,0.06,0,0.2,0
IT,3/02/2024,Monza,Udinese,A,0.1,0.9,0,0, 0-0,N,,O,,,O,0.3,1.1,,,4,26,3,6,18,3,10,0,1.2,0,42.1,0.05,0,0.07,0
IT,28/01/2024,Monza,Sassuolo,H,0.4,0.8,1,0, 1-0,V,,O,,,O,0.7,1.0,O,,21,28,6,14,28,7,18,4,0.4,0,59.1,0.05,0,0.05,0
IT,21/01/2024,Monza,Empoli,A,0.8,1.3,0,3, 0-3,D,,O,,,,1.4,1.8,,N,29,18,4,8,67,2,20,5,2.4,0,58.6,0.29,0,0.08,0
IT,13/01/2024,Monza,Inter,H,1.0,4.3,1,5, 1-5,D,,O,,,,0.5,4.0,,N,17,15,7,12,34,3,20,4,4.7,0,54.5,0.07,0,0.13,0
IT,6/01/2024,Monza,Frosinone,A,1.3,1.2,3,2, 3-2,V,Rouge 2,O,,,,2.0,0.8,O,,13,37,5,7,20,7,12,1,1.3,0,48.1,0.0,0,0.03,0
IT,29/12/2023,Monza,Napoli,A,1.1,2.0,0,0, 0-0,N,,O,,,,0.9,3.4,,,13,29,2,8,13,4,16,5,1.7,0,42.9,0.02,0,0.31,0
