Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
AL,18/05/2024,Mönchengladbach,Stuttgart,A,1.3,1.6,0,4, 0-4,D,,O,O,,,2.4,3.2,,N,25,25,6,13,29,10,12,4,1.8,0,61.5,0.0,0,0.13,0
AL,11/05/2024,Mönchengladbach,Eintracht Frankfurt,H,0.4,1.5,1,1, 1-1,N,,,O,,,0.6,3.9,N,,11,43,5,15,26,3,11,4,0.8,0,36.8,0.0,0,0.4,0
AL,4/05/2024,Mönchengladbach,Werder Bremen,A,1.9,1.4,2,2, 2-2,N,,,O,,,2.2,2.5,N,,27,27,11,19,37,8,26,6,1.0,0,75.0,0.06,0,0.41,1
AL,28/04/2024,Mönchengladbach,Union Berlin,H,0.9,1.0,0,0, 0-0,N,,O,O,,O,1.5,1.3,,,23,32,4,14,26,9,16,6,1.0,1,39.6,0.23,0,0.07,0
AL,20/04/2024,Mönchengladbach,Hoffenheim,A,1.0,2.3,3,4, 3-4,D,,O,,,,2.1,4.1,,N,24,23,6,12,35,8,12,5,2.5,1,47.2,0.04,0,0.2,0
AL,13/04/2024,Mönchengladbach,Dortmund,H,1.1,1.3,1,2, 1-2,D,Rouge 2,,,,,2.0,0.9,,N,31,26,5,12,43,14,30,3,1.5,0,70.0,0.17,1,0.0,0
AL,7/04/2024,Mönchengladbach,Wolfsburg,A,1.1,1.2,3,1, 3-1,V,,,,,,1.8,2.6,,O,17,24,7,12,29,7,10,3,0.6,0,50.0,0.14,0,0.09,0
AL,30/03/2024,Mönchengladbach,Freiburg,H,1.5,1.7,0,3, 0-3,D,,,,,,3.8,2.6,,N,36,22,8,21,44,8,30,8,2.6,0,74.1,0.75,0,0.01,0
AL,16/03/2024,Mönchengladbach,Heidenheim,A,0.5,1.1,1,1, 1-1,N,,,,O,,0.9,2.4,N,,9,25,9,18,22,5,20,1,0.4,0,48.4,0.0,0,0.41,0
AL,9/03/2024,Mönchengladbach,Köln,H,1.8,0.6,3,3, 3-3,N,,,,O,,4.0,1.5,,O,27,27,5,17,54,11,23,7,1.5,1,50.0,0.08,0,0.16,1
AL,2/03/2024,Mönchengladbach,Mainz 05,A,1.0,1.0,1,1, 1-1,N,,,,O,,1.9,1.3,,O,27,28,2,10,41,11,23,3,0.9,0,56.3,0.05,0,0.13,0
AL,24/02/2024,Mönchengladbach,Bochum,H,3.5,1.6,5,2, 5-2,V,,,,O,,5.3,3.2,O,,38,37,6,17,36,12,12,3,1.6,0,53.6,0.21,0,0.13,0
AL,17/02/2024,Mönchengladbach,RB Leipzig,A,0.7,1.7,0,2, 0-2,D,,,,O,,1.7,3.4,,N,24,22,8,17,47,12,17,3,1.8,0,45.8,0.03,0,0.21,0
AL,10/02/2024,Mönchengladbach,Darmstadt,H,1.5,0.7,0,0, 0-0,N,,,,,,1.8,1.4,,,43,21,16,27,50,11,24,8,0.0,0,76.2,0.18,0,0.0,0
AL,3/02/2024,Mönchengladbach,Bayern Munich,A,1.0,2.1,1,3, 1-3,D,,,O,O,,1.2,2.7,N,,18,28,5,14,37,4,11,4,1.8,2,75.0,0.03,0,0.19,1
AL,27/01/2024,Mönchengladbach,Bayer Leverkusen,A,0.3,2.9,0,0, 0-0,N,,,O,O,,0.8,6.9,,,8,33,8,13,10,2,7,2,1.8,1,33.3,0.0,0,0.36,0
AL,21/01/2024,Mönchengladbach,Augsburg,H,1.7,1.3,1,2, 1-2,D,,,O,,O,3.1,2.5,N,,35,25,3,12,44,11,25,6,2.0,2,59.4,0.15,0,0.04,0
AL,14/01/2024,Mönchengladbach,Stuttgart,H,1.9,0.9,3,1, 3-1,V,,,O,,,2.0,2.5,O,,14,37,6,12,19,5,13,3,0.4,0,36.4,0.11,0,0.1,0
AL,20/12/2023,Mönchengladbach,Eintracht Frankfurt,A,0.3,1.4,1,2, 1-2,D,,,,,,0.5,1.4,,N,13,36,5,17,26,3,13,0,2.0,1,42.9,0.12,1,0.12,0
AL,15/12/2023,Mönchengladbach,Werder Bremen,H,1.4,1.6,2,2, 2-2,N,,,,,,2.2,2.6,,O,26,22,10,20,42,10,16,4,2.4,1,46.9,0.0,0,0.04,0
AL,9/12/2023,Mönchengladbach,Union Berlin,A,1.1,2.1,1,3, 1-3,D,,,,,,2.0,2.0,,N,21,20,9,16,56,8,28,3,1.5,1,48.4,0.03,0,0.14,0
AL,2/12/2023,Mönchengladbach,Hoffenheim,H,1.6,1.4,2,1, 2-1,V,,,O,,O,1.6,2.5,,O,15,27,3,10,35,5,10,4,1.4,1,45.0,0.05,0,0.14,0
AL,25/11/2023,Mönchengladbach,Dortmund,A,1.0,3.2,2,4, 2-4,D,,,,,,2.1,3.9,N,,17,25,9,24,48,12,16,4,4.8,2,46.7,0.04,0,0.11,0
AL,10/11/2023,Mönchengladbach,Wolfsburg,H,1.5,0.5,4,0, 4-0,V,,,,,,2.9,1.0,O,,24,22,13,18,31,5,17,8,0.4,0,53.8,0.07,1,0.03,0
AL,4/11/2023,Mönchengladbach,Freiburg,A,2.2,3.3,3,3, 3-3,N,,,,,,2.1,4.4,,O,20,28,6,9,22,6,12,5,4.2,0,40.0,0.0,0,0.31,0
AL,28/10/2023,Mönchengladbach,Heidenheim,H,1.0,0.4,2,1, 2-1,V,,,,,,1.9,0.9,O,,23,33,15,25,51,6,23,6,0.8,0,55.3,0.28,0,0.03,0
AL,22/10/2023,Mönchengladbach,Köln,A,0.3,2.7,1,3, 1-3,D,Rouge 1,,,,,0.4,2.8,N,,10,24,5,16,24,1,6,3,3.5,1,40.0,0.18,1,0.13,0
AL,6/10/2023,Mönchengladbach,Mainz 05,H,2.3,0.8,2,2, 2-2,N,,,,,,3.2,1.0,N,,38,31,9,19,59,11,28,7,1.8,0,47.4,0.35,0,0.14,1
AL,30/09/2023,Mönchengladbach,Bochum,A,2.9,1.7,3,1, 3-1,V,,,,,,4.1,3.3,O,,44,18,9,21,35,9,16,9,1.0,0,46.8,0.15,0,0.09,0
AL,23/09/2023,Mönchengladbach,RB Leipzig,H,0.8,0.7,0,1, 0-1,D,,,,,,1.4,0.8,,N,25,23,7,18,35,3,17,2,0.6,0,45.7,0.34,0,0.0,0
AL,17/09/2023,Mönchengladbach,Darmstadt,A,3.9,1.2,3,3, 3-3,N,Rouge 2,,,,,5.1,2.0,,O,40,15,6,23,49,12,29,5,2.5,0,53.8,0.45,0,0.04,1
AL,2/09/2023,Mönchengladbach,Bayern Munich,H,0.3,2.4,1,2, 1-2,D,,O,,,,0.8,4.3,N,,13,33,4,13,20,1,8,1,1.5,0,46.7,0.12,0,0.36,1
AL,26/08/2023,Mönchengladbach,Bayer Leverkusen,H,0.9,2.7,0,3, 0-3,D,,,,,,2.1,5.5,,N,22,36,0,10,42,11,18,4,3.3,0,58.3,0.1,0,0.02,0
AL,19/08/2023,Mönchengladbach,Augsburg,A,1.7,2.3,4,4, 4-4,N,,,,,,1.5,3.3,N,,18,17,7,16,23,7,19,9,2.7,0,40.5,0.03,1,0.1,0
