Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
FR,19/05/2024,Nantes,Monaco,A,1.0,1.5,0,4, 0-4,D,,O,O,,O,1.3,1.8,,N,11,34,12,30,29,4,15,5,3.1,0,36.4,0.0,0,0.12,1
FR,12/05/2024,Nantes,Lille,H,0.7,1.5,1,2, 1-2,D,,O,,,O,1.3,2.5,,N,18,32,8,14,24,4,16,6,1.8,0,45.8,0.0,0,0.08,0
FR,4/05/2024,Nantes,Brest,A,1.6,0.5,0,0, 0-0,N,,O,O,,O,1.8,1.1,,,17,26,4,15,19,6,11,1,0.3,0,40.5,0.01,0,0.16,0
FR,26/04/2024,Nantes,Montpellier,A,1.3,0.8,1,1, 1-1,N,Rouge 2,O,,O,O,2.2,1.2,,O,25,22,7,10,47,8,12,4,0.4,0,54.8,0.05,0,0.12,0
FR,20/04/2024,Nantes,Rennes,H,0.2,2.4,0,3, 0-3,D,,O,,O,O,0.2,3.2,,N,10,32,3,9,25,1,6,0,2.6,0,50.0,0.01,0,0.09,0
FR,14/04/2024,Nantes,Le Havre,A,0.8,1.4,1,0, 1-0,V,,O,,O,O,1.5,2.6,O,,23,25,2,7,35,7,17,4,0.0,0,54.2,0.2,0,0.35,0
FR,7/04/2024,Nantes,Lyon,H,1.2,2.4,1,3, 1-3,D,,O,,,O,1.9,3.6,N,,25,27,6,11,33,8,16,3,3.1,1,43.3,0.07,0,0.0,0
FR,31/03/2024,Nantes,Nice,A,1.7,1.3,2,1, 2-1,V,,O,,,O,1.2,0.7,O,,23,16,8,12,23,6,7,2,1.4,0,47.8,0.14,0,0.24,0
FR,16/03/2024,Nantes,Strasbourg,H,1.1,1.9,1,3, 1-3,D,,,,,O,2.2,2.6,,N,19,20,5,20,56,9,24,3,2.9,1,65.5,0.14,0,0.0,0
FR,10/03/2024,Nantes,Marseille,A,1.0,1.5,0,2, 0-2,D,,,,,O,2.1,1.0,,N,17,24,7,14,39,4,21,9,2.1,0,46.7,0.07,0,0.0,0
FR,3/03/2024,Nantes,Metz,H,0.9,2.0,0,2, 0-2,D,,,,O,O,2.5,2.1,,N,18,21,7,17,47,9,20,6,1.5,0,56.3,0.0,0,0.38,0
FR,24/02/2024,Nantes,Lorient,A,0.4,0.5,1,0, 1-0,V,,,,,O,0.6,1.0,O,,13,37,2,11,24,3,10,5,0.2,0,59.1,0.05,0,0.19,0
FR,17/02/2024,Nantes,Paris,H,1.3,1.5,0,2, 0-2,D,,O,,O,O,1.4,2.5,,N,17,33,9,19,23,5,13,6,1.3,0,46.7,0.0,0,0.0,0
FR,11/02/2024,Nantes,Toulouse,A,0.4,1.0,2,1, 2-1,V,,O,,O,O,0.6,1.8,,O,6,33,7,14,9,2,8,1,0.2,0,39.5,0.0,0,0.16,0
FR,3/02/2024,Nantes,Lens,H,0.6,1.6,0,1, 0-1,D,,O,,O,O,0.9,2.6,,N,12,23,5,8,28,1,12,4,0.2,1,54.5,0.14,0,0.13,0
FR,28/01/2024,Nantes,Reims,A,1.2,0.9,0,0, 0-0,N,,O,O,,O,0.8,2.0,,,13,45,2,13,43,4,18,1,0.1,0,62.5,0.11,0,0.31,0
FR,14/01/2024,Nantes,Clermont Foot,H,1.9,1.0,1,2, 1-2,D,Rouge 1,O,O,,O,3.6,1.1,,N,37,31,6,17,56,17,25,7,1.6,0,57.1,0.0,0,0.06,0
FR,20/12/2023,Nantes,Lyon,A,0.5,1.7,0,1, 0-1,D,,,,,O,1.6,3.0,,N,13,26,8,16,63,9,24,5,2.0,0,34.6,0.23,0,0.24,0
FR,17/12/2023,Nantes,Brest,H,1.0,1.9,0,2, 0-2,D,,,,,O,2.0,1.2,,N,18,32,9,23,54,16,18,4,1.9,1,44.4,0.0,0,0.23,0
FR,9/12/2023,Nantes,Paris,A,0.5,2.0,1,2, 1-2,D,,,,,O,1.0,2.5,,N,20,31,9,17,28,1,17,5,2.0,0,55.6,0.07,1,0.34,0
FR,2/12/2023,Nantes,Nice,H,1.4,1.3,1,0, 1-0,V,,,,,O,0.9,2.3,O,,20,21,4,8,26,4,18,5,2.2,0,40.9,0.04,0,0.28,0
FR,26/11/2023,Nantes,Le Havre,H,1.3,0.2,0,0, 0-0,N,Rouge 2,,,,O,2.6,0.7,,,32,26,11,19,67,13,32,5,0.0,0,47.4,0.34,0,0.01,0
FR,12/11/2023,Nantes,Metz,A,1.3,1.1,1,3, 1-3,D,,,,,O,2.2,1.7,,N,28,23,7,12,58,12,22,3,1.6,0,43.8,0.07,0,0.06,0
FR,5/11/2023,Nantes,Reims,H,1.8,1.1,0,1, 0-1,D,,,,,O,2.6,2.5,,N,30,16,12,16,52,16,17,2,1.4,0,58.3,0.0,0,0.04,0
FR,28/10/2023,Nantes,Lens,A,1.0,3.7,0,4, 0-4,D,,,,,O,1.7,4.5,,N,21,27,2,8,42,8,18,4,3.9,0,41.2,0.0,0,0.19,0
FR,22/10/2023,Nantes,Montpellier,H,1.5,0.5,2,0, 2-0,V,,,O,,O,2.2,1.3,O,,24,27,7,15,46,6,21,6,0.8,0,45.0,0.0,0,0.0,0
FR,6/10/2023,Nantes,Strasbourg,A,1.9,0.7,2,1, 2-1,V,,,O,,O,2.2,2.2,,O,24,23,8,14,34,8,18,6,0.9,0,36.4,0.0,0,0.0,0
FR,1/10/2023,Nantes,Rennes,A,1.0,2.7,1,3, 1-3,D,Rouge 1,,,,O,0.7,1.9,N,,17,30,3,5,24,5,10,2,2.6,0,40.0,0.0,0,0.47,0
FR,23/09/2023,Nantes,Lorient,H,2.1,1.7,5,3, 5-3,V,,,,,O,3.3,3.2,,O,38,28,6,13,50,14,21,9,3.2,0,52.9,0.16,1,0.17,0
FR,17/09/2023,Nantes,Clermont Foot,A,0.6,1.3,1,0, 1-0,V,,,,,O,0.8,0.5,O,,12,23,7,9,25,3,14,1,0.7,0,50.0,0.11,0,0.08,0
FR,1/09/2023,Nantes,Marseille,H,0.9,2.6,1,1, 1-1,N,Rouge 1,,,,O,1.4,3.1,,O,15,27,6,10,18,4,20,4,1.5,0,36.0,0.04,0,0.03,0
FR,25/08/2023,Nantes,Monaco,H,1.0,3.3,3,3, 3-3,N,,,,O,O,0.7,3.8,N,,6,30,6,13,35,3,12,4,3.4,0,62.5,0.05,1,0.03,0
FR,20/08/2023,Nantes,Lille,A,1.1,2.2,0,2, 0-2,D,Rouge 2,,,O,O,1.5,3.7,,N,26,21,7,14,28,7,20,4,2.6,0,50.0,0.04,0,0.13,0
