Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
IT,26/05/2024,Napoli,Lecce,H,1.5,0.5,0,0, 0-0,N,,,,,O,1.7,0.5,,,43,24,6,20,68,13,35,9,0.0,0,36.4,0.0,0,0.0,0
IT,17/05/2024,Napoli,Fiorentina,A,1.2,0.6,2,2, 2-2,N,,,O,,,1.5,0.8,N,,23,20,6,15,19,8,12,5,1.0,1,56.3,0.28,1,0.02,0
IT,11/05/2024,Napoli,Bologna,H,1.5,1.4,0,2, 0-2,D,,,,,,1.3,0.7,,N,30,30,13,26,59,7,21,4,2.0,0,52.6,0.25,0,0.08,0
IT,6/05/2024,Napoli,Udinese,A,0.8,0.7,1,1, 1-1,N,,O,,,,1.3,1.0,,O,23,21,12,18,50,7,13,1,0.6,0,55.6,0.06,0,0.0,0
IT,28/04/2024,Napoli,Roma,H,3.0,1.6,2,2, 2-2,N,,,,,,3.0,1.2,N,,47,29,13,24,39,13,27,9,1.7,0,53.3,0.14,0,0.1,0
IT,20/04/2024,Napoli,Empoli,A,0.6,0.9,0,1, 0-1,D,,,,,O,1.6,1.1,,N,17,21,9,25,66,8,26,6,0.7,0,51.6,0.0,0,0.0,0
IT,14/04/2024,Napoli,Frosinone,H,2.2,2.4,2,2, 2-2,N,Rouge 1,,,,,3.4,2.5,N,,36,18,8,18,33,14,25,6,3.7,1,41.7,0.05,0,0.04,0
IT,7/04/2024,Napoli,Monza,A,2.2,0.4,4,2, 4-2,V,,,,,,2.4,0.7,,O,31,22,7,17,56,9,33,5,0.9,0,50.0,0.01,0,0.0,0
IT,30/03/2024,Napoli,Atalanta,H,1.6,0.9,0,3, 0-3,D,,O,,,,2.9,2.2,,N,33,23,8,14,33,14,11,2,2.2,1,59.1,0.05,0,0.0,0
IT,17/03/2024,Napoli,Inter,A,1.4,1.6,1,1, 1-1,N,,,O,,,1.2,2.4,,O,20,15,7,22,39,8,16,3,1.1,0,30.8,0.04,0,0.18,0
C1,12/03/2024,Napoli,Barcelona,A,1.3,2.7,1,3, 1-3,D,,,,,,2.4,4.4,,N,25,27,6,19,45,12,21,5,3.3,0,45.8,0.04,0,0.02,0
IT,8/03/2024,Napoli,Torino,H,1.6,0.9,1,1, 1-1,N,,,,,O,2.8,1.0,N,,39,12,7,17,36,11,21,5,0.7,0,48.7,0.41,0,0.26,0
IT,3/03/2024,Napoli,Juventus,H,2.1,1.6,2,1, 2-1,V,,,,,,1.4,2.6,O,,25,19,3,12,46,11,18,3,1.2,1,53.8,0.0,0,0.0,0
IT,28/02/2024,Napoli,Sassuolo,A,2.7,0.3,6,1, 6-1,V,,,,,,3.7,0.7,,O,46,16,4,14,74,17,18,10,1.1,0,73.3,0.06,0,0.21,0
IT,25/02/2024,Napoli,Cagliari,A,1.3,0.7,1,1, 1-1,N,,,,O,,2.1,1.4,,O,15,15,10,18,49,7,9,3,1.0,0,61.3,0.03,0,0.11,0
C1,21/02/2024,Napoli,Barcelona,H,0.9,0.7,1,1, 1-1,N,,,,,,1.5,1.9,,O,10,30,5,12,35,7,18,1,1.0,0,47.1,0.0,0,0.03,0
IT,17/02/2024,Napoli,Genoa,H,1.4,0.3,1,1, 1-1,N,,,O,,,2.0,0.5,,O,46,16,16,25,59,12,31,5,1.1,0,51.4,0.31,0,0.07,0
IT,11/02/2024,Napoli,Milan,A,0.7,0.9,0,1, 0-1,D,,,O,,,1.3,1.0,,N,21,24,7,22,46,9,25,6,1.8,0,44.4,0.02,0,0.0,0
IT,4/02/2024,Napoli,Verona,H,1.2,0.9,2,1, 2-1,V,,,O,,,2.2,1.5,,O,28,17,12,27,50,6,20,7,0.7,1,42.9,0.04,0,0.44,1
IT,28/01/2024,Napoli,Lazio,A,0.2,0.5,0,0, 0-0,N,,O,O,,,0.2,1.1,,,9,18,6,14,27,3,12,0,0.0,0,43.5,0.0,0,0.0,0
IT,13/01/2024,Napoli,Salernitana,H,2.2,0.1,2,1, 2-1,V,,,O,,,2.4,0.2,O,,35,20,10,23,69,12,21,1,0.6,0,48.6,0.07,0,0.03,0
IT,7/01/2024,Napoli,Torino,A,1.0,2.1,0,3, 0-3,D,Rouge 1,,O,,,1.7,2.7,,N,17,12,2,6,23,8,19,5,3.0,0,50.0,0.11,0,0.15,1
IT,29/12/2023,Napoli,Monza,H,2.0,1.1,0,0, 0-0,N,,,O,O,,3.4,0.9,,,47,16,8,20,58,16,26,6,0.0,0,57.1,0.31,0,0.02,0
IT,23/12/2023,Napoli,Roma,A,0.7,1.9,0,2, 0-2,D,Rouge 1,,,,,0.9,3.3,,N,13,20,8,16,30,4,18,4,2.7,0,38.1,0.0,0,0.09,0
IT,16/12/2023,Napoli,Cagliari,H,1.8,1.1,2,1, 2-1,V,,,,,,3.3,2.4,O,,40,23,5,23,60,24,22,5,1.2,0,54.1,0.18,0,0.32,0
C1,12/12/2023,Napoli,Braga,H,1.4,1.0,2,0, 2-0,V,,,,,,2.5,2.0,O,,16,25,14,33,28,6,19,6,0.3,0,54.5,0.0,0,0.0,0
IT,8/12/2023,Napoli,Juventus,A,1.2,0.9,0,1, 0-1,D,,,,,,2.3,1.1,,N,24,18,5,17,34,4,27,3,0.4,0,51.6,0.36,0,0.03,0
IT,3/12/2023,Napoli,Inter,H,0.6,2.7,0,3, 0-3,D,,,,,,1.2,3.9,,N,29,21,12,21,43,8,27,6,2.8,0,48.1,0.06,0,0.0,0
C1,29/11/2023,Napoli,Real Madrid,A,1.4,2.8,2,4, 2-4,D,,,,,,3.4,4.7,N,,22,23,14,26,39,11,24,5,2.3,0,25.0,0.0,0,0.14,0
IT,25/11/2023,Napoli,Atalanta,A,2.0,1.0,2,1, 2-1,V,,,,,,3.0,2.0,O,,17,21,11,24,30,7,12,5,1.1,0,43.3,0.0,0,0.08,0
IT,12/11/2023,Napoli,Empoli,H,0.9,0.5,0,1, 0-1,D,,,O,,,1.2,0.8,,N,31,28,11,25,62,6,15,4,0.9,0,42.9,0.08,0,0.0,0
C1,8/11/2023,Napoli,Union Berlin,H,1.7,1.1,1,1, 1-1,N,,,O,,,3.4,1.2,N,,52,15,15,22,79,19,30,7,1.4,0,64.3,0.2,0,0.04,0
IT,4/11/2023,Napoli,Salernitana,A,1.4,0.3,2,0, 2-0,V,,,O,,,2.5,0.4,O,,39,28,10,24,44,8,26,8,0.7,0,65.6,0.13,0,0.09,0
IT,29/10/2023,Napoli,Milan,H,1.7,2.0,2,2, 2-2,N,,,O,,,1.5,3.2,,O,24,29,11,22,29,7,20,6,1.8,0,33.3,0.31,0,0.19,0
C1,24/10/2023,Napoli,Union Berlin,A,0.2,0.4,1,0, 1-0,V,,,O,,,0.6,0.9,O,,12,23,12,22,40,3,22,5,0.3,0,48.6,0.01,0,0.06,0
IT,21/10/2023,Napoli,Verona,A,2.3,1.3,3,1, 3-1,V,,,O,,,3.3,1.7,O,,39,16,5,16,52,13,21,6,1.3,0,19.2,0.15,0,0.28,0
IT,8/10/2023,Napoli,Fiorentina,H,1.8,2.1,1,3, 1-3,D,,,,,O,1.3,2.4,,N,27,20,15,25,41,10,20,5,1.8,0,52.0,0.02,0,0.01,0
C1,3/10/2023,Napoli,Real Madrid,H,1.9,1.4,2,3, 2-3,D,,,,,O,1.8,1.4,N,,32,24,6,18,46,8,18,6,2.0,0,35.5,0.18,0,0.13,0
IT,30/09/2023,Napoli,Lecce,A,2.5,0.5,4,0, 4-0,V,,,,,O,3.3,0.9,O,,26,27,7,19,46,15,18,5,0.2,0,63.6,0.39,1,0.0,0
IT,27/09/2023,Napoli,Udinese,H,3.3,0.7,4,1, 4-1,V,,,,,O,3.0,1.1,O,,44,31,16,25,51,19,19,8,1.0,0,42.9,0.04,0,0.07,0
IT,24/09/2023,Napoli,Bologna,A,2.1,0.2,0,0, 0-0,N,,,,,O,1.0,0.5,,,19,28,11,27,41,9,21,6,0.3,0,25.0,0.0,0,0.09,0
C1,20/09/2023,Napoli,Braga,A,1.7,1.4,2,1, 2-1,V,,,,,O,2.9,2.9,O,,30,28,7,20,40,12,17,6,0.4,1,70.0,0.17,0,0.12,0
