Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
FR,19/05/2024,Nice,Lille,A,0.9,1.2,2,2, 2-2,N,Rouge 2,,,O,,1.9,2.2,N,,15,24,12,27,30,6,18,4,0.6,0,35.7,0.05,0,0.67,1
FR,15/05/2024,Nice,Paris,H,1.4,1.0,1,2, 1-2,D,Rouge 1,,,,,1.7,2.0,,N,20,31,6,18,29,7,11,2,0.7,2,70.0,0.09,0,0.0,0
FR,10/05/2024,Nice,Le Havre,H,1.8,0.5,1,0, 1-0,V,,,,,,2.3,1.0,O,,22,14,9,23,29,6,23,5,0.2,0,50.0,0.06,0,0.1,0
FR,28/04/2024,Nice,Strasbourg,A,1.6,0.6,3,1, 3-1,V,,,,,,1.2,0.8,,O,15,24,11,16,28,4,13,5,1.1,0,30.0,0.08,1,0.06,0
FR,24/04/2024,Nice,Marseille,A,1.4,2.2,2,2, 2-2,N,Rouge 2,,,,,2.2,2.0,N,,19,23,8,20,52,6,22,1,1.7,0,66.7,0.23,0,0.09,0
FR,19/04/2024,Nice,Lorient,H,2.5,0.5,3,0, 3-0,V,,,,,,2.8,1.0,O,,31,30,8,22,36,7,23,6,0.5,0,40.9,0.01,0,0.09,0
FR,7/04/2024,Nice,Reims,A,1.9,0.5,0,0, 0-0,N,,,,,,3.4,0.8,,,29,37,5,20,37,12,24,3,0.3,0,50.0,0.16,0,0.0,0
FR,31/03/2024,Nice,Nantes,H,1.3,1.7,1,2, 1-2,D,,,O,,,0.7,1.2,,N,22,20,11,23,40,4,23,2,2.5,0,52.2,0.24,0,0.14,0
FR,16/03/2024,Nice,Lens,A,2.2,1.3,3,1, 3-1,V,,,,O,,2.0,2.9,O,,10,23,6,23,14,3,6,3,0.7,0,42.9,0.03,0,0.15,0
FR,8/03/2024,Nice,Montpellier,H,1.1,1.2,1,2, 1-2,D,,,,,,1.9,0.5,N,,35,21,15,28,46,11,30,4,1.1,0,50.0,0.0,0,0.04,0
FR,3/03/2024,Nice,Toulouse,A,1.4,1.8,1,2, 1-2,D,,,,,,1.7,2.5,N,,14,18,7,19,31,6,13,3,1.7,2,43.8,0.0,0,0.06,0
FR,25/02/2024,Nice,Clermont Foot,H,1.6,2.0,0,0, 0-0,N,,,,,,3.9,2.1,,,43,26,14,25,60,16,23,8,2.5,1,66.7,0.07,0,0.01,0
FR,16/02/2024,Nice,Lyon,A,0.8,1.1,0,1, 0-1,D,,,,,,1.3,1.7,,N,34,35,12,20,54,8,24,8,0.2,0,54.5,0.23,0,0.0,0
