Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
UK,19/05/2024,Nottingham Forest,Burnley,A,1.7,1.2,2,1, 2-1,V,,,,,,2.7,1.9,O,,22,30,2,8,13,3,11,6,0.3,0,57.7,0.1,0,0.0,0
UK,11/05/2024,Nottingham Forest,Chelsea,H,1.5,1.6,2,3, 2-3,D,,,,,,1.9,3.4,,N,36,34,5,8,35,8,28,6,2.2,2,48.5,0.23,1,0.12,0
UK,4/05/2024,Nottingham Forest,Sheffield United,A,1.5,2.2,3,1, 3-1,V,Rouge 2,,,,,2.4,2.4,O,,29,30,8,13,43,9,22,4,1.5,0,56.3,0.29,0,0.0,0
UK,28/04/2024,Nottingham Forest,Manchester City,H,1.9,0.9,0,2, 0-2,D,,,,,,2.4,1.5,,N,26,31,8,16,26,10,21,4,1.9,0,42.9,0.04,0,0.08,1
UK,21/04/2024,Nottingham Forest,Everton,A,0.9,0.3,0,2, 0-2,D,,,O,,,0.9,0.4,,N,12,23,3,12,50,11,22,4,0.9,0,45.5,0.0,0,0.08,0
UK,13/04/2024,Nottingham Forest,Wolves,H,1.9,1.0,2,2, 2-2,N,,,O,,,1.5,0.7,N,,31,23,9,18,35,9,15,5,1.4,1,64.5,0.25,1,0.02,0
UK,7/04/2024,Nottingham Forest,Tottenham,A,1.5,1.5,1,3, 1-3,D,,,O,,,0.8,2.7,N,,21,19,14,26,27,4,13,5,1.9,0,31.3,0.0,0,0.02,0
UK,2/04/2024,Nottingham Forest,Fulham,H,1.5,1.5,3,1, 3-1,V,,,O,,,1.6,3.1,O,,28,23,8,15,26,4,17,6,0.6,0,42.4,0.11,0,0.19,1
UK,30/03/2024,Nottingham Forest,Crystal Palace,H,0.9,1.2,1,1, 1-1,N,,,O,,,2.0,1.7,,O,23,24,5,18,42,9,29,6,0.8,0,50.0,0.12,0,0.11,0
UK,16/03/2024,Nottingham Forest,Luton,A,2.0,0.6,1,1, 1-1,N,,,,O,,3.1,1.1,N,,26,32,7,13,26,5,10,3,0.3,0,60.6,0.07,0,0.0,0
UK,10/03/2024,Nottingham Forest,Brighton,A,0.7,0.4,0,1, 0-1,D,,,O,O,,0.8,0.7,,,16,21,8,16,28,2,15,3,0.3,0,40.0,0.01,0,0.08,0
UK,2/03/2024,Nottingham Forest,Liverpool,H,1.0,2.0,0,1, 0-1,D,,,O,,O,1.2,3.1,,N,14,31,10,24,29,10,12,3,0.2,0,43.3,0.07,0,0.2,0
UK,24/02/2024,Nottingham Forest,Aston Villa,A,2.6,3.6,2,4, 2-4,D,,,O,,O,3.5,4.1,,N,19,30,15,20,33,5,13,4,2.7,1,37.5,0.37,0,0.0,0
UK,17/02/2024,Nottingham Forest,West Ham,H,2.8,0.5,2,0, 2-0,V,Rouge 2,,O,,O,3.6,0.5,O,,36,27,4,12,43,8,23,8,0.2,0,37.5,0.26,0,0.08,0
UK,10/02/2024,Nottingham Forest,Newcastle United,H,1.5,0.5,2,3, 2-3,D,,,O,,O,2.1,0.8,,N,20,22,11,19,33,8,21,5,1.0,1,40.7,0.0,0,0.0,0
UK,4/02/2024,Nottingham Forest,Bournemouth,A,0.5,1.3,1,1, 1-1,N,,,O,,O,1.0,2.0,,O,15,37,5,14,29,4,13,3,0.9,0,60.5,0.0,0,0.31,0
UK,30/01/2024,Nottingham Forest,Arsenal,H,0.5,1.2,1,2, 1-2,D,,,O,,,0.8,2.9,,N,15,30,5,11,15,4,6,2,1.1,1,52.6,0.04,0,0.06,1
UK,20/01/2024,Nottingham Forest,Brentford,A,1.2,1.2,2,3, 2-3,D,,O,O,,,2.0,1.7,N,,21,22,13,22,41,12,22,2,1.3,0,43.3,0.0,0,0.11,1
UK,30/12/2023,Nottingham Forest,Manchester United,H,0.7,0.8,2,1, 2-1,V,,,O,O,,1.1,1.5,O,,13,31,4,14,27,4,14,5,0.7,1,55.6,0.07,0,0.12,0
UK,26/12/2023,Nottingham Forest,Newcastle United,A,3.5,2.4,3,1, 3-1,V,,,O,,,4.0,2.3,O,,24,32,13,21,23,5,23,6,1.9,0,52.6,0.02,0,0.14,0
UK,23/12/2023,Nottingham Forest,Bournemouth,H,1.0,1.6,2,3, 2-3,D,Rouge 1,,,,,1.5,2.0,N,,17,29,11,19,24,6,14,4,1.4,0,62.2,0.03,1,0.23,0
UK,15/12/2023,Nottingham Forest,Tottenham,H,1.3,1.5,0,2, 0-2,D,Rouge 2,,,O,,2.2,2.8,,N,25,34,4,15,33,7,8,2,1.0,1,41.9,0.4,0,0.18,0
UK,9/12/2023,Nottingham Forest,Wolves,A,1.3,1.2,1,1, 1-1,N,,,,O,O,1.9,1.6,N,,13,32,6,14,23,6,13,1,1.3,0,65.7,0.12,0,0.08,0
UK,6/12/2023,Nottingham Forest,Fulham,A,0.3,2.5,0,5, 0-5,D,,,O,,,0.6,2.7,,N,4,19,5,23,27,3,10,3,3.4,0,36.0,0.0,0,0.07,0
UK,2/12/2023,Nottingham Forest,Everton,H,0.7,0.7,0,1, 0-1,D,,,,,,1.2,0.5,,N,20,31,7,18,42,6,19,5,0.4,0,46.9,0.23,0,0.02,0
UK,25/11/2023,Nottingham Forest,Brighton,H,1.9,1.3,2,3, 2-3,D,Rouge 2,,O,,,2.5,1.4,N,,33,25,5,14,47,13,24,3,2.1,0,54.5,0.13,0,0.15,0
UK,12/11/2023,Nottingham Forest,West Ham,A,1.7,1.8,2,3, 2-3,D,,,O,O,O,1.5,2.1,,N,16,25,1,10,34,7,17,4,1.3,1,52.8,0.0,0,0.57,2
UK,5/11/2023,Nottingham Forest,Aston Villa,H,0.4,1.2,2,0, 2-0,V,,,O,O,O,0.5,3.4,O,,10,38,2,6,12,1,8,4,0.7,0,42.1,0.0,0,0.0,0
UK,29/10/2023,Nottingham Forest,Liverpool,A,0.4,3.2,0,3, 0-3,D,,,,O,O,0.6,3.9,,N,14,30,10,16,22,4,9,3,2.2,1,43.3,0.0,0,0.37,0
UK,21/10/2023,Nottingham Forest,Luton,H,2.9,1.7,2,2, 2-2,N,,,,O,,2.7,1.8,N,,33,23,7,13,33,8,17,3,1.2,1,58.9,0.09,0,0.0,0
UK,7/10/2023,Nottingham Forest,Crystal Palace,A,1.0,0.8,0,0, 0-0,N,,,,,,1.4,1.1,,,27,29,9,19,41,10,15,5,0.1,0,56.5,0.13,0,0.0,0
UK,1/10/2023,Nottingham Forest,Brentford,H,0.5,1.6,1,1, 1-1,N,Rouge 1,,,,O,1.0,3.0,,O,11,23,9,14,19,4,13,3,0.7,1,37.5,0.09,0,0.36,1
UK,23/09/2023,Nottingham Forest,Manchester City,A,1.0,1.3,0,2, 0-2,D,Rouge 2,,,,O,1.5,2.2,,N,17,26,4,8,43,10,19,7,1.0,0,50.0,0.04,0,0.0,0
UK,18/09/2023,Nottingham Forest,Burnley,H,0.7,0.5,1,1, 1-1,N,,,O,,O,1.3,0.5,,O,28,19,9,16,33,8,20,7,0.6,0,56.7,0.0,0,0.26,0
UK,2/09/2023,Nottingham Forest,Chelsea,A,0.8,2.3,1,0, 1-0,V,,,,O,,0.9,3.2,O,,14,32,5,15,15,1,12,4,0.2,0,35.1,0.01,0,0.06,0
UK,26/08/2023,Nottingham Forest,Manchester United,A,1.2,2.8,2,3, 2-3,D,Rouge 1,,,O,O,1.4,4.0,N,,16,33,10,20,14,3,9,4,3.9,0,65.6,0.14,0,0.71,0
UK,18/08/2023,Nottingham Forest,Sheffield United,H,1.4,0.5,2,1, 2-1,V,,,,O,O,2.1,0.6,O,,28,34,7,25,40,8,16,2,1.5,1,60.0,0.48,0,0.05,0
UK,12/08/2023,Nottingham Forest,Arsenal,A,1.2,0.8,1,2, 1-2,D,,,,O,O,2.1,1.5,,N,10,25,7,18,14,5,11,2,2.0,0,62.5,0.21,0,0.0,0
