Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
ES,25/05/2024,Osasuna,Villarreal,H,0.9,1.6,1,1, 1-1,N,,,O,,,1.6,2.3,N,,18,24,3,5,38,8,12,5,0.5,0,41.7,0.03,0,0.54,0
ES,19/05/2024,Osasuna,Atletico Madrid,A,1.8,1.6,4,1, 4-1,V,,O,O,,,1.8,3.1,O,,25,11,8,17,28,8,14,4,1.0,0,70.6,0.06,0,0.07,0
ES,14/05/2024,Osasuna,Mallorca,H,0.4,1.0,1,1, 1-1,N,,O,O,O,,0.7,0.6,N,,14,24,4,10,27,6,14,2,0.2,0,56.4,0.0,0,0.0,0
ES,11/05/2024,Osasuna,Athletic Club,A,1.0,1.4,2,2, 2-2,N,,O,O,,,1.4,3.1,N,,21,34,8,18,21,2,7,3,2.3,2,51.7,0.03,0,0.11,0
ES,5/05/2024,Osasuna,Real Betis,H,0.8,1.1,0,2, 0-2,D,Rouge 1,O,O,,,1.6,2.1,,N,22,16,11,21,40,11,18,1,1.3,1,52.9,0.31,0,0.04,0
ES,28/04/2024,Osasuna,Granada,A,0.8,2.6,0,3, 0-3,D,,O,O,,,1.3,3.6,,N,17,18,10,23,37,9,21,4,1.7,0,51.4,0.0,0,0.0,0
ES,20/04/2024,Osasuna,Rayo Vallecano,A,0.5,0.5,1,2, 1-2,D,,O,O,,,1.0,1.1,N,,10,27,7,17,24,3,9,0,0.8,0,36.8,0.01,0,0.04,1
ES,15/04/2024,Osasuna,Valencia,H,1.9,0.2,0,1, 0-1,D,,,,,,2.3,0.5,,N,25,15,8,14,55,15,26,4,0.7,0,59.1,0.04,0,0.0,0
ES,30/03/2024,Osasuna,Almeria,A,1.0,0.8,3,0, 3-0,V,,,O,,,1.4,1.3,O,,10,13,3,12,25,6,9,1,1.7,0,64.1,0.0,0,0.0,0
ES,16/03/2024,Osasuna,Real Madrid,H,0.7,2.9,2,4, 2-4,D,,,O,,,0.6,3.0,,N,17,19,7,12,28,3,6,3,3.4,1,45.8,0.0,0,0.11,0
ES,9/03/2024,Osasuna,Girona,A,0.2,1.9,0,2, 0-2,D,,,O,,O,0.9,3.1,,N,12,26,3,10,33,3,11,0,2.9,0,69.2,0.07,0,0.1,0
ES,4/03/2024,Osasuna,Alaves,H,1.0,1.0,1,0, 1-0,V,,,,,O,1.7,1.7,O,,30,22,6,12,41,6,11,2,1.0,1,63.4,0.37,0,0.0,0
ES,25/02/2024,Osasuna,Las Palmas,A,0.7,0.7,1,1, 1-1,N,,,O,,,1.4,1.1,N,,11,23,6,11,21,6,6,0,1.1,1,63.6,0.26,0,0.04,0
ES,17/02/2024,Osasuna,Cadiz,H,2.0,0.5,2,0, 2-0,V,,,,,,3.0,0.9,O,,21,19,6,13,45,6,15,3,0.1,0,50.0,0.05,0,0.3,0
ES,10/02/2024,Osasuna,Real Sociedad,A,0.5,1.5,1,0, 1-0,V,,,,,O,0.6,3.0,O,,8,25,5,11,8,0,5,1,0.6,0,48.0,0.14,1,0.21,0
ES,4/02/2024,Osasuna,Celta Vigo,H,1.1,1.1,0,3, 0-3,D,,,,,,3.0,1.5,,N,31,19,9,18,63,12,20,2,1.7,0,46.8,0.19,0,0.02,0
